location,code,sap_warehouse,type,capacity,capacity_uom,current_qty,free,pct_full,as_of,source_endpoint
BH-Job Work,,BH-JW,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"523 L FG (2,617 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-JW
Bhakharpur Finished E-Commerce,,BH-EC,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,0,UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-EC; barcode boxes --warehouse BH-EC --status ACTIVE = 2 boxes
Bhakharpur Basement (packaging),,BH-BS,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"2,733,760 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-BS; barcode boxes --warehouse BH-BS --status ACTIVE = 12 boxes
Bhakharpur Packaging Materials 1st Floor,,BH-PM,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"5,510,265 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-PM; barcode boxes --warehouse BH-PM --status ACTIVE = 86 boxes
Bhakharpur Non-Moving,,BH-NM,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"1,035,827 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-NM
Bhakharpur Sidel,,BH-SDL,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"237,996 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-SDL
Gupta Non-Moving,,GP-NM,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"1,586,172 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse GP-NM
Gupta Godown Packaging Material,,GP-PM,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"442,006 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse GP-PM
Bhakharpur Production Consumption,,BH-PC,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"2,820,070 pcs packaging",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-PC; barcode boxes --warehouse BH-PC --status ACTIVE = 141 boxes
Bhakharpur Production Process 1st Floor (closed),,BH-PP,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"3,313 L FG (7,475 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-PP
Bhakharpur Wastage,,BH-WST,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"10,178 L FG (3,365 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-WST
Bhakharpur Loose Oil,,BH-LO,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"678,718 qty raw/semi-finished",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-LO
Gujarat Job Worker,,BH-GJ,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"43,963 qty raw/semi-finished",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-GJ
Param (not ours),,BH-OT,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"312,668 qty raw/semi-finished",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-OT
JIVO Beverages — any warehouse,,(none),no WMS warehouse defined for this company,NOT RECORDED,,22 barcode boxes lifetime,UNKNOWN,,2026-08-30T12:26Z,wms wms-warehouses --company JIVO_BEVERAGES = []
