code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000851,PET BOTTLE 1 LTR 26 GM,PET BOTTLES,PCS,2,BUY,626114.50,306759.00,1202246.00,319355.50,-882890.50,11.1,BR AGROTECH LTD,27.3,TPAC PACKAGING INDIA PVT LTD II
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,CAPS,PCS,2,BUY,467290.35,312338.00,610000.00,154952.35,-455047.65,2.0,MAHESHWARI CAPS PVT LTD,14.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,PCS,2,BUY,464493.75,562996.00,0.00,-98502.25,-98502.25,6.0,ROYAL PRIME LABELS,6.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,PCS,2,BUY,464493.75,549695.00,0.00,-85201.25,-85201.25,6.0,ROYAL PRIME LABELS,6.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000194,PET BOTTLE 1 LTR 40 GMS,PET BOTTLES,PCS,2,MAKE,391478.30,132033.00,195544.00,259445.30,63901.30,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),37.2,TPAC PACKAGING INDIA PVT LTD
RM0000001,LOOSE REFINED OLIVE OIL,OLIVE,LTR,2,BUY,362516.04,21222.01,42177.95,341294.04,299116.09,1.0,MAHA MAYA FOOD PRODUCTS PRIVATE LIMITED,13.0,INDRANI FOODS
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PET BOTTLES,PCS,2,MAKE,332275.35,168815.00,313685.00,163460.35,-150224.65,26.6,BR AGROTECH LTD,53.7,ECHO PLAST INDIA
RM0000011,GROUNDNUT LOOSE OIL,GROUNDNUT,LTR,2,BUY,330187.35,71315.08,50000.00,258872.27,208872.27,8.0,VINOD AGRO INDUSTRIES PRIVATE LIMITED,22.5,ARIHANT SOLVEX PRIVATE LIMITED
RM0000009,REFINED SUNFLOWER OIL,SUNFLOWER,LTR,2,BUY,326972.45,14294.42,0.00,312678.03,312678.03,7.0,MODI OIL TRADERS,12.0,KUTCH CHEMICAL INDUSTRIES LIMITED
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,LABEL,PCS,2,BUY,262508.35,215689.00,20800.00,46819.35,26019.35,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,LABEL,PCS,2,BUY,262508.35,232204.00,20800.00,30304.35,9504.35,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAPS,PCS,2,BUY,226615.00,240476.00,675017.00,-13861.00,-688878.00,18.3,BABAJI UDYOG PVT. LTD.,21.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,CANOLA,LTR,2,MAKE,179435.05,26867.85,115458.00,152567.21,37109.21,14.0,DIL EXIM COMMODITIES PRIVATE LIMITED,28.0,ALBA EDIBLE OILS PTY LTD
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,LABEL,PCS,2,BUY,172808.20,193191.00,251000.00,-20382.80,-271382.80,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000426,LABEL 1 LTR GROUNDNUT BACK,LABEL,PCS,2,BUY,172808.20,192896.00,251500.00,-20087.80,-271587.80,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,LABEL,PCS,2,BUY,125879.95,339372.00,344000.00,-213492.05,-557492.05,6.6,ROYAL PRIME LABELS,21.7,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000075,TAPE LOGO PRINTED,TAPE,MTR,2,BUY,120841.34,1296063.53,183969.71,-1175222.18,-1359191.89,3.7,BAKSHI PLASTIC BHANDAR,15.5,SHRI PATA ENTERPRISES
PM0000015,LABEL 1 LTR COLD PRESS FRONT,LABEL,PCS,2,BUY,103688.85,294350.00,226000.00,-190661.15,-416661.15,8.0,ROYAL PRIME LABELS,19.5,THE LABEL STORE AFOPC8295E
PM0000053,HDPE BOTTLE 5 LTR,HDPE BOTTLES,PCS,2,BUY,74192.55,37109.00,283920.00,37083.55,-246836.45,12.7,BAL KRISHNA INDUSTRIES,40.0,AG POLY PACKS PVT LTD
PM0000107,LABEL 1 LTR POMACE BACK,LABEL,PCS,2,BUY,65500.40,220273.00,67007.00,-154772.60,-221779.60,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
PM0000108,LABEL 1 LTR POMACE FRONT,LABEL,PCS,2,BUY,65500.40,222255.00,62007.00,-156754.60,-218761.60,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
RM0000021,LOOSE OIL GOLD,BLENDED,LTR,2,BUY,58125.40,8222.00,0.00,49903.40,49903.40,,,,
PM0000469,CAPS 5 LTR BROWN,CAPS,PCS,2,BUY,56478.00,113798.00,192014.00,-57320.00,-249334.00,21.4,ECHO PLAST INDIA,47.8,AG POLY PACKS PVT LTD
PM0000078,CAPS 5 LTR/15 LTR,CAPS,PCS,2,BUY,53970.25,95878.00,160800.00,-41907.75,-202707.75,1.0,NATIONAL TIN INDUSTRIES,35.0,BERICAP INDIA PRIVATE LIMITED
PM0000397,LABEL 1 LTR GOLD FRONT,LABEL,PCS,2,BUY,50365.05,20416.00,30000.00,29949.05,-50.95,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000396,LABEL 1 LTR GOLD BACK,LABEL,PCS,2,BUY,50365.05,18010.00,31659.00,32355.05,696.05,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,CAPS,PCS,2,BUY,45096.55,139267.00,68308.00,-94170.45,-162478.45,4.0,MAHESHWARI CAPS PVT LTD,16.4,BABAJI UDYOG PVT. LTD.
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,SHRINK,PCS,2,BUY,39822.95,69345.35,24480.00,-29522.40,-54002.40,9.1,MULTILAYER INDUSTRIES,9.1,MULTILAYER INDUSTRIES
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,LABEL,PCS,2,BUY,33833.85,78447.00,5000.00,-44613.15,-49613.15,12.3,ROYAL PRIME LABELS,12.3,ROYAL PRIME LABELS
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,LABEL,PCS,2,BUY,33833.85,80560.00,5000.00,-46726.15,-51726.15,12.3,ROYAL PRIME LABELS,12.3,ROYAL PRIME LABELS
RM0000040,SO OLIVE OIL,BLENDED,LTR,2,BUY,33513.05,9036.00,0.00,24477.05,24477.05,,,,
RM0000007,RICE BRAN REFINED OIL,RICE BRAN,LTR,2,BUY,28637.10,67330.67,29769.23,-38693.57,-68462.80,3.5,MODI OIL TRADERS,18.4,AWL AGRI BUSINESS LIMITED
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,CARTON,PCS,2,BUY,28517.64,18953.65,37736.00,9563.99,-28172.01,11.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B),28.8,SSY CONTAINERS PVT LTD
PM0000074,TAPE CELLO,TAPE,MTR,2,BUY,22613.34,730363.05,23275.00,-707749.71,-731024.71,3.4,BAKSHI PLASTIC BHANDAR,8.0,SHRI PATA ENTERPRISES
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,LABEL,PCS,2,BUY,21089.75,260391.00,26040.00,-239301.25,-265341.25,8.0,ROYAL PRIME LABELS,15.9,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,LABEL,PCS,2,BUY,21089.75,258891.00,26000.00,-237801.25,-263801.25,8.0,ROYAL PRIME LABELS,15.9,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,CARTON,PCS,2,BUY,19575.75,20501.25,20590.00,-925.50,-21515.50,21.5,SSY CONTAINERS PVT LTD,31.9,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000003,CARTON 1 LTR POMACE 16 PCS,CARTON,PCS,2,BUY,19137.91,18165.03,40586.44,972.88,-39613.56,17.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0,23.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000013,CARTON 5 LTR 4 PCS,CARTON,PCS,2,BUY,18602.33,15310.50,48867.00,3291.83,-45575.18,11.2,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B),51.4,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000784,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL BACK,LABEL,PCS,2,BUY,16745.05,42777.00,0.00,-26031.95,-26031.95,5.0,ROYAL PRIME LABELS,5.0,ROYAL PRIME LABELS
PM0000785,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL FRONT,LABEL,PCS,2,BUY,16745.05,42777.00,0.00,-26031.95,-26031.95,5.0,ROYAL PRIME LABELS,5.0,ROYAL PRIME LABELS
PM0000522,LABEL 1 LTR RICE BRAN OIL FRONT,LABEL,PCS,2,BUY,14016.35,68428.00,450.00,-54411.65,-54861.65,20.3,ZENBI INTERNATIONAL PRIVATE LIMITED,22.3,CORE PACKAGING
PM0000523,LABEL 1 LTR RICE BRAN OIL BACK,LABEL,PCS,2,BUY,14016.35,68928.00,450.00,-54911.65,-55361.65,20.3,ZENBI INTERNATIONAL PRIVATE LIMITED,22.3,CORE PACKAGING
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,TIN,PCS,2,BUY,9660.60,12420.00,35970.00,-2759.40,-38729.40,32.1,NATIONAL TIN INDUSTRIES,32.1,NATIONAL TIN INDUSTRIES
PM0000468,CAPS 5 LTR GREEN,CAPS,PCS,2,BUY,7350.55,39697.00,268771.00,-32346.45,-301117.45,9.0,AG POLY PACKS PVT LTD,36.7,A A ENTERPRISES
PM0000082,CARTON 5 LTR OLIVE 4 PCS,CARTON,PCS,2,BUY,4419.31,6948.50,12723.00,-2529.19,-15252.19,28.6,SSY CONTAINERS PVT LTD,50.8,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,LABEL,PCS,2,BUY,3114.95,42783.00,0.00,-39668.05,-39668.05,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,LABEL,PCS,2,BUY,3114.95,42695.00,0.00,-39580.05,-39580.05,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000195,PET BOTTLE 1 LTR 52 GMS GREEN,PET BOTTLES,PCS,2,BUY,3114.95,14688.00,46280.00,-11573.05,-57853.05,2.5,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),7.0,BR AGROTECH LTD
PM0000524,LABEL 5 LTR RICE BRAN OIL FRONT,LABEL,PCS,2,BUY,2924.15,28748.00,5000.00,-25823.85,-30823.85,11.0,ZENBI INTERNATIONAL PRIVATE LIMITED,19.0,CORE PACKAGING
PM0000525,LABEL 5 LTR RICE BRAN OIL BACK,LABEL,PCS,2,BUY,2924.15,29573.00,5000.00,-26648.85,-31648.85,11.0,ZENBI INTERNATIONAL PRIVATE LIMITED,19.0,CORE PACKAGING
RM0000036,COCUNUT RAW MATERIAL GIRI,COCONUT,KGS,2,BUY,1362.71,0.00,0.00,1362.71,1362.71,10.5,JIVO AGRI BUSINESS A U/O JIVO WELLNESS P LTD AACCJ4223F,10.5,JIVO AGRI BUSINESS A U/O JIVO WELLNESS P LTD AACCJ4223F
PM0000046,LABEL 5 LTR COLD PRESS FRONT,LABEL,PCS,2,BUY,1138.45,100019.00,24980.00,-98880.55,-123860.55,6.9,ROYAL PRIME LABELS,6.9,ROYAL PRIME LABELS
PM0000884,SHRINK POF ROLL KG,SHRINK,KGS,2,BUY,221.28,1648.75,0.00,-1427.47,-1427.47,7.0,JOY PACK INDIA PVT LTD,7.0,JOY PACK INDIA PVT LTD
RM0000006,DESI GHEE,GHEE,PCS,2,BUY,44.30,6740.85,23875.50,-6696.55,-30572.06,58.4,SPEAR AGRO INDUSTRIES PRIVATE LIMITED,58.4,SPEAR AGRO INDUSTRIES PRIVATE LIMITED
PM0000684,GLASS JAR COFFEE 100 GMS,GLASS BOTTLES,PCS,2,BUY,12.25,437.00,500.00,-424.75,-924.75,,,,
PM0000338,CAP COFFEE JAR 63 MM,CAPS,PCS,2,BUY,12.25,1088.00,0.00,-1075.75,-1075.75,,,,
PM0000687,LABEL 100 GMS COFFEE,LABEL,PCS,2,BUY,12.25,319.00,0.00,-306.75,-306.75,,,,
PM0000269,POUCH RICE 1 KGS PCS,POUCH,PCS,2,BUY,2.80,10838.00,0.00,-10835.20,-10835.20,0.0,STOCK GOODS RECEIPTS,0.0,STOCK GOODS RECEIPTS
PM0000285,CARTON 500 MLS DESI GHEE 16 PCS,CARTON,PCS,2,BUY,2.58,2430.32,62.56,-2427.73,-2490.30,4.0,CVS PACKAGING PRIVATE LIMITED,4.0,CVS PACKAGING PRIVATE LIMITED
PM0000336,INSTANT COFFEE AGGLO,COFFEE,KGS,2,BUY,1.23,201.80,0.00,-200.58,-200.58,,,,
PM0000655,CARTON COFFEE JAR 100 GMS 15 PCS,CARTON,PCS,2,BUY,0.82,2.12,0.00,-1.31,-1.31,,,,
PM0000817,PREFORM 21/23 GMS,PREFORM,PCS,2,BUY,0.00,279200.00,200000.00,-279200.00,-479200.00,2.3,FRYSTAL PET PRIVATE LIMITED,7.6,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,PCS,3,BUY,259445.30,590204.00,733600.00,-330758.70,-1064358.70,13.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),28.5,FRYSTAL PET PRIVATE LIMITED
PM0000852,PREFORM 49.5 GMS 36 MM,PREFORM,PCS,3,BUY,163460.35,290071.00,430549.00,-126610.65,-557159.65,10.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),16.4,FRYSTAL PET PRIVATE LIMITED
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,CANOLA,LTR,3,BUY,157281.54,0.00,0.00,157281.54,157281.54,14.8,GRAINCORP OILSEEDS PTY LTD,32.0,AL GHURAIR RESOURCES OILS & PROTIENS L L C
