item_code,name,claimed_august_required_l,claimed_sap_visible_l,claimed_still_short_l,claimed_cover_pct,ACTUAL_aug_purchased_l_T20,ACTUAL_aug_made_l_T59,ACTUAL_aug_issued_to_prodn_l_T60,aug_supply_ignored_by_claim_l,is_made_item_made_share,feedstocks_actually_issued_aug,feedstock_onhand_now_l,feedstock_in_the_17_lines,verdict,evidence
RM0000015,LOOSE OIL COLD PRESS/REFINED,23495.1,35295.3,0.0,100,0.0,110000.0,223300.0,333300.0,yes,"RM0000015 LOOSE OIL COLD PRESS/REFINED 110,000L","RM0000015=35,295",RM0000015=YES,OK - reported as covered,"Aug purchases 0 L, made 110,000 L"
RM0000030,REFINED COTTON OIL,20700.5,179.1,20521.4,0.9,0.0,157.2,0.0,157.2,yes,-,-,-,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,Aug purchases 0 L and production 157 L occurred inside the requirement window and were not credited
RM0000036,COCUNUT RAW MATERIAL GIRI,13500.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.0,no,-,-,-,OK - KGS line correctly excluded from litre totals,uom=KGS in plan-aug-components.csv
RM0000037,COCONUT EXTRA VIRGIN OIL,9000.0,5608.6,3391.4,62.3,0.0,431.0,867.6,1298.6,n/a,-,-,-,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,Aug purchases 0 L and production 431 L occurred inside the requirement window and were not credited
RM0000066,PEANUT OIL,7611.3,344468.2,0.0,100,227494.3,0.0,220895.0,220895.0,n/a,-,-,-,OK - reported as covered,"Aug purchases 227,494 L, made 0 L"
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,1713.2,75573.5,0.0,100,0.0,0.0,20000.0,20000.0,no,-,-,-,OK - reported as covered,"Aug purchases 0 L, made 0 L"
RM0000053,LOOSE OIL SESAME SEED OIL (TOASTED),1000.0,13141.4,0.0,100,0.0,19.0,0.0,19.0,n/a,-,-,-,OK - reported as covered,"Aug purchases 0 L, made 19 L"

TOTAL (17 LTR lines),,4867140.5,,3270956.4,,2000338.7,1693599.5,3598905.0,3693938.2,,,,,HEADLINE REFUTED,"Claim: 3,270,956 L (67%) of August still uncovered, stated 2026-08-29. Live SAP for the same 17 items over 2026-08-01..31: 2,000,339 L purchased (OINM T20), 1,693,600 L received from production (T59), 3,598,905 L already issued to production (T60). The month was ~74% executed when the claim was made. EXIM /planning/latest/ is month=2026-09-01 PRODUCTION PLANING MONTH OF SEP 2026 uploaded 2026-08-27 - August is a closed month."
SILENT OMISSION,RM0000052 LOOSE REFINED OLIVE OIL (DARK COLOUR),,,,,,,,,,"issued 141,000 L into RM0000001 production in August","153,992.5 L on hand now",NO - absent from all 17 lines and from every caveat,OIL DROPPED,"WOR1 Aug + OITW. It is the principal feedstock of the report largest shortfall line (RM0000001, claimed 621,335 L short) and appears nowhere in sap_visible_l"
UNCHANGED / CONFIRMED,Ukraine crude canola contract,,,,,,,,,,,,,CONFIRMED,"Re-fetched GET /stock-status/674/ 2026-08-29: RM0CDRO CRUDE CANOLA, vendor_code TEMP0010, vendor_name UKRAINE, quantity 750000.00 kg, quantity_in_litre 824175.00, rate 126.000, total 94500000.00, status IN_CONTRACT, contract 2026-07-23 to 2026-08-22, eta null, arrival_date null, grpo_number null, payment UNPAID, created 2026-07-25T06:48:05Z by raspreet@exim.com, deleted false. SAP OCRD JIVO_OIL_HANADB: zero rows for CardName like %UKRAIN%, CardCode like TEMP%, or Country in (UA,UR) - no PO is possible. Unit correction kg-not-litres is correct."
