code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
PM0000057,PET BOTTLE 2 LTR 66 GMS,BUY,6240,36206,8400,-38366,0,63.1,TPAC PACKAGING INDIA PVT LTD II
PM0000071,SHRINKS 1 LTR 235X310,BUY,5610,86372,22000,-102762,0,12.1,MULTILAYER INDUSTRIES
PM0000078,CAPS 5 LTR/15 LTR,BUY,5209,84690,160800,-240281,0,1.0,NATIONAL TIN INDUSTRIES
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,BUY,4936,8272,0,-3336,0,9.0,ROYAL PRIME LABELS
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,BUY,4936,8272,0,-3336,0,9.0,ROYAL PRIME LABELS
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,BUY,4905,2136,5000,-2231,0,,
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,BUY,4905,1286,5000,-1381,0,,
PM0000074,TAPE CELLO,BUY,3993,723683,23275,-742965,0,3.4,BAKSHI PLASTIC BHANDAR
PM0000468,CAPS 5 LTR GREEN,BUY,3900,49953,253272,-299325,0,17.9,RAJ TECHNOPACK PVT LTD
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,BUY,3391,4172,10010,-10791,0,20.7,NATIONAL TIN INDUSTRIES
PM0000042,LABEL 2 LTR REFINED FRONT,BUY,3210,14270,30,-11090,0,11.5,ROYAL PRIME LABELS
PM0000041,LABEL 2 LTR REFINED BACK,BUY,3210,16898,30,-13718,0,11.5,ROYAL PRIME LABELS
PM0000122,TIKKI 100 MLS,BUY,3210,25588,2816,-25194,0,14.4,MEDIA GRAPHIC PRINTS VEND
PM0000026,LABEL 1 LTR REFINED FRONT,BUY,3089,122983,4000,-123894,0,11.0,ROYAL PRIME LABELS
PM0000025,LABEL 1 LTR REFINED BACK,BUY,3089,119532,4000,-120443,0,11.0,ROYAL PRIME LABELS
PM0000403,TIKKI 100 MLS MUSTARD FREE,BUY,3089,33492,4000,-34403,0,5.7,MEDIA GRAPHIC PRINTS VEND
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,BUY,3028,186173,0,-183146,0,,
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,BUY,3028,25010,0,-21982,0,21.0,ROYAL PRIME LABELS
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,BUY,3028,20055,0,-17028,0,21.0,ROYAL PRIME LABELS
PM0000056,PET BOTTLE 100 MLS BOTTLES,BUY,2932,23546,7583,-28197,0,41.1,ECHO PLAST INDIA
PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,BUY,2932,26983,5000,-29051,0,7.5,AMD INDUSTRIES LTD
PM0000393,LABEL 100 MLS MUSTARD FRONT,BUY,2932,6080,0,-3148,0,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000392,LABEL 100 MLS MUSTARD BACK,BUY,2932,7400,0,-4468,0,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000729,CAPS INNER PET BOTTLE 250 MLS,BUY,2932,40781,2600,-40449,0,1.8,PYARA LAL KAPUR AND SONS
PM0000825,CARTON 1 LTR 20 PCS NEW,BUY,2901,5204,16314,-18617,0,11.1,SSY CONTAINERS PVT LTD
PM0000634,CARTON 1 LTR 20 PCS SANO,BUY,2884,7149,2418,-6683,0,12.3,SSY CONTAINERS PVT LTD
PM0000878,TIKKI BARCODE CSD KGMO 1 LTR,BUY,2182,885,0,1297,0,2.0,MEDIA GRAPHIC PRINTS VEND
PM0000584,PET BOTTLE 1 LTR 26 GM PLAIN,BUY,2077,136467,0,-134390,0,53.6,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000578,LABEL 900 GM  MUSTARD FRONT  SANO,BUY,2077,96375,0,-94298,0,,
PM0000577,LABEL 900 GM  MUSTARD BACK  SANO,BUY,2077,134800,0,-132723,0,,
PM0000877,TIKKI BARCODE CSD KGMO 5 LTR,BUY,2067,1225,0,842,0,2.0,MEDIA GRAPHIC PRINTS VEND
PM0000193,TIKKI 1 LTR EXTRA LIGHT FREE,BUY,2004,55915,19186,-73097,0,6.3,THE LABEL STORE AFOPC8295E
PM0000842,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE FRONT LA RASOI,BUY,1970,2970,0,-1000,0,4.0,ROYAL PRIME LABELS
PM0000841,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE BACK LA RASOI,BUY,1970,2970,0,-1000,0,4.0,ROYAL PRIME LABELS
PM0000402,TIKKI 1 LTR POMACE OLIVE FREE,BUY,1897,36123,5075,-39301,0,6.5,THE LABEL STORE AFOPC8295E
PM0000228,HDPE BOTTLE 4 LTR,BUY,1720,9583,78400,-86263,0,15.4,ECHO PLAST INDIA
PM0000226,LABEL 4 LTR COLD PRESS BACK,BUY,1720,67693,5000,-70973,0,9.2,ROYAL PRIME LABELS
PM0000245,CARTON 5 LTR 4 PCS PET,BUY,1685,3733,14,-2062,0,2.5,SSY CONTAINERS PVT LTD
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,BUY,1653,1553,301,-201,0,1.5,SSY CONTAINERS PVT LTD
PM0000863,LABEL 5 LTR CANOLA FRONT (NIRMAL RISHI),BUY,1616,23452,0,-21836,0,5.5,ROYAL PRIME LABELS
PM0000471,CAPS 5 LTR BLUE,BUY,1393,9375,16855,-24837,0,1.0,A A ENTERPRISES
PM0000052,LABEL 5 LTR REFINED FRONT,BUY,1393,6089,0,-4696,0,17.5,ROYAL PRIME LABELS
PM0000051,LABEL 5 LTR REFINED BACK,BUY,1393,14381,0,-12988,0,17.5,ROYAL PRIME LABELS
PM0000335,TIKKI 250 MLS,BUY,1393,10929,0,-9536,0,2.7,MEDIA GRAPHIC PRINTS VEND
PM0000765,TIKKI BARCODE CSD 5 LTR CANOLA,BUY,1393,6977,0,-5584,0,2.3,MEDIA GRAPHIC PRINTS VEND
PM0000187,SHRINKS 3 LTR/4 LTR,BUY,1306,26995,32186,-57875,0,14.8,MULTILAYER INDUSTRIES
PM0000766,TIKKI BARCODE CSD 2 LTR CANOLA,BUY,1284,9983,0,-8699,0,3.0,MEDIA GRAPHIC PRINTS VEND
PM0000045,LABEL 5 LTR COLD PRESS BACK 365,BUY,1164,170770,3000,-172606,0,10.0,ROYAL PRIME LABELS
PM0000113,HDPE BOTTLE 3 LTR,BUY,1161,25859,45286,-69984,0,10.9,ECHO PLAST INDIA
PM0000118,LABEL 3 LTR COLD PRESS FRONT,BUY,1161,24135,20186,-43160,0,8.7,ROYAL PRIME LABELS
PM0000117,LABEL 3 LTR COLD PRESS BACK,BUY,1161,27086,20186,-46111,0,8.7,ROYAL PRIME LABELS
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,BUY,1129,4758,3322,-6951,0,2.7,SSY CONTAINERS PVT LTD
PM0000046,LABEL 5 LTR COLD PRESS FRONT,BUY,1115,99385,24980,-123250,0,6.9,ROYAL PRIME LABELS
PM0000629,CARTON TIN TOP,BUY,1047,19650,6550,-25153,0,28.7,SSY CONTAINERS PVT LTD
PM0000082,CARTON 5 LTR OLIVE 4 PCS,BUY,848,6143,12723,-18019,0,28.6,SSY CONTAINERS PVT LTD
PM0000072,SHRINKS 5 LTR 400X415 5+1 PCS,BUY,811,22863,0,-22052,0,9.0,MULTILAYER INDUSTRIES
PM0000836,TIN 3 LTR EXTRA  VIRGIN CANOLA OIL PRINTED,BUY,771,2,0,769,0,17.0,NATIONAL TIN INDUSTRIES
PM0000128,CARTON 500 MLS 24 PCS,BUY,756,6374,3600,-9218,0,5.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000009,CARTON 2 LTR 10 PCS,BUY,624,3257,25,-2658,0,15.2,SSY CONTAINERS PVT LTD
PM0000083,TIKKI BARCODE CSD 1 LTR CANOLA,BUY,618,14076,800,-14258,0,3.5,MEDIA GRAPHIC PRINTS VEND
PM0000108,LABEL 1 LTR POMACE FRONT,BUY,559,213000,62007,-274448,0,10.6,ROYAL PRIME LABELS
PM0000107,LABEL 1 LTR POMACE BACK,BUY,559,214171,67007,-280619,0,10.6,ROYAL PRIME LABELS
PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,BUY,558,1230,3000,-3672,0,16.6,NATIONAL TIN INDUSTRIES
PM0000076,TIN 15 LTR,BUY,489,29016,21628,-50155,0,27.0,NATIONAL TIN INDUSTRIES
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,BUY,372,8439,0,-8067,0,5.0,PACKGEN INTERNATIONAL PVT LTD
PM0000229,CARTON 4 LTR 5 PCS,BUY,344,6348,1070,-7074,0,11.9,SSY CONTAINERS PVT LTD
PM0000012,CARTON 5 LTR 3 PCS,BUY,270,6097,1370,-7196,0,21.2,SSY CONTAINERS PVT LTD
PM0000364,LABEL 2 LTR SUNFLOWER HANDEL BOTTLE FRONT,BUY,261,15601,0,-15340,0,,
PM0000363,LABEL 2 LTR SUNFLOWER HANDEL BOTTLE BACK,BUY,261,15601,0,-15340,0,,
PM0000899,CARTON 3 LTR OLIVE 3 PCS,BUY,257,1728,0,-1471,0,,
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,BUY,252,252371,26040,-278159,0,8.0,ROYAL PRIME LABELS
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,BUY,252,252103,26000,-277851,0,8.0,ROYAL PRIME LABELS
PM0000884,SHRINK POF ROLL KG,BUY,218,1273,0,-1055,0,7.0,JOY PACK INDIA PVT LTD
PM0000005,CARTON 1 LTR 12 POUCHES,BUY,203,26548,19208,-45553,0,16.8,SSY CONTAINERS PVT LTD
PM0000838,CARTON 2 LTR 10 PCS HANDLE BOTTLE PLAIN,BUY,197,1996,0,-1799,0,4.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000182,CARTON 3 LTR 6 PCS,BUY,193,1762,12484,-14053,0,1.7,SSY CONTAINERS PVT LTD
PM0000227,LABEL 4 LTR COLD PRESS FRONT,BUY,153,69585,5000,-74432,0,9.8,ROYAL PRIME LABELS
PM0000589,CARTON PET BOTTLE 100 ML 20 PCS,BUY,147,848,800,-1502,0,2.0,PACKSTER PACKAGING SOLUTIONS
PM0000062,CAPS 5 LTR,BUY,145,27036,0,-26891,0,17.7,RAJ TECHNOPACK PVT LTD
PM0000859,LABEL 13 KG REFINED CANOLA,BUY,116,2939,0,-2823,0,2.5,MEDIA GRAPHIC PRINTS VEND
PM0000130,POUCH REFINED MULTI ROLLS KGS,BUY,20,1095,0,-1074,0,4.0,UFLEX LIMITED NEW
PM0000660,TIN STRIP,BUY,9,1237,74,-1303,0,1.4,JOY PACK INDIA PVT LTD
PM0000672,SHRINK ROLL POF GM,BUY,8,986,40148,-41125,0,-2.3,JOY PACK INDIA PVT LTD
PM0000073,MS COATED DRUM 200 LTR,BUY,5,99,159,-253,0,2.1,EAST INDIA DRUMS AND BARRELS MANUFACTURING LIMITED AAACV4766F
PM0000033,LABEL 2 LTR COLD PRESS FRONT,BUY,2,10,0,-8,0,,
PM0000032,LABEL 2 LTR COLD PRESS BACK,BUY,2,10,0,-8,0,,
SF0000004,SUNFLOWER OIL 15 LTR IMP,BUY,0,0,0,0,0,19.0,ILAHI CO
PM0000852,PREFORM 49.5 GMS 36 MM,BUY,0,285644,361189,-646833,0,15.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000817,PREFORM 21/23 GMS,BUY,0,279200,200000,-479200,0,2.3,FRYSTAL PET PRIVATE LIMITED
RM0000014,EXTRA VIRGIN OLIVE OIL IMPORTED,BUY,0,2000,0,-2000,0,44.7,MIGASA ACEITES S L U
RM0000012,EXTRA LIGHT OLIVE LOSSE OIL IMPORTED,BUY,0,12500,0,-12500,0,44.7,MIGASA ACEITES S L U
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,BUY,0,27222,48352,-75574,0,48.8,MIGASA ACEITES S L U
RM0000052,LOOSE REFINED OLIVE OIL (DARK COLOUR),BUY,0,0,0,0,0,,
