code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,LABEL,PCS,21067.45,37514.00,100000.00,-16446.55,-116446.55,10.0,ZENBI INTERNATIONAL PRIVATE LIMITED,12.0,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,LABEL,PCS,21067.45,69824.00,100000.00,-48756.55,-148756.55,10.0,ZENBI INTERNATIONAL PRIVATE LIMITED,12.0,ROYAL PRIME LABELS
PM0000900,LABEL 200 ML CP KACHI GHANI FRONT,LABEL,PCS,20090.00,74460.00,0.00,-54370.00,-54370.00,6.0,ROYAL PRIME LABELS,6.0,ROYAL PRIME LABELS
PM0000901,LABEL 200 ML CP KACHI GHANI BACK,LABEL,PCS,20090.00,74460.00,0.00,-54370.00,-54370.00,6.0,ROYAL PRIME LABELS,6.0,ROYAL PRIME LABELS
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,LABEL,PCS,19186.70,181305.00,244000.00,-162118.30,-406118.30,6.3,ROYAL PRIME LABELS,21.7,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000022,LABEL 1 LTR PAKKI GHANI BACK,LABEL,PCS,16780.35,74539.00,33000.00,-57758.65,-90758.65,10.0,ROYAL PRIME LABELS,10.0,ROYAL PRIME LABELS
PM0000023,LABEL 1 LTR PAKKI GHANI FRONT,LABEL,PCS,16780.35,76889.00,33000.00,-60108.65,-93108.65,10.0,ROYAL PRIME LABELS,10.0,ROYAL PRIME LABELS
PM0000567,CAPS 1 LTR WHITE AND ORANGE (SMALL) PLAIN,CAPS,PCS,16780.35,269308.00,3000.00,-252527.65,-255527.65,,,,
PM0000057,PET BOTTLE 2 LTR 66 GMS,PET BOTTLES,PCS,16640.00,36520.00,28300.00,-19880.00,-48180.00,60.2,TPAC PACKAGING INDIA PVT LTD II,60.2,TPAC PACKAGING INDIA PVT LTD II
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,LABEL,PCS,16224.50,77973.00,1.00,-61748.50,-61749.50,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,LABEL,PCS,16224.50,77973.00,1.00,-61748.50,-61749.50,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,15590.10,61991.00,0.00,-46400.90,-46400.90,4.3,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000078,CAPS 5 LTR/15 LTR,CAPS,PCS,15205.10,116370.00,160800.00,-101164.90,-261964.90,1.0,NATIONAL TIN INDUSTRIES,35.0,BERICAP INDIA PRIVATE LIMITED
PM0000053,HDPE BOTTLE 5 LTR,HDPE BOTTLES,PCS,13727.65,22374.00,258977.00,-8646.35,-267623.35,11.3,AG POLY PACKS PVT LTD,30.2,ECHO PLAST INDIA
PM0000629,CARTON TIN TOP,CARTON,PCS,11325.45,21301.00,6550.00,-9975.55,-16525.55,27.5,SSY CONTAINERS PVT LTD,27.5,SSY CONTAINERS PVT LTD
PM0000468,CAPS 5 LTR GREEN,CAPS,PCS,10731.00,29230.00,228916.00,-18499.00,-247415.00,9.0,AG POLY PACKS PVT LTD,30.0,S M PLAST & CHEMICALS VEND
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,CARTON,PCS,9798.39,16508.40,39641.00,-6710.01,-46351.01,10.5,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B),28.1,SSY CONTAINERS PVT LTD
RM0000021,LOOSE OIL GOLD,BLENDED,LTR,9731.70,1179.00,0.00,8552.70,8552.70,,,,
PM0000035,LABEL 2 LTR KACHCHI GHANI BACK,LABEL,PCS,8560.40,32966.00,0.00,-24405.60,-24405.60,7.0,ROYAL PRIME LABELS,7.0,ROYAL PRIME LABELS
PM0000036,LABEL 2 LTR KACHCHI GHANI FRONT,LABEL,PCS,8560.40,33285.00,0.00,-24724.60,-24724.60,7.0,ROYAL PRIME LABELS,7.0,ROYAL PRIME LABELS
PM0000076,TIN 15 LTR,TIN,PCS,7813.85,34596.00,22336.00,-26782.15,-49118.15,25.9,NATIONAL TIN INDUSTRIES,38.8,BOXMASTERS INDIA
PM0000046,LABEL 5 LTR COLD PRESS FRONT,LABEL,PCS,7768.10,107615.00,24980.00,-99846.90,-124826.90,7.1,ROYAL PRIME LABELS,7.1,ROYAL PRIME LABELS
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,LABEL,PCS,7617.50,25789.00,0.00,-18171.50,-18171.50,21.0,ROYAL PRIME LABELS,21.0,ROYAL PRIME LABELS
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,LABEL,PCS,7617.50,30739.00,0.00,-23121.50,-23121.50,21.0,ROYAL PRIME LABELS,21.0,ROYAL PRIME LABELS
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,CAPS,PCS,7617.50,192761.00,0.00,-185143.50,-185143.50,,,,
PM0000861,LABEL 1 LTR GOLD FULL,LABEL,PCS,7456.35,63947.00,44150.00,-56490.65,-100640.65,7.0,ZENBI INTERNATIONAL PRIVATE LIMITED,12.3,CORE PACKAGING
PM0000535,LABEL 5 LTR COLD PRESS BACK 994,LABEL,PCS,5900.10,40257.00,48480.00,-34356.90,-82836.90,7.0,ROYAL PRIME LABELS,7.0,ROYAL PRIME LABELS
PM0000195,PET BOTTLE 1 LTR 52 GMS GREEN,PET BOTTLES,PCS,5407.50,13720.00,40424.00,-8312.50,-48736.50,4.0,TPAC PACKAGING INDIA PVT LTD,18.6,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,CAPS,PCS,5395.25,140823.00,68308.00,-135427.75,-203735.75,4.0,MAHESHWARI CAPS PVT LTD,16.4,BABAJI UDYOG PVT. LTD.
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,LABEL,PCS,5277.50,56503.00,0.00,-51225.50,-51225.50,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,LABEL,PCS,5277.50,56415.00,0.00,-51137.50,-51137.50,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000074,TAPE CELLO,TAPE,MTR,5141.02,687084.70,23275.00,-681943.68,-705218.68,3.4,BAKSHI PLASTIC BHANDAR,3.4,BAKSHI PLASTIC BHANDAR
PM0000108,LABEL 1 LTR POMACE FRONT,LABEL,PCS,5132.95,249107.00,62007.00,-243974.05,-305981.05,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
PM0000107,LABEL 1 LTR POMACE BACK,LABEL,PCS,5132.95,247125.00,67007.00,-241992.05,-308999.05,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
PM0000003,CARTON 1 LTR POMACE 16 PCS,CARTON,PCS,4990.02,23978.47,35171.44,-18988.44,-54159.88,17.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0,37.1,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,LABEL,PCS,4767.00,11083.00,40000.00,-6316.00,-46316.00,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,LABEL,PCS,4767.00,11142.00,40000.00,-6375.00,-46375.00,16.0,ROYAL PRIME LABELS,16.0,ROYAL PRIME LABELS
PM0000724,CAPS 1 & 2 LTR WHITE AND LIGHT-BROWN WITH LOGO GO,CAPS,PCS,4767.00,16802.00,0.00,-12035.00,-12035.00,2.0,MAHESHWARI CAPS PVT LTD,2.0,MAHESHWARI CAPS PVT LTD
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,TIN,PCS,4708.05,15764.00,23292.00,-11055.95,-34347.95,30.9,NATIONAL TIN INDUSTRIES,30.9,NATIONAL TIN INDUSTRIES
PM0000466,LABEL 13 KGS REFINED SOYBEAN OIL,LABEL,PCS,4297.85,28821.00,10000.00,-24523.15,-34523.15,12.0,ZENBI INTERNATIONAL PRIVATE LIMITED,16.5,PEARL INDUSTRIES
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,CARTON,PCS,4168.99,15217.50,19305.00,-11048.51,-30353.51,19.5,SSY CONTAINERS PVT LTD,31.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,SHRINK,PCS,3865.45,27045.35,85480.00,-23179.90,-108659.90,8.8,MULTILAYER INDUSTRIES,8.8,MULTILAYER INDUSTRIES
RM0000034,LOOSE OIL RICE BRAN & OLIVE,BLENDED,LTR,3818.00,16106.00,0.00,-12288.00,-12288.00,,,,
PM0000125,PET BOTTLE 500 MLS 34 GMS,PET BOTTLES,PCS,3598.60,108302.00,125560.00,-104703.40,-230263.40,9.0,TPAC PACKAGING INDIA PVT LTD II,11.7,TPAC PACKAGING INDIA PVT LTD
PM0000015,LABEL 1 LTR COLD PRESS FRONT,LABEL,PCS,3596.60,136283.00,226000.00,-132686.40,-358686.40,7.8,ROYAL PRIME LABELS,19.5,THE LABEL STORE AFOPC8295E
PM0000503,LABEL 1 LTR POMACE FRONT ZANO,LABEL,PCS,3562.80,6251.00,0.00,-2688.20,-2688.20,5.4,ROYAL PRIME LABELS,5.4,ROYAL PRIME LABELS
PM0000504,LABEL 1 LTR POMACE BACK ZANO,LABEL,PCS,3562.80,6244.00,0.00,-2681.20,-2681.20,5.4,ROYAL PRIME LABELS,5.4,ROYAL PRIME LABELS
RM0000040,SO OLIVE OIL,BLENDED,LTR,3463.45,8975.00,0.00,-5511.55,-5511.55,,,,
PM0000890,LABEL 12 KG REFINED SOYABEAN OIL,LABEL,PCS,3324.00,370.00,0.00,2954.00,2954.00,4.3,PACKGEN INTERNATIONAL PVT LTD,4.3,PACKGEN INTERNATIONAL PVT LTD
PM0000013,CARTON 5 LTR 4 PCS,CARTON,PCS,3284.84,17873.00,51482.00,-14588.16,-66070.16,11.2,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B),46.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000609,LABEL 15 KGS REFINED SOYBEAN OIL PCS,LABEL,PCS,3155.50,37966.00,0.00,-34810.50,-34810.50,7.0,PEARL INDUSTRIES,19.3,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000506,CAPS 1 & 2 LTR FULL GREEN PLAIN,CAPS,PCS,3022.75,82740.00,3000.00,-79717.25,-82717.25,2.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),26.0,BABAJI UDYOG PVT. LTD.
PM0000825,CARTON 1 LTR 20 PCS NEW,CARTON,PCS,3017.43,4529.25,17984.00,-1511.82,-19495.82,10.8,SSY CONTAINERS PVT LTD,10.8,SSY CONTAINERS PVT LTD
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,CAPS,PCS,2951.00,170088.00,83000.00,-167137.00,-250137.00,11.0,MAHESHWARI CAPS PVT LTD,18.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000193,TIKKI 1 LTR EXTRA LIGHT FREE,TIKKI,PCS,2882.80,56429.00,19186.00,-53546.20,-72732.20,6.3,THE LABEL STORE AFOPC8295E,6.3,THE LABEL STORE AFOPC8295E
RM0000030,REFINED COTTON OIL,COTTON SEED,LTR,2864.21,21.89,0.00,2842.32,2842.32,4.0,NATIONAL AGRO FOODS,9.0,AWL AGRI BUSINESS LIMITED
PM0000469,CAPS 5 LTR BROWN,CAPS,PCS,2773.20,110308.00,170441.00,-107534.80,-277975.80,12.5,AG POLY PACKS PVT LTD,22.6,RAJ TECHNOPACK PVT LTD
PM0000055,PET BOTTLE 1 LTR 52 GMS,PET BOTTLES,PCS,2599.00,20375.00,3000.00,-17776.00,-20776.00,3.0,ECHO PLAST INDIA,3.0,ECHO PLAST INDIA
PM0000496,LABEL 1 LTR TIKKI B.B,LABEL,PCS,2599.00,16874.00,3000.00,-14275.00,-17275.00,12.0,ROYAL PRIME LABELS,12.0,ROYAL PRIME LABELS
SF0000002,SOYABEAN OIL 15 KGS TIN IMP,SOYABEAN,PCS,2455.50,12300.00,0.00,-9844.50,-9844.50,4.0,SHIVAY EDIBLES PVT LTD,23.1,ILAHI CO
PM0000049,LABEL 5 LTR PAKKI GHANI BACK,LABEL,PCS,2377.30,14630.00,3000.00,-12252.70,-15252.70,32.0,ROYAL PRIME LABELS,32.0,ROYAL PRIME LABELS
PM0000050,LABEL 5 LTR PAKKI GHANI FRONT,LABEL,PCS,2377.30,14724.00,3000.00,-12346.70,-15346.70,32.0,ROYAL PRIME LABELS,32.0,ROYAL PRIME LABELS
PM0000470,CAPS 5 LTR ORANGE,CAPS,PCS,2377.30,37188.00,65510.00,-34810.70,-100320.70,11.5,A A ENTERPRISES,39.4,ECHO PLAST INDIA
PM0000126,LABEL 500 MLS COLD PRESS FRONT,LABEL,PCS,2376.00,26816.00,0.00,-24440.00,-24440.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000127,LABEL 500 MLS COLD PRESS BACK,LABEL,PCS,2376.00,22615.00,0.00,-20239.00,-20239.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
SF0000001,SOYABEAN OIL 13 KGS TIN IMP,SOYABEAN,PCS,2266.10,201.00,0.00,2065.10,2065.10,3.0,MAA JAWALA OVERSEAS,34.0,ILAHI CO
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PET BOTTLES,PCS,2051.40,16735.00,39668.00,-14683.60,-54351.60,37.4,TPAC PACKAGING INDIA PVT LTD II,37.4,TPAC PACKAGING INDIA PVT LTD II
PM0000402,TIKKI 1 LTR POMACE OLIVE FREE,TIKKI,PCS,1939.35,36257.00,5075.00,-34317.65,-39392.65,6.5,THE LABEL STORE AFOPC8295E,6.5,THE LABEL STORE AFOPC8295E
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,LABEL,PCS,1931.25,29064.00,6100.00,-27132.75,-33232.75,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000428,LABEL 5 LTR GROUNDNUT BACK,LABEL,PCS,1931.25,29068.00,6100.00,-27136.75,-33236.75,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000045,LABEL 5 LTR COLD PRESS BACK 365,LABEL,PCS,1917.00,170779.00,3000.00,-168862.00,-171862.00,10.0,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,LABEL,PCS,1820.35,299.00,5504.00,1521.35,-3982.65,4.0,ROYAL PRIME LABELS,4.0,ROYAL PRIME LABELS
PM0000517,PET BOTTLE 1 LTR 75 GMS,PET BOTTLES,PCS,1820.35,12581.00,16013.00,-10760.65,-26773.65,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,LABEL,PCS,1820.35,299.00,5504.00,1521.35,-3982.65,4.0,ROYAL PRIME LABELS,4.0,ROYAL PRIME LABELS
PM0000071,SHRINKS 1 LTR 235X310,SHRINK,PCS,1798.30,29385.00,43800.00,-27586.70,-71386.70,12.8,MULTILAYER INDUSTRIES,12.8,MULTILAYER INDUSTRIES
PM0000005,CARTON 1 LTR 12 POUCHES,CARTON,PCS,1738.12,30915.94,29177.67,-29177.81,-58355.48,17.7,SSY CONTAINERS PVT LTD,31.7,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000863,LABEL 5 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,1725.05,24165.00,0.00,-22439.95,-22439.95,5.5,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000471,CAPS 5 LTR BLUE,CAPS,PCS,1724.75,11487.00,18505.00,-9762.25,-28267.25,1.0,A A ENTERPRISES,22.3,ECHO PLAST INDIA
PM0000784,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL BACK,LABEL,PCS,1702.45,42746.00,0.00,-41043.55,-41043.55,5.0,ROYAL PRIME LABELS,5.0,ROYAL PRIME LABELS
PM0000785,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL FRONT,LABEL,PCS,1702.45,42746.00,0.00,-41043.55,-41043.55,5.0,ROYAL PRIME LABELS,5.0,ROYAL PRIME LABELS
PM0000228,HDPE BOTTLE 4 LTR,HDPE BOTTLES,PCS,1686.90,10122.00,78400.00,-8435.10,-86835.10,15.4,ECHO PLAST INDIA,21.1,RAJ TECHNOPACK PVT LTD
PM0000226,LABEL 4 LTR COLD PRESS BACK,LABEL,PCS,1686.90,67897.00,5000.00,-66210.10,-71210.10,9.2,ROYAL PRIME LABELS,9.2,ROYAL PRIME LABELS
PM0000009,CARTON 2 LTR 10 PCS,CARTON,PCS,1664.00,5199.80,25.00,-3535.80,-3560.80,16.0,SSY CONTAINERS PVT LTD,16.0,SSY CONTAINERS PVT LTD
PM0000289,LABEL 5 LTR SOYABEAN FRONT,LABEL,PCS,1610.90,8649.00,11000.00,-7038.10,-18038.10,13.7,ROYAL PRIME LABELS,13.7,ROYAL PRIME LABELS
PM0000288,LABEL 5 LTR SOYABEAN BACK,LABEL,PCS,1610.90,8367.00,11000.00,-6756.10,-17756.10,13.7,ROYAL PRIME LABELS,13.7,ROYAL PRIME LABELS
PM0000186,HDPE BOTTLE 5 LTR OLIVE GREEN,HDPE BOTTLES,PCS,1602.15,7769.00,20955.00,-6166.85,-27121.85,25.8,RAJ TECHNOPACK PVT LTD,32.5,ECHO PLAST INDIA
PM0000491,LABEL 1 LTR COLD PRESS BACK B.B,LABEL,PCS,1581.00,18189.00,100.00,-16608.00,-16708.00,6.5,ROYAL PRIME LABELS,6.5,ROYAL PRIME LABELS
PM0000490,LABEL 1 LTR COLD PRESS FRONT B.B,LABEL,PCS,1581.00,13109.00,100.00,-11528.00,-11628.00,6.5,ROYAL PRIME LABELS,6.5,ROYAL PRIME LABELS
PM0000072,SHRINKS 5 LTR 400X415 5+1 PCS,SHRINK,PCS,1561.75,22973.00,0.00,-21411.25,-21411.25,8.0,MULTILAYER INDUSTRIES,8.0,MULTILAYER INDUSTRIES
PM0000082,CARTON 5 LTR OLIVE 4 PCS,CARTON,PCS,1530.71,6943.50,15938.00,-5412.79,-21350.79,11.6,SSY CONTAINERS PVT LTD,50.8,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,TIN,PCS,1414.80,28.00,10010.00,1386.80,-8623.20,21.0,NATIONAL TIN INDUSTRIES,21.0,NATIONAL TIN INDUSTRIES
PM0000008,CARTON 15 LTR 1 PCS,CARTON,PCS,1343.95,1388.00,7642.00,-44.05,-7686.05,16.5,BALAJI INC.,18.6,CVS PACKAGING PRIVATE LIMITED
PM0000031,LABEL 15 LTR REFINED CANOLA,LABEL,PCS,1343.95,7567.00,3000.00,-6223.05,-9223.05,3.0,PACKGEN INTERNATIONAL PVT LTD,27.5,PEARL INDUSTRIES
PM0000855,PET BOTTLE 10 ML,PET BOTTLES,PCS,1330.00,5605.00,14000.00,-4275.00,-18275.00,15.5,MAHESHWARI CAPS PVT LTD,15.5,MAHESHWARI CAPS PVT LTD
PM0000862,CAP 10 ML,CAPS,PCS,1330.00,5148.00,14000.00,-3818.00,-17818.00,15.5,MAHESHWARI CAPS PVT LTD,15.5,MAHESHWARI CAPS PVT LTD
PM0000854,LABEL 10 ML EXTRA VIRGIN OLIVE OIL,LABEL,PCS,1330.00,5560.00,14000.00,-4230.00,-18230.00,5.7,ROYAL PRIME LABELS,5.7,ROYAL PRIME LABELS
PM0000187,SHRINKS 3 LTR/4 LTR,SHRINK,PCS,1221.05,32771.00,32186.00,-31549.95,-63735.95,14.9,MULTILAYER INDUSTRIES,14.9,MULTILAYER INDUSTRIES
PM0000117,LABEL 3 LTR COLD PRESS BACK,LABEL,PCS,1218.25,32425.00,20186.00,-31206.75,-51392.75,8.7,ROYAL PRIME LABELS,8.7,ROYAL PRIME LABELS
PM0000118,LABEL 3 LTR COLD PRESS FRONT,LABEL,PCS,1218.25,29448.00,20186.00,-28229.75,-48415.75,8.7,ROYAL PRIME LABELS,8.7,ROYAL PRIME LABELS
PM0000113,HDPE BOTTLE 3 LTR,HDPE BOTTLES,PCS,1218.25,20147.00,50651.00,-18928.75,-69579.75,14.4,ECHO PLAST INDIA,19.6,RAJ TECHNOPACK PVT LTD
PM0000027,LABEL 1 LTR REFINED TOP,LABEL,PCS,1170.00,4574.00,4000.00,-3404.00,-7404.00,1.0,MEDIA GRAPHIC PRINTS VEND,1.0,MEDIA GRAPHIC PRINTS VEND
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,LABEL,PCS,1151.90,11153.00,904.00,-10001.10,-10905.10,7.0,ROYAL PRIME LABELS,7.0,ROYAL PRIME LABELS
PM0000350,LABEL 2 LTR POMACE HANDLE BOTTLE BACK,LABEL,PCS,1151.90,11153.00,904.00,-10001.10,-10905.10,7.0,ROYAL PRIME LABELS,7.0,ROYAL PRIME LABELS
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,LABEL,PCS,1149.10,106672.00,126040.00,-105522.90,-231562.90,7.5,ROYAL PRIME LABELS,15.2,ZENBI INTERNATIONAL PRIVATE LIMITED
