section,company,date,ref,status,party,vehicle_no,warehouse,item_code,item_name,qty,uom,litres,value_inr,in_sap,lag_days,evidence,note
LAG_INVOICE_TO_GATEOUT,ALL,,all-warehouses,,,,,,,1324,dispatches,,,,median 1 / mean 3.10 / p90 8 / max 55,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,only 93 of 1324 (7%) leave the same day the invoice is dated
LAG_INVOICE_TO_GATEOUT,JIVO_OIL,,,,,,BH-BT,,,320,bills,696444,,,median 3 / litre-wtd mean 4.10 / p90 9 / max 29,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= joined to hana-sql JIVO_OIL_HANADB OINV/INV1/OINM,"litres parsed from the SKU name (engine/plan_units.pack_litres), FINISHED item group only"
LAG_INVOICE_TO_GATEOUT,JIVO_OIL,,,,,,BH-PF,,,237,bills,924516,,,median 2 / litre-wtd mean 2.79 / p90 6 / max 24,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= joined to hana-sql JIVO_OIL_HANADB OINV/INV1/OINM,"litres parsed from the SKU name (engine/plan_units.pack_litres), FINISHED item group only"
LAG_INVOICE_TO_GATEOUT,JIVO_OIL,,,,,,GP-FG,,,310,bills,895364,,,median 3 / litre-wtd mean 3.72 / p90 10 / max 55,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= joined to hana-sql JIVO_OIL_HANADB OINV/INV1/OINM,"litres parsed from the SKU name (engine/plan_units.pack_litres), FINISHED item group only"
STEP_DURATION,JIVO_BEVERAGES,,docked->gate_out,,,,,,,786,dispatches,,,,median 0.2 h / mean 0.5 h / p90 0.7 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,the whole wait is BEFORE the dock; once the truck is at the dock it is out in minutes
STEP_DURATION,JIVO_BEVERAGES,,invoice_created->docked,,,,,,,783,dispatches,,,,median 24.1 h / mean 50.3 h / p90 96.3 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,this is the window in which SAP already says the stock is gone and it is still on the floor
STEP_DURATION,JIVO_MART,,docked->gate_out,,,,,,,225,dispatches,,,,median 2.8 h / mean 5.1 h / p90 5.2 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,the whole wait is BEFORE the dock; once the truck is at the dock it is out in minutes
STEP_DURATION,JIVO_MART,,invoice_created->docked,,,,,,,225,dispatches,,,,median 44.3 h / mean 86.1 h / p90 232.7 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,this is the window in which SAP already says the stock is gone and it is still on the floor
STEP_DURATION,JIVO_OIL,,docked->gate_out,,,,,,,313,dispatches,,,,median 2.6 h / mean 3.2 h / p90 4.8 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,the whole wait is BEFORE the dock; once the truck is at the dock it is out in minutes
STEP_DURATION,JIVO_OIL,,invoice_created->docked,,,,,,,312,dispatches,,,,median 53.2 h / mean 106.2 h / p90 218.0 h,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page= + GET /dispatch-plans/bills/?date_from&date_to&all_companies=1,this is the window in which SAP already says the stock is gone and it is still on the floor
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-01,,,,,BH-BT+BH-PF,,,93,open bills,308104,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-02,,,,,BH-BT+BH-PF,,,93,open bills,308104,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-03,,,,,BH-BT+BH-PF,,,96,open bills,301701,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-04,,,,,BH-BT+BH-PF,,,81,open bills,267339,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-05,,,,,BH-BT+BH-PF,,,69,open bills,236826,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-06,,,,,BH-BT+BH-PF,,,58,open bills,209656,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-07,,,,,BH-BT+BH-PF,,,56,open bills,179340,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-08,,,,,BH-BT+BH-PF,,,48,open bills,142854,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-09,,,,,BH-BT+BH-PF,,,44,open bills,131669,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-10,,,,,BH-BT+BH-PF,,,82,open bills,121854,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-11,,,,,BH-BT+BH-PF,,,87,open bills,119733,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-12,,,,,BH-BT+BH-PF,,,94,open bills,120367,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-13,,,,,BH-BT+BH-PF,,,81,open bills,78080,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-14,,,,,BH-BT+BH-PF,,,75,open bills,56612,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-15,,,,,BH-BT+BH-PF,,,75,open bills,56612,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-16,,,,,BH-BT+BH-PF,,,75,open bills,56612,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-17,,,,,BH-BT+BH-PF,,,66,open bills,52350,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-18,,,,,BH-BT+BH-PF,,,31,open bills,64622,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-19,,,,,BH-BT+BH-PF,,,22,open bills,66611,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-20,,,,,BH-BT+BH-PF,,,21,open bills,34644,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-21,,,,,BH-BT+BH-PF,,,26,open bills,37290,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-22,,,,,BH-BT+BH-PF,,,33,open bills,33376,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-23,,,,,BH-BT+BH-PF,,,33,open bills,33376,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-24,,,,,BH-BT+BH-PF,,,40,open bills,61171,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-25,,,,,BH-BT+BH-PF,,,52,open bills,105323,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-26,,,,,BH-BT+BH-PF,,,53,open bills,125625,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-27,,,,,BH-BT+BH-PF,,,59,open bills,124989,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-28,,,,,BH-BT+BH-PF,,,59,open bills,124989,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-29,,,,,BH-BT+BH-PF,,,43,open bills,87915,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
PILE_DAY_BH_BT_PF,JIVO_OIL,2026-08-30,,,,,BH-BT+BH-PF,,,43,open bills,85917,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customers only; litres invoiced out of SAP but with no gate-out yet on that date
SUMMARY,JIVO_OIL,,pile-aug-mean,,,,BH-BT+BH-PF,,,,,124455,,,,derived,"mean August day. median 112,528 L, max 308,104 L on 2026-08-01, today 85,917 L"
SUMMARY,JIVO_OIL,,pile-aug-mean,,,,BH-BT,,,,,86391,,,,derived,"median 65,871 L, max 225,298 L, today 64,147 L"
SUMMARY,JIVO_OIL,,pile-aug-mean,,,,BH-PF,,,,,38064,,,,derived,"median 32,231 L, max 82,861 L, today 21,770 L"
SUMMARY,JIVO_OIL,,pile-aug-mean,,,,GP-FG,,,,,5811,,,,derived,"median 165 L, max 28,906 L, today 0 L"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-30,626080634,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,2.0,340,yes (stock already OUT of OITW),0,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080610,"invoiced, no gate-out recorded",CHARAN DASS BANARSI DASS,,BH-BT,,,,,5630.0,1092705,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080611,"invoiced, no gate-out recorded",CHARAN DASS BANARSI DASS,,BH-PF,,,,,2857.7,494373,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080612,"invoiced, no gate-out recorded",PARSHOTAM LAL VISHWA NATH,,BH-BT,,,,,15008.0,3061610,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080613,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080614,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080615,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080616,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,5302.0,937734,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080617,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1285200,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080619,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080620,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080621,"invoiced, no gate-out recorded",RAJEEV TRADING COMPANY,,BH-BT,,,,,640.0,121600,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080622,"invoiced, no gate-out recorded",SAI TRADING COMPANY,,BH-PF,,,,,8248.4,1230954,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080623,"invoiced, no gate-out recorded",DURGA TRADING COMPANY (CQXPG8530Q),,BH-BT,,,,,4125.0,730500,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080624,"invoiced, no gate-out recorded",ANAND ENTERPRISES,,BH-BT,,,,,1320.0,227027,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080625,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1890000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080626,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1890000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080627,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080628,"invoiced, no gate-out recorded",ILAHI CO. (BTCPN5063N),,BH-BT,,,,,2084.0,439221,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080629,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080630,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,2730000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
