module,path,method,cli_command,status,known_in_repo,row_count,notes
Barcode,/barcode/dispatch/reports/,GET,barcode dispatch-reports,200,binary+spec,133,live | registry:BARCODE.DISPATCH_REPORTS
Barcode,/barcode/dispatch/reports/boxes/,GET,barcode dispatch-reports-boxes,200,binary+spec,1000,live | registry:BARCODE.DISPATCH_REPORT_BOXES
Barcode,/barcode/dispatch/reports/pallets/,GET,barcode dispatch-reports-pallets,200,binary+spec,1000,live | registry:BARCODE.DISPATCH_REPORT_PALLETS
Barcode,/barcode/dispatch/reports/rejected-scans/,GET,barcode dispatch-reports-rejected-scans,200,binary+spec,1000,live | registry:BARCODE.DISPATCH_REPORT_REJECTED_SCANS
Barcode,/barcode/dispatch/reports/{id}/,GET,barcode dispatch-report-detail,not probed,binary+spec,,needs id | registry:BARCODE.DISPATCH_REPORT_DETAIL
Barcode,/barcode/dispatch/sessions/,GET,barcode dispatch-sessions,TIMEOUT,binary+spec,,timeout (large payload) | registry:BARCODE.DISPATCH_SESSIONS
Barcode,/barcode/dispatch/sessions/active/,GET,barcode dispatch-sessions-active,200,binary+spec,,live | registry:BARCODE.DISPATCH_SESSIONS_ACTIVE
Barcode,/barcode/dispatch/sessions/closed/,GET,barcode dispatch-sessions-closed,200,binary+spec,0,"live, zero rows in JIVO_OIL | registry:BARCODE.DISPATCH_SESSIONS_CLOSED"
Barcode,/barcode/dispatch/sessions/completed/,GET,barcode dispatch-sessions-completed,200,binary+spec,,live | registry:BARCODE.DISPATCH_SESSIONS_COMPLETED
Barcode,/barcode/dispatch/sessions/from-bill/,POST,barcode dispatch-sessions-from-bill,not probed,binary+spec,,denylist:side-effect | registry:BARCODE.DISPATCH_SESSIONS_FROM_BILL
Barcode,/barcode/dispatch/sessions/{id}/,GET,barcode dispatch-session,not probed,binary+spec,,needs id | registry:BARCODE.DISPATCH_SESSION_DETAIL
Barcode,/barcode/dispatch/sessions/{id}/cancel/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.DISPATCH_SESSION_CANCEL
Barcode,/barcode/dispatch/sessions/{id}/close/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.DISPATCH_SESSION_CLOSE
Barcode,/barcode/dispatch/sessions/{id}/complete/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.DISPATCH_SESSION_COMPLETE
Barcode,/barcode/dispatch/sessions/{id}/dispatch/,UNRESOLVED,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SESSION_DISPATCH | verb unresolved in bundle
Barcode,/barcode/dispatch/sessions/{id}/retry-sap-sync/,POST,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SESSION_RETRY_SAP_SYNC
Barcode,/barcode/dispatch/sessions/{id}/sap-sync-logs/,GET,barcode dispatch-sap-sync-logs,not probed,binary+spec,,needs id | registry:BARCODE.DISPATCH_SESSION_SAP_SYNC_LOGS
Barcode,/barcode/dispatch/sessions/{id}/scan-logs/,GET,barcode dispatch-scan-logs,not probed,binary+spec,,needs id | registry:BARCODE.DISPATCH_SESSION_SCAN_LOGS
Barcode,/barcode/dispatch/sessions/{id}/scan/,UNRESOLVED,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SESSION_SCAN | verb unresolved in bundle
Barcode,/barcode/dispatch/sessions/{id}/scanned-boxes/{id}/,PATCH,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SCANNED_BOX
Barcode,/barcode/dispatch/sessions/{id}/scanned-boxes/{id}/remove/,POST,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SCANNED_BOX_REMOVE
Barcode,/barcode/dispatch/sessions/{id}/scans/,POST,,not probed,no,,needs id | registry:BARCODE.DISPATCH_SESSION_SCANS
Barcode,/barcode/dispatch/settings/,GET|PATCH,,200,spec-only,obj,live | registry:BARCODE.DISPATCH_SETTINGS
Barcode,/barcode/intercompany/dashboard/,GET,barcode intercompany-dashboard,200,binary+spec,obj,live | registry:BARCODE.INTERCOMPANY_DASHBOARD
Barcode,/barcode/intercompany/scan/,POST,,not probed,no,,no GET evidence | registry:BARCODE.INTERCOMPANY_SCAN
Barcode,/barcode/intercompany/trace/,GET,barcode intercompany-trace,400,binary+spec,,"routed; required query param missing: {""error"":""Search value is required.""} | registry:BARCODE.INTERCOMPANY_TRACE"
Barcode,/barcode/intercompany/transfers/,GET|POST,barcode intercompany-transfers,200,binary+spec,,live | registry:BARCODE.INTERCOMPANY_TRANSFERS
Barcode,/barcode/intercompany/transfers/{id}/,GET,barcode intercompany-transfer,not probed,binary+spec,,needs id | registry:BARCODE.INTERCOMPANY_TRANSFER_DETAIL
Barcode,/barcode/intercompany/transfers/{id}/reverse/,POST,,not probed,no,,needs id | registry:BARCODE.INTERCOMPANY_TRANSFER_REVERSE
Barcode,/barcode/intercompany/warehouses/,GET,,400,spec-only,,"routed; required query param missing: {""error"":""company_code is required.""} | registry:BARCODE.INTERCOMPANY_WAREHOUSES"
Barcode,/barcode/items/oitm/,GET,barcode items-oitm,200,binary+spec,100,live | registry:BARCODE.OITM_ITEMS
Barcode,/barcode/items/oitm/detail/,GET,barcode item-detail,400,binary+spec,,"routed; required query param missing: {""error"":""item_code is required.""} | registry:BARCODE.OITM_ITEM_DETAIL"
Barcode,/barcode/lookup/{id}/,GET,barcode lookup,not probed,binary+spec,,needs id | registry:BARCODE.LOOKUP
Barcode,/barcode/loose/,GET,barcode loose,200,binary+spec,500,live | registry:BARCODE.LOOSE
Barcode,/barcode/loose/summary/,GET,,200,spec-only,49,live | registry:BARCODE.LOOSE_SUMMARY
Barcode,/barcode/loose/{id}/,GET,barcode loose-item,not probed,binary+spec,,needs id | registry:BARCODE.LOOSE_DETAIL
Barcode,/barcode/pallets/,GET,barcode pallets,200,binary+spec,500,live | registry:BARCODE.PALLETS
Barcode,/barcode/pallets/create/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.PALLET_CREATE
Barcode,/barcode/pallets/{id}/,DELETE|GET,barcode pallet,not probed,binary+spec,,needs id | registry:BARCODE.PALLET_DETAIL
Barcode,/barcode/pallets/{id}/add-boxes/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_ADD_BOXES
Barcode,/barcode/pallets/{id}/clear/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_CLEAR
Barcode,/barcode/pallets/{id}/dismantle/,POST,,not probed,no,,needs id | registry:BARCODE.DISMANTLE_PALLET
Barcode,/barcode/pallets/{id}/history/,GET,barcode pallet-history,not probed,binary+spec,,needs id | registry:BARCODE.PALLET_HISTORY
Barcode,/barcode/pallets/{id}/move/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_MOVE
Barcode,/barcode/pallets/{id}/reconcile/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_RECONCILE
Barcode,/barcode/pallets/{id}/remove-boxes/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_REMOVE_BOXES
Barcode,/barcode/pallets/{id}/split/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_SPLIT
Barcode,/barcode/pallets/{id}/void/,POST,,not probed,no,,needs id | registry:BARCODE.PALLET_VOID
Barcode,/barcode/print/box/{id}/,POST,,not probed,no,,needs id | registry:BARCODE.PRINT_BOX
Barcode,/barcode/print/bulk/,POST,,not probed,no,,no GET evidence | registry:BARCODE.PRINT_BULK
Barcode,/barcode/print/history/,GET,barcode print-history,200,binary+spec,500,live | registry:BARCODE.PRINT_HISTORY
Barcode,/barcode/print/pallet/{id}/,POST,,not probed,no,,needs id | registry:BARCODE.PRINT_PALLET
Barcode,/barcode/production-release-oil/,GET,barcode production-release-oil,200,binary+spec,100,live | registry:BARCODE.PRODUCTION_RELEASE_OIL
Barcode,/barcode/production/{id}/create-pallet/,UNRESOLVED,,not probed,no,,needs id | registry:BARCODE.PRODUCTION_PALLET | verb unresolved in bundle
Barcode,/barcode/production/{id}/generate-labels/,UNRESOLVED,,not probed,no,,needs id | registry:BARCODE.PRODUCTION_LABELS | verb unresolved in bundle
Barcode,/barcode/repack/,POST,,not probed,no,,no GET evidence | registry:BARCODE.REPACK
Barcode,/barcode/scan/,POST,,not probed,no,,no GET evidence | registry:BARCODE.SCAN
Barcode,/barcode/scan/history/,GET,barcode scan-history,200,binary+spec,500,live | registry:BARCODE.SCAN_HISTORY
Barcode,/barcode/transfers/box/,POST,,not probed,no,,no GET evidence | registry:BARCODE.TRANSFER_BOX
Barcode,/barcode/verify-requests/,GET|POST,barcode verify-requests,200,binary+spec,2,live | registry:BARCODE.VERIFY_REQUESTS
Barcode,/barcode/verify-requests/{id}/,GET,barcode verify-request,not probed,binary+spec,,needs id | registry:BARCODE.VERIFY_REQUEST_DETAIL
Barcode,/barcode/verify-requests/{id}/cancel/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.VERIFY_REQUEST_CANCEL
Barcode,/barcode/verify-requests/{id}/resolve/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.VERIFY_REQUEST_RESOLVE
Barcode,/barcode/verify-requests/{id}/start/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.VERIFY_REQUEST_START
Barcode,/barcode/voids/boxes/,GET,barcode voided-boxes,200,binary+spec,500,live | registry:BARCODE.VOIDED_BOXES
Barcode,/barcode/voids/pallets/,GET,barcode voided-pallets,200,binary+spec,203,live | registry:BARCODE.VOIDED_PALLETS
Daily Tasks,/activity-center/me/today/,GET,,200,spec-only,obj,live | registry:DAILY_TASKS.MY_TODAY
Daily Tasks,/activity-center/users/today/,GET,,200,spec-only,obj,live | registry:DAILY_TASKS.TEAM_TODAY
Dashboards,/dashboards/inventory-age/filter-options/,GET,dashboards inventory-age-filter-options,404,binary+spec,,SHIPPED CLI COMMAND IS DEAD - HTML 404. || DEAD: Django URL-resolver 404 (HTML)
Dashboards,/dashboards/inventory-age/report/,GET,dashboards inventory-age-report,404,binary+spec,,"SHIPPED CLI COMMAND IS DEAD - HTML 404 (filter-options died by 2026-08-22, the report itself is dead now too). || DEAD: Django URL-resolver 404 (HTML)"
Dashboards,/dashboards/sales-planning-requirement/analysis/,GET,dashboards sales-planning-requirement-analysis,200,binary+spec,obj,live | registry:SALES_PLANNING_REQUIREMENT.ANALYSIS
Dashboards,/dashboards/sales-planning-requirement/refresh/,POST,,not probed,no,,write-shaped path segment | registry:SALES_PLANNING_REQUIREMENT.REFRESH
Dashboards,/dashboards/sales-planning-requirement/report/,GET,dashboards sales-planning-requirement-report,200,binary+spec,294,"294 rows, forecast demand vs stock in hand, keyed to forecast_id 43 (AUGUST plan) as of 30 Aug - lags the September plan. || live | registry:SALES_PLANNING_REQUIREMENT.REPORT"
Dashboards,/dashboards/sales-planning-requirement/status/,GET,dashboards sales-planning-requirement-status,200,binary+spec,obj,live | registry:SALES_PLANNING_REQUIREMENT.STATUS
Dashboards,/dashboards/stock/,GET,dashboards stock,200,binary+spec,127893,"STORAGE OCCUPANCY: 127,893 item-warehouse rows across 58 warehouses (Oil). on_hand vs min_stock benchmark, health_ratio, movement_status. Mart 65,797 / Bev 95,387. min_stock is a BENCHMARK, not physical capacity. || live | registry:STOCK_DASHBOARD.LIST"
Dashboards,/dashboards/stock/as-of/,GET,dashboards stock-as-of,400,binary+spec,,"routed; required query param missing: {""detail"":""Invalid query parameters."",""errors"":{""as_of_date"":[""This field is required.""]}} | registry:STOCK_DASHBOARD.AS_OF"
Dashboards,/dashboards/stock/export/,GET,,200,spec-only,,live | registry:STOCK_DASHBOARD.EXPORT
Dashboards,/dashboards/stock/{id}/warehouses/,GET,dashboards stock-benchmark-item-warehouses,not probed,binary+spec,,needs id | registry:STOCK_DASHBOARD.ITEM_DETAIL
Dashboards,/non-moving-rm/item-groups/,GET,non-moving-rm item-groups,200,binary+spec,10,live | registry:NON_MOVING_RM.ITEM_GROUPS
Dashboards,/non-moving-rm/report/,GET,non-moving-rm report,400,binary+spec,,"routed; required query param missing: {""detail"":""Invalid query parameters."",""errors"":{""age"":[""This field is required.""]}} | registry:NON_MOVING_RM.REPORT"
Dashboards,/sap-reports/categories/,GET,,200,no,37,"NEW: 37 SAP query categories with query_count (APPROVAL TEMPLATES 82, Avtar 20, DAILY MAILER 5...). || live | registry:SAP_REPORTS.CATEGORIES"
Dashboards,/sap-reports/reports/,GET,,200,no,21,"NEW, never in the repo: runs SAP saved queries from the factory app. 21 runnable reports incl. ORDER RECOMENDATION MANUAL / WEEKLY / WITHOUT FG STOCK, Production Report, WAREHOUSE WISE DETAIL, STOCK TRANSFER GUPTA GODOWN, PENDING DISPATCH, EXP DATE. || live | registry:SAP_REPORTS.LIST"
Dashboards,/sap-reports/reports/{id}/,GET|PATCH,,not probed,no,,needs id | registry:SAP_REPORTS.BY_SLUG
Dashboards,/sap-reports/reports/{id}/export/,POST,,not probed,no,,needs id | registry:SAP_REPORTS.EXPORT
Dashboards,/sap-reports/reports/{id}/parameters/{id}/options/,GET,,not probed,no,,needs id | registry:SAP_REPORTS.PARAMETER_OPTIONS
Dashboards,/sap-reports/reports/{id}/run/,POST,,not probed,no,,needs id | registry:SAP_REPORTS.RUN
Dashboards,/sap-reports/reports/{id}/runs/,GET,,not probed,no,,needs id | registry:SAP_REPORTS.REPORT_RUNS
Dashboards,/sap-reports/reports/{id}/sql/,GET,,not probed,no,,needs id | registry:SAP_REPORTS.SQL
Dashboards,/sap-reports/runs/,UNRESOLVED,,not probed,no,,no GET evidence | registry:SAP_REPORTS.RUNS | verb unresolved in bundle
Dashboards,/sap-reports/sync/,POST,,not probed,no,,write-shaped path segment | registry:SAP_REPORTS.SYNC
Dashboards,/sap/plan-dashboard/details/,GET,sap plan-dashboard-details,404,binary+spec,,SHIPPED CLI COMMAND IS DEAD - HTML 404. || DEAD: Django URL-resolver 404 (HTML)
Dashboards,/sap/plan-dashboard/procurement/,GET,sap plan-dashboard-procurement,404,binary+spec,,SHIPPED CLI COMMAND IS DEAD - HTML 404. || DEAD: Django URL-resolver 404 (HTML)
Dashboards,/sap/plan-dashboard/sku/{id}/,GET,sap plan-dashboard-sku,not probed,binary+spec,,needs id
Dashboards,/sap/plan-dashboard/summary/,GET,sap plan-dashboard-summary,404,binary+spec,,SHIPPED CLI COMMAND IS DEAD - HTML 404. Same for details/ and procurement/. || DEAD: Django URL-resolver 404 (HTML)
Dispatch,/dispatch-plans/bills/,GET,dispatch-plans bills,400,binary+spec,,"routed; required query param missing: {""detail"":""Invalid query parameters."",""errors"":{""date_from"":[""This field is required.""],""d | registry:DISPATCH_PLANS.BILLS"
Dispatch,/dispatch-plans/bills/by-number/{id}/,GET,dispatch-plans dispatch-plans-bill-by-number,not probed,binary+spec,,needs id | registry:DISPATCH_PLANS.BILL_BY_NUMBER
Dispatch,/dispatch-plans/bills/plan/bulk-dispatch-date/,POST,,not probed,no,,no GET evidence | registry:DISPATCH_PLANS.BULK_DISPATCH_DATE
Dispatch,/dispatch-plans/bills/selection/,POST,,not probed,no,,no GET evidence | registry:DISPATCH_PLANS.BILL_SELECTION
Dispatch,/dispatch-plans/bills/{id}/plan/,PATCH,,not probed,no,,needs id | registry:DISPATCH_PLANS.PLAN
Dispatch,/dispatch-plans/bills/{id}/plan/remove/,POST,,not probed,no,,needs id | registry:DISPATCH_PLANS.PLAN_REMOVE
Dispatch,/dispatch-plans/dashboard/bills/,GET,dispatch-plans dispatch-fulfilment-bills,200,binary+spec,2741,live | registry:DISPATCH_FULFILMENT.BILLS
Dispatch,/dispatch-plans/dashboard/summary/,GET,dispatch-plans dispatch-fulfilment-summary,200,binary+spec,obj,live | registry:DISPATCH_FULFILMENT.SUMMARY
Dispatch,/dispatch-plans/pipeline/,GET,dispatch-plans pipeline,200,binary+spec,40,live | registry:DISPATCH_PIPELINE.BOARD
Dispatch,/dispatch/bilty-grpo/history/,GET,dispatch bilty-grpo-history,200,binary+spec,57,live | registry:DISPATCH.BILTY_GRPO_HISTORY
Dispatch,/dispatch/bilty-grpo/options/,GET,dispatch bilty-grpo-options,200,binary+spec,obj,live | registry:DISPATCH.BILTY_GRPO_OPTIONS
Dispatch,/dispatch/bilty-grpo/pending/,GET,dispatch bilty-grpo-pending,200,binary+spec,145,live | registry:DISPATCH.BILTY_GRPO_PENDING
Dispatch,/dispatch/bilty-grpo/post/,POST,,not probed,no,,write-shaped path segment | registry:DISPATCH.BILTY_GRPO_POST
Dispatch,/dispatch/bilty-grpo/preview/{id}/,GET,,not probed,spec-only,,needs id | registry:DISPATCH.BILTY_GRPO_PREVIEW
Dispatch,/dispatch/bilty-grpo/summary/,GET,,200,spec-only,obj,live | registry:DISPATCH.BILTY_GRPO_SUMMARY
Dispatch,/dispatch/bilty-grpo/{id}/,GET,,not probed,spec-only,,needs id | registry:DISPATCH.BILTY_GRPO_DETAIL
Dispatch,/dispatch/open-bilties/,GET,dispatch open-bilties,200,binary+spec,27,live | registry:DISPATCH.OPEN_BILTIES
Dispatch,/dispatch/transporter-invoices/history/,GET,dispatch transporter-invoices-history,200,binary+spec,0,"live, zero rows in JIVO_OIL | registry:DISPATCH.TRANSPORTER_INVOICE_HISTORY"
Dispatch,/dispatch/transporter-invoices/post-ap-invoice/,POST,,not probed,no,,no GET evidence | registry:DISPATCH.TRANSPORTER_INVOICE_POST_AP_INVOICE
Dispatch,/dispatch/transporter-invoices/preview/,POST,,not probed,no,,no GET evidence | registry:DISPATCH.TRANSPORTER_INVOICE_PREVIEW
Dispatch,/dispatch/transporter-invoices/submit/,POST,,not probed,no,,write-shaped path segment | registry:DISPATCH.TRANSPORTER_INVOICE_SUBMIT
Dispatch,/dispatch/transporter-invoices/{id}/,GET,,not probed,no,,needs id | registry:DISPATCH.TRANSPORTER_INVOICE_DETAIL
Dispatch,/dispatch/transporter-invoices/{id}/post-ap-invoice/,POST,,not probed,no,,needs id | registry:DISPATCH.TRANSPORTER_INVOICE_POST_SUBMITTED
ETP/STP,/etp/backwash-entries/,POST,,not probed,no,,no GET evidence | registry:ETP.BACKWASH_ENTRIES
ETP/STP,/etp/backwash-entries/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.BACKWASH_ENTRY_DETAIL
ETP/STP,/etp/backwash-equipment/,POST,,not probed,no,,no GET evidence | registry:ETP.BACKWASH_EQUIPMENT
ETP/STP,/etp/backwash-equipment/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.BACKWASH_EQUIPMENT_DETAIL
ETP/STP,/etp/calibration-records/,POST,,not probed,no,,no GET evidence | registry:ETP.CALIBRATION_RECORDS
ETP/STP,/etp/calibration-records/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.CALIBRATION_RECORD_DETAIL
ETP/STP,/etp/change-log/,UNRESOLVED,,not probed,no,,no GET evidence | registry:ETP.CHANGE_LOG | verb unresolved in bundle
ETP/STP,/etp/chemical-logs/,POST,,not probed,no,,no GET evidence | registry:ETP.CHEMICAL_LOGS
ETP/STP,/etp/chemical-logs/totals/,UNRESOLVED,,not probed,no,,no GET evidence | registry:ETP.CHEMICAL_LOG_TOTALS | verb unresolved in bundle
ETP/STP,/etp/chemical-logs/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.CHEMICAL_LOG_DETAIL
ETP/STP,/etp/chemicals/,POST,,not probed,no,,no GET evidence | registry:ETP.CHEMICALS
ETP/STP,/etp/chemicals/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.CHEMICAL_DETAIL
ETP/STP,/etp/daily-logs/,POST,,not probed,no,,no GET evidence | registry:ETP.DAILY_LOGS
ETP/STP,/etp/daily-logs/last-readings/,GET,,400,no,,"routed; required query param missing: {""detail"":""Pass ?plant=<id>.""} | registry:ETP.DAILY_LOG_LAST_READINGS"
ETP/STP,/etp/daily-logs/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.DAILY_LOG_DETAIL
ETP/STP,/etp/dashboard/,GET,,200,no,obj,live | registry:ETP.DASHBOARD
ETP/STP,/etp/instruments/,POST,,not probed,no,,no GET evidence | registry:ETP.INSTRUMENTS
ETP/STP,/etp/instruments/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.INSTRUMENT_DETAIL
ETP/STP,/etp/monitoring-parameters/,POST,,not probed,no,,no GET evidence | registry:ETP.MONITORING_PARAMETERS
ETP/STP,/etp/monitoring-parameters/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.MONITORING_PARAMETER_DETAIL
ETP/STP,/etp/monitoring-records/,POST,,not probed,no,,no GET evidence | registry:ETP.MONITORING_RECORDS
ETP/STP,/etp/monitoring-records/sheet-template/,GET,,400,no,,"routed; required query param missing: {""detail"":""Pass ?plant=<id>.""} | registry:ETP.MONITORING_SHEET_TEMPLATE"
ETP/STP,/etp/monitoring-records/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.MONITORING_RECORD_DETAIL
ETP/STP,/etp/monitoring-records/{id}/verify/,POST,,not probed,no,,write-shaped path segment | registry:ETP.MONITORING_VERIFY
ETP/STP,/etp/options/,POST,,not probed,no,,no GET evidence | registry:ETP.OPTIONS
ETP/STP,/etp/options/categories/,UNRESOLVED,,not probed,no,,no GET evidence | registry:ETP.OPTION_CATEGORIES | verb unresolved in bundle
ETP/STP,/etp/options/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.OPTION_DETAIL
ETP/STP,/etp/plants/,POST,,not probed,no,,"ETP/STP module is LIVE but UNCONFIGURED: 0 plants in all three companies, so every ETP endpoint returns empty. 37 registry paths, NONE in the repo spec - the only one of the 21 modules absent from the repo entirely. || no GET evidence | registry:ETP.PLANTS"
ETP/STP,/etp/plants/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.PLANT_DETAIL
ETP/STP,/etp/print-documents/,POST,,not probed,no,,no GET evidence | registry:ETP.PRINT_DOCUMENTS
ETP/STP,/etp/print-documents/keys/,UNRESOLVED,,not probed,no,,no GET evidence | registry:ETP.PRINT_DOCUMENT_KEYS | verb unresolved in bundle
ETP/STP,/etp/print-documents/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.PRINT_DOCUMENT_DETAIL
ETP/STP,/etp/sludge-entries/,POST,,not probed,no,,no GET evidence | registry:ETP.SLUDGE_ENTRIES
ETP/STP,/etp/sludge-entries/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.SLUDGE_ENTRY_DETAIL
ETP/STP,/etp/staff/,POST,,not probed,no,,no GET evidence | registry:ETP.STAFF
ETP/STP,/etp/staff/{id}/,DELETE|PATCH,,not probed,no,,needs id | registry:ETP.STAFF_DETAIL
ETP/STP,/etp/summary/,GET,,400,no,,"routed; required query param missing: {""detail"":""Pass ?plant=<id>.""} | registry:ETP.SUMMARY"
Fire,/maintenance/fire-categories/,GET|POST,maintenance maintenance-fire-categories,200,binary+spec,5,live | registry:MAINTENANCE.FIRE_CATEGORIES
Fire,/maintenance/fire-categories/{id}/,PUT,,not probed,spec-only,,needs id | registry:MAINTENANCE.FIRE_CATEGORY_DETAIL
Fire,/maintenance/fire-issues/,GET|POST,maintenance maintenance-fire-issues,200,binary+spec,3,live | registry:MAINTENANCE.FIRE_ISSUES
Fire,/maintenance/fire-issues/{id}/,DELETE|GET,maintenance maintenance-fire-issue-get,not probed,binary+spec,,needs id | registry:MAINTENANCE.FIRE_ISSUE_DETAIL
Fire,/maintenance/fire-issues/{id}/return/,POST,,not probed,no,,needs id | registry:MAINTENANCE.FIRE_ISSUE_RETURN
Fire,/maintenance/fire-movements/,GET,maintenance maintenance-fire-movements,200,binary+spec,7,live | registry:MAINTENANCE.FIRE_MOVEMENTS
Fire,/maintenance/fire-report-attachments/,POST,maintenance maintenance-fire-report-attachments,200,binary+spec,0,"live, zero rows in JIVO_OIL | registry:MAINTENANCE.FIRE_REPORT_ATTACHMENTS"
Fire,/maintenance/fire-report-attachments/{id}/,DELETE,,not probed,no,,needs id | registry:MAINTENANCE.FIRE_REPORT_ATTACHMENT_DETAIL
Fire,/maintenance/fire-report-items/,POST,maintenance maintenance-fire-report-items,200,binary+spec,5,live | registry:MAINTENANCE.FIRE_REPORT_ITEMS
Fire,/maintenance/fire-report-items/{id}/,DELETE|PATCH,,not probed,spec-only,,needs id | registry:MAINTENANCE.FIRE_REPORT_ITEM_DETAIL
Fire,/maintenance/fire-report-photos/,POST,maintenance maintenance-fire-report-photos,200,binary+spec,6,live | registry:MAINTENANCE.FIRE_REPORT_PHOTOS
