code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
PM0000838,CARTON 2 LTR 10 PCS HANDLE BOTTLE PLAIN,BUY,197,1935,0,-1738,0,4.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000182,CARTON 3 LTR 6 PCS,BUY,191,1058,12484,-13351,0,1.7,SSY CONTAINERS PVT LTD
PM0000005,CARTON 1 LTR 12 POUCHES,BUY,171,10457,19208,-29494,0,16.8,SSY CONTAINERS PVT LTD
PM0000227,LABEL 4 LTR COLD PRESS FRONT,BUY,153,35365,5000,-40212,0,9.8,ROYAL PRIME LABELS
PM0000589,CARTON PET BOTTLE 100 ML 20 PCS,BUY,147,349,800,-1002,0,2.0,PACKSTER PACKAGING SOLUTIONS
PM0000062,CAPS 5 LTR,BUY,145,0,0,145,0,17.7,RAJ TECHNOPACK PVT LTD
PM0000859,LABEL 13 KG REFINED CANOLA,BUY,116,2939,0,-2823,0,2.5,MEDIA GRAPHIC PRINTS VEND
PM0000130,POUCH REFINED MULTI ROLLS KGS,BUY,17,980,0,-963,0,4.0,UFLEX LIMITED NEW
PM0000672,SHRINK ROLL POF GM,BUY,8,1,40148,-40141,0,-2.3,JOY PACK INDIA PVT LTD
PM0000660,TIN STRIP,BUY,8,930,74,-996,0,1.4,JOY PACK INDIA PVT LTD
PM0000073,MS COATED DRUM 200 LTR,BUY,5,67,159,-221,0,2.1,EAST INDIA DRUMS AND BARRELS MANUFACTURING LIMITED AAACV4766F
PM0000033,LABEL 2 LTR COLD PRESS FRONT,BUY,2,0,0,2,0,,
PM0000032,LABEL 2 LTR COLD PRESS BACK,BUY,2,0,0,2,0,,
SF0000004,SUNFLOWER OIL 15 LTR IMP,BUY,0,0,0,0,0,19.0,ILAHI CO
RM0000014,EXTRA VIRGIN OLIVE OIL IMPORTED,BUY,0,0,0,0,0,44.7,MIGASA ACEITES S L U
RM0000012,EXTRA LIGHT OLIVE LOSSE OIL IMPORTED,BUY,0,9700,0,-9700,0,44.7,MIGASA ACEITES S L U
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,BUY,0,27222,48352,-75574,0,48.8,MIGASA ACEITES S L U
RM0000052,LOOSE REFINED OLIVE OIL (DARK COLOUR),BUY,0,0,0,0,0,,
