section,company,date,ref,stage,status,party,vehicle_no,transporter,destination,item_or_doc,qty,uom,litres,hours,days,count,verified,evidence,note
LIFECYCLE_STAGE,,,,(second lane) BST,AWAITING_GATE_OUT -> IN_TRANSIT -> RECEIVING -> PARTIALLY_RECEIVED -> RECEIVED (CANCELLED off-ramp),,,,,,,,,,,379,VERIFIED,GET /warehouse/bst/,INTERCOMPANY goods (Oil->Mart/Beverages) do NOT use the docking ladder at all. They run a separate 5-state ladder in the Warehouse BST module. Missing this lane loses 1.25 M L of August Oil outflow.
LIFECYCLE_STAGE,,,,(third enum) dispatch-tracking,DISPATCHED -> IN_TRANSIT -> REACHED_DESTINATION -> UNLOADING -> DELIVERED / PARTIALLY_DELIVERED / RETURNED / DELAYED / CLOSED,,,,,,,,,,,,VERIFIED,GET /gate-core/dispatch-tracking/summary/,"on-the-road tracking AFTER the gate. Three different fields are called ""status"": arrival (INSIDE/LOADING/DEPARTED), docking (the 10-stage ladder) and tracking (this one)."
STAGE_DURATION,,,,DOCKED -> GATEPASS_PRINTED,,,,,,,,,,0.06,,1327,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"median h; mean 1.18, p90 3.34. The docking record is opened near the END of loading, so these are NOT loading times - use arrival turnaround for that."
STAGE_DURATION,,,,GATEPASS_PRINTED -> PRINT_COMMITTED,,,,,,,,,,0.0,,1327,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"median h; mean 0.00, p90 0.00. The docking record is opened near the END of loading, so these are NOT loading times - use arrival turnaround for that."
STAGE_DURATION,,,,PRINT_COMMITTED -> DISPATCHED (out of gate),,,,,,,,,,0.18,,1322,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"median h; mean 0.34, p90 0.59. The docking record is opened near the END of loading, so these are NOT loading times - use arrival turnaround for that."
STAGE_DURATION,,,,DOCKED -> DISPATCHED (total),,,,,,,,,,0.43,,1322,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"median h; mean 1.52, p90 3.77. The docking record is opened near the END of loading, so these are NOT loading times - use arrival turnaround for that."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,0,93,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"7.0% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,1,591,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"44.6% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,2,238,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"18.0% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,3,109,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"8.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,4,56,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"4.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,5,41,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"3.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,6,31,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"2.3% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,7,30,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"2.3% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,8,27,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"2.0% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,9,17,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"1.3% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,10,13,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"1.0% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,11,9,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.7% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,12,7,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.5% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,13,11,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.8% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,14,10,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.8% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,15,5,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.4% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,16,4,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.3% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,17,8,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.6% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,18,6,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.5% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,19,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,20,2,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,21,3,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,23,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,24,2,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,25,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,29,2,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,32,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,40,2,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.2% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,43,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,49,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,,,,,,,,,,,,,,,55,1,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,"0.1% of all 1,324 dockings Jun-Aug. C-0054: for these days the goods are STILL in the godown while SAP OITW.OnHand has already removed them."
LAG_INVOICE_TO_TRUCK,JIVO_BEVERAGES,,,,,,,,,,,,,,1.0,786,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,MEDIAN days invoice->truck-out. mean 2.29; 93% leave at least a day after the invoice date; 7% same day.
LAG_INVOICE_TO_TRUCK,JIVO_MART,,,,,,,,,,,,,,2,225,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,MEDIAN days invoice->truck-out. mean 3.75; 88% leave at least a day after the invoice date; 12% same day.
LAG_INVOICE_TO_TRUCK,JIVO_OIL,,,,,,,,,,,,,,2,313,VERIFIED,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1,MEDIAN days invoice->truck-out. mean 4.67; 97% leave at least a day after the invoice date; 3% same day.
LAG_INVOICE_TO_TRUCK,JIVO_OIL,,,BST intercompany,,,,,,,,,,,1.0,368,VERIFIED,GET /warehouse/bst/,MEDIAN days for the intercompany lane. mean 0.95. Faster than customer dispatch because the truck only shuttles to Gupta/Mart.
OVERHANG_DAY,JIVO_OIL,2026-08-01,,,,,,,,,,,0,,,0,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-02,,,,,,,,,,,0,,,0,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-03,,,,,,,,,,,68855,,,16,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-04,,,,,,,,,,,80587,,,19,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-05,,,,,,,,,,,67765,,,18,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-06,,,,,,,,,,,73174,,,19,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-07,,,,,,,,,,,48914,,,20,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-08,,,,,,,,,,,53269,,,20,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-09,,,,,,,,,,,46269,,,19,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-10,,,,,,,,,,,60554,,,65,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-11,,,,,,,,,,,113107,,,79,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-12,,,,,,,,,,,168791,,,91,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-13,,,,,,,,,,,84227,,,74,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-14,,,,,,,,,,,56259,,,68,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-15,,,,,,,,,,,56259,,,68,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-16,,,,,,,,,,,56259,,,68,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-17,,,,,,,,,,,82517,,,66,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-18,,,,,,,,,,,101079,,,29,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-19,,,,,,,,,,,112864,,,21,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-20,,,,,,,,,,,114956,,,25,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-21,,,,,,,,,,,117053,,,28,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-22,,,,,,,,,,,141422,,,32,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-23,,,,,,,,,,,91822,,,26,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-24,,,,,,,,,,,117650,,,29,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-25,,,,,,,,,,,139844,,,37,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-26,,,,,,,,,,,132775,,,33,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-27,,,,,,,,,,,118987,,,29,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-28,,,,,,,,,,,118987,,,29,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
OVERHANG_DAY,JIVO_OIL,2026-08-29,,,,,,,,,,,72102,,,10,VERIFIED,"GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1 + GET /warehouse/bst/ + HANA OINV/INV1 WhsCode IN (BH-BT,BH-PF)",litres INVOICED OUT OF BH-BT/BH-PF but the truck had not yet left the gate on that date. SAP OITW.OnHand had already removed all of it. 30 Aug reads 0 only because todays outstanding bills have no departure timestamp yet - see PENDING_NOW.
