tank,location,item,item_code,layer,qty,uom,capacity,pct_full,as_of,origin,rate,notes
TNK0023|TNK003|TNK006,Sonipat Factory (INFERRED),POMACE,RM00POM,UNMATCHED,27434.11,L,150000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: 27434.11 units of tank capacity could not be matched to any IN_TANK stock record. Average is partial."
TNK0002,"SONIPAT, FACTORY",RICE BRAN REFINED,RM00RBR,L1,32769.20,L,50000.00,,2026-04-18T06:23:03.235000Z,"AWL AGRI BUSINESS LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",133.770,"LAYER row (FIFO batch). stock_id=306 vehicle=GJ39TA8718 transporter=N/A batch_qty=32769.20L batch_value=INR 4,383,535.88 rate_kg=147.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK0002,"SONIPAT, FACTORY",RICE BRAN REFINED,RM00RBR,L2,16230.80,L,50000.00,,2026-08-12T13:36:03.551701Z,"M/S ARORA AGRI BUSINESS VENTURES / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",138.320,"LAYER row (FIFO batch). stock_id=717 vehicle=GJ12BX1999 transporter=HEM TRANSPORT batch_qty=42901.06L batch_value=INR 2,245,044.26 rate_kg=152.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK0021,Sonipat Factory,SOYABEAN,RM00SB,L1,19000.00,L,50000.00,,2026-04-18T06:18:26.892206Z,BD EDIBLE OILS PVT LTD / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),140.413,"LAYER row (FIFO batch). stock_id=305 vehicle=RJ14GQ1756 transporter=N/A batch_qty=45857.10L batch_value=INR 2,667,847.00 rate_kg=154.3. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK020,Sonipat Factory (INFERRED),SESAME 2,RM00SESM 2,UNMATCHED,5500.00,L,16000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TOT001,"SONIPAT, FACTORY",VIRGIN COCONUT OIL,RM00VCCNT,L1,5494.50,L,20000.00,,2026-06-08T13:39:19.349408Z,"APEX COCO AND SOLAR ENERGY LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",318.500,"LAYER row (FIFO batch). stock_id=524 vehicle=TN29AE6521 transporter=PICK & SHIP LOGISTICS PVT LTD batch_qty=5494.50L batch_value=INR 1,749,998.25 rate_kg=350.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TOT001,Sonipat Factory (INFERRED),VIRGIN COCONUT OIL,RM00VCCNT,UNMATCHED,4705.50,L,20000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: 4705.50 units of tank capacity could not be matched to any IN_TANK stock record. Average is partial."
TNK011,Sonipat Factory (INFERRED),YELLOW MUSTARD,RM00YM,UNMATCHED,25000.00,L,50000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TNK019,Sonipat Factory,EXTRA LIGHT,RM0EL,L1,10000.00,L,20000.00,,2026-04-23T07:35:34.354770Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),516.050,"LAYER row (FIFO batch). stock_id=342 vehicle=N/A transporter=N/A batch_qty=35800.00L batch_value=INR 5,160,500.00 rate_kg=567.087. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK007,Sonipat Factory,EXTRA LIGHT 2B,RM0EL02,L1,18000.00,L,50000.00,,2026-04-23T07:35:49.401105Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),516.050,"LAYER row (FIFO batch). stock_id=343 vehicle=N/A transporter=N/A batch_qty=18000.00L batch_value=INR 9,288,900.00 rate_kg=567.087. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK007,Sonipat Factory (INFERRED),EXTRA LIGHT 2B,RM0EL02,UNMATCHED,24000.00,L,50000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: 24000.00 units of tank capacity could not be matched to any IN_TANK stock record. Average is partial."
TNK009,Sonipat Factory (INFERRED),EXTRA VIRGIN 2B,RM0EV02,UNMATCHED,14000.00,L,16000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TNK012|TNK004|TNK013,Sonipat Factory,MUSTARD KACHI GHANI,RM0MKG,L1,15000.00,L,124000.00,,2026-04-23T07:36:38.742140Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),125.670,"LAYER row (FIFO batch). stock_id=344 vehicle=N/A transporter=N/A batch_qty=15000.00L batch_value=INR 1,885,050.00 rate_kg=138.099. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK012|TNK004|TNK013,"SONIPAT, FACTORY",MUSTARD KACHI GHANI,RM0MKG,L2,42714.24,L,124000.00,,2026-04-23T10:59:38.301802Z,"AWL AGRI BUSINESS LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",125.580,"LAYER row (FIFO batch). stock_id=348 vehicle=GJ12BX5999 transporter=N/A batch_qty=42714.24L batch_value=INR 5,364,054.26 rate_kg=138.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK012|TNK004|TNK013,"SONIPAT, FACTORY",MUSTARD KACHI GHANI,RM0MKG,L3,39879.08,L,124000.00,,2026-08-17T06:25:51.164997Z,"AWL AGRI BUSINESS LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",150.150,"LAYER row (FIFO batch). stock_id=724 vehicle=HR63D4208 transporter=BHUMIKA ROADLINES PVT LTD batch_qty=39879.08L batch_value=INR 5,987,843.86 rate_kg=165.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK012|TNK004|TNK013,"SONIPAT, FACTORY",MUSTARD KACHI GHANI,RM0MKG,L4,12406.68,L,124000.00,,2026-08-25T05:17:20.430888Z,"AWL AGRI BUSINESS LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",150.150,"LAYER row (FIFO batch). stock_id=746 vehicle=GJ12BX5999 transporter=HEM TRANSPORT batch_qty=14989.00L batch_value=INR 1,862,863.00 rate_kg=165.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK015,Sonipat Factory (INFERRED),MUSTARD PAKKI GHANI,RM0PKG2,UNMATCHED,34000.00,L,37000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TOT002,"SONIPAT, FACTORY",SESAME,RM0SESM,L1,3000.00,L,20000.00,,2026-08-14T05:30:18.981967Z,"TIRUPATI AGRO INDUSTRIES / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",202.930,"LAYER row (FIFO batch). stock_id=722 vehicle=HR47G5692 transporter=GHAI LOGISTICS batch_qty=10868.12L batch_value=INR 608,790.00 rate_kg=223.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK008,Sonipat Factory (INFERRED),GROUNDNUT 2B,RMGNR02,UNMATCHED,30000.00,L,40000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TNK017|TNK018,RAJASTHAN,MUSTARD KACHI GHANI 2B,RMMKG02,L1,43351.60,L,200000.00,,2026-04-18T06:26:03.158452Z,VAISHNODEVI REFOILS AND SOLEX / held at RAJASTHAN / India (INFERRED - domestic vendor/no foreign marker),127.855,"LAYER row (FIFO batch). stock_id=307 vehicle=RJ47GB0492 transporter=N/A batch_qty=43351.60L batch_value=INR 5,542,718.82 rate_kg=140.5. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK017|TNK018,Sonipat Factory (INFERRED),MUSTARD KACHI GHANI 2B,RMMKG02,UNMATCHED,150648.40,L,200000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: 150648.40 units of tank capacity could not be matched to any IN_TANK stock record. Average is partial."
