date,warehouse,sap_onhand_l,standing_l,standing_unmatched_l,standing_intercompany_l,physical_l,working_ceiling_l,pallet_absolute_ceiling_l,pct_of_working,pct_of_pallet_absolute,exceeds_absolute_pallet_capacity,implied_l_per_pallet,ceiling_basis,free_vs_working,free_vs_pallet_absolute
2026-07-08,BH-PF,170823,28451,17440,15920,199274,377000,421000,52.9,47.3,no,379,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,177726,221726
2026-07-09,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-09,BH-PF,223434,31308,17440,15920,254742,377000,421000,67.6,60.5,no,484,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,122258,166258
2026-07-10,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-10,BH-PF,185080,126816,17440,83620,311895,377000,421000,82.7,74.1,no,593,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,65105,109105
2026-07-11,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-11,BH-PF,214746,70143,17446,40860,284889,377000,421000,75.6,67.7,no,541,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,92111,136111
2026-07-12,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-12,BH-PF,214746,58782,17446,40860,273528,377000,421000,72.6,65.0,no,520,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,103472,147472
2026-07-13,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-13,BH-PF,210161,91861,17446,40860,302022,377000,421000,80.1,71.7,no,574,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,74978,118978
2026-07-14,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-14,BH-PF,168223,102852,17455,53211,271075,377000,421000,71.9,64.4,no,515,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,105925,149925
2026-07-15,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-15,BH-PF,183848,125562,17455,88647,309410,377000,421000,82.1,73.5,no,588,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,67590,111590
2026-07-16,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-16,BH-PF,168230,33792,15955,15920,202022,377000,421000,53.6,48.0,no,384,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,174978,218978
2026-07-17,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-17,BH-PF,169150,45703,15970,35540,214853,377000,421000,57.0,51.0,no,408,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,162147,206147
2026-07-18,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-18,BH-PF,223528,16545,15970,15920,240073,377000,421000,63.7,57.0,no,456,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,136927,180927
2026-07-19,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-19,BH-PF,223528,16545,15970,15920,240073,377000,421000,63.7,57.0,no,456,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,136927,180927
2026-07-20,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-20,BH-PF,227805,30990,15976,15920,258795,377000,421000,68.6,61.5,no,492,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,118205,162205
2026-07-21,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-21,BH-PF,236027,25239,15976,15920,261265,377000,421000,69.3,62.1,no,496,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,115735,159735
2026-07-22,BH-BT,110778,0,0,0,110778,450000,502400,24.6,22.0,no,176,physical: Daman pallet sheet 628x0.8T,339222,391622
2026-07-22,BH-PF,239966,20917,36,0,260884,377000,421000,69.2,62.0,no,496,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,116116,160116
2026-07-23,BH-BT,454767,23957,0,0,478724,450000,502400,106.4,95.3,no,762,physical: Daman pallet sheet 628x0.8T,-28724,23676
2026-07-23,BH-PF,235663,99467,36,31200,335130,377000,421000,88.9,79.6,no,637,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,41870,85870
2026-07-24,BH-BT,469210,22944,0,0,492154,450000,502400,109.4,98.0,no,784,physical: Daman pallet sheet 628x0.8T,-42154,10246
2026-07-24,BH-PF,246556,66827,51,15200,313383,377000,421000,83.1,74.4,no,596,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,63617,107617
2026-07-25,BH-BT,459372,39292,0,0,498664,450000,502400,110.8,99.3,no,794,physical: Daman pallet sheet 628x0.8T,-48664,3736
2026-07-25,BH-PF,226520,41771,51,31080,268291,377000,421000,71.2,63.7,no,510,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,108709,152709
2026-07-26,BH-BT,459372,39292,0,0,498664,450000,502400,110.8,99.3,no,794,physical: Daman pallet sheet 628x0.8T,-48664,3736
2026-07-26,BH-PF,226520,41765,45,31080,268285,377000,421000,71.2,63.7,no,510,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,108715,152715
2026-07-27,BH-BT,457212,33648,12000,12000,490860,450000,502400,109.1,97.7,no,782,physical: Daman pallet sheet 628x0.8T,-40860,11540
2026-07-27,BH-PF,277072,65571,3652,34240,342643,377000,421000,90.9,81.4,no,651,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,34357,78357
2026-07-28,BH-BT,442189,71451,12000,12000,513640,450000,502400,114.1,102.2,YES,818,physical: Daman pallet sheet 628x0.8T,-63640,-11240
2026-07-28,BH-PF,299238,88826,3652,60080,388064,377000,421000,102.9,92.2,no,737,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-11064,32936
2026-07-29,BH-BT,482944,52284,12011,12000,535228,450000,502400,118.9,106.5,YES,852,physical: Daman pallet sheet 628x0.8T,-85228,-32828
2026-07-29,BH-PF,248310,70668,3643,26800,318977,377000,421000,84.6,75.8,no,606,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,58023,102023
2026-07-30,BH-BT,450109,80883,17977,21122,530992,450000,502400,118.0,105.7,YES,846,physical: Daman pallet sheet 628x0.8T,-80992,-28592
2026-07-30,BH-PF,246552,74113,7959,45040,320665,377000,421000,85.1,76.2,no,609,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,56335,100335
2026-07-31,BH-BT,238794,301774,23447,51100,540568,450000,502400,120.1,107.6,YES,861,physical: Daman pallet sheet 628x0.8T,-90568,-38168
2026-07-31,BH-PF,196094,158181,7959,70176,354275,377000,421000,94.0,84.2,no,673,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,22725,66725
2026-08-01,BH-BT,255093,281879,23447,51100,536972,450000,502400,119.3,106.9,YES,855,physical: Daman pallet sheet 628x0.8T,-86972,-34572
2026-08-01,BH-PF,187530,108366,7944,25376,295896,377000,421000,78.5,70.3,no,562,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,81104,125104
2026-08-02,BH-BT,255093,281879,23447,51100,536972,450000,502400,119.3,106.9,YES,855,physical: Daman pallet sheet 628x0.8T,-86972,-34572
2026-08-02,BH-PF,187530,108366,7944,25376,295896,377000,421000,78.5,70.3,no,562,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,81104,125104
2026-08-03,BH-BT,221742,296412,23449,67700,518154,450000,502400,115.1,103.1,YES,825,physical: Daman pallet sheet 628x0.8T,-68154,-15754
2026-08-03,BH-PF,178049,112336,7944,33680,290385,377000,421000,77.0,69.0,no,552,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,86615,130615
2026-08-04,BH-BT,227043,247261,23449,57300,474304,450000,502400,105.4,94.4,no,755,physical: Daman pallet sheet 628x0.8T,-24304,28096
2026-08-04,BH-PF,206351,112400,7938,29360,318751,377000,421000,84.5,75.7,no,606,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,58249,102249
2026-08-05,BH-BT,228653,231558,23466,54144,460211,450000,502400,102.3,91.6,no,733,physical: Daman pallet sheet 628x0.8T,-10211,42189
2026-08-05,BH-PF,248740,80051,7938,14960,328790,377000,421000,87.2,78.1,no,625,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,48210,92210
2026-08-06,BH-BT,269943,206360,23471,44144,476303,450000,502400,105.8,94.8,no,758,physical: Daman pallet sheet 628x0.8T,-26303,26097
2026-08-06,BH-PF,263162,84087,7942,30960,347248,377000,421000,92.1,82.5,no,660,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,29752,73752
2026-08-07,BH-BT,269119,163868,23471,34966,432987,450000,502400,96.2,86.2,no,689,physical: Daman pallet sheet 628x0.8T,17013,69413
2026-08-07,BH-PF,269377,68580,7941,12456,337957,377000,421000,89.6,80.3,no,642,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,39043,83043
2026-08-08,BH-BT,300217,133278,23480,34966,433495,450000,502400,96.3,86.3,no,690,physical: Daman pallet sheet 628x0.8T,16505,68905
2026-08-08,BH-PF,273598,74982,7926,24760,348580,377000,421000,92.5,82.8,no,662,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,28420,72420
2026-08-09,BH-BT,300217,115808,23480,27966,416025,450000,502400,92.5,82.8,no,662,physical: Daman pallet sheet 628x0.8T,33975,86375
2026-08-09,BH-PF,293730,74268,7926,24760,367998,377000,421000,97.6,87.4,no,699,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,9002,53002
2026-08-10,BH-BT,343648,91084,23488,17966,434731,450000,502400,96.6,86.5,no,692,physical: Daman pallet sheet 628x0.8T,15269,67669
2026-08-10,BH-PF,243703,93925,7926,39500,337628,377000,421000,89.6,80.2,no,642,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,39372,83372
2026-08-11,BH-BT,339272,63480,13896,5966,402752,450000,502400,89.5,80.2,no,641,physical: Daman pallet sheet 628x0.8T,47248,99648
2026-08-11,BH-PF,246432,130513,4326,60200,376945,377000,421000,100.0,89.5,no,716,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,55,44055
2026-08-12,BH-BT,349288,106187,14465,22522,455475,450000,502400,101.2,90.7,no,725,physical: Daman pallet sheet 628x0.8T,-5475,46925
2026-08-12,BH-PF,233577,127570,4326,82760,361148,377000,421000,95.8,85.8,no,686,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,15852,59852
2026-08-13,BH-BT,368208,86616,14454,22522,454824,450000,502400,101.1,90.5,no,724,physical: Daman pallet sheet 628x0.8T,-4824,47576
2026-08-13,BH-PF,263187,26244,4326,4160,289431,377000,421000,76.8,68.7,no,550,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,87569,131569
2026-08-14,BH-BT,362599,64839,8497,8556,427438,450000,502400,95.0,85.1,no,681,physical: Daman pallet sheet 628x0.8T,22562,74962
2026-08-14,BH-PF,330921,8279,10,0,339201,377000,421000,90.0,80.6,no,645,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,37799,81799
2026-08-15,BH-BT,362599,59369,3027,8556,421968,450000,502400,93.8,84.0,no,672,physical: Daman pallet sheet 628x0.8T,28032,80432
2026-08-15,BH-PF,330921,8279,10,0,339201,377000,421000,90.0,80.6,no,645,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,37799,81799
2026-08-16,BH-BT,362599,59369,3027,8556,421968,450000,502400,93.8,84.0,no,672,physical: Daman pallet sheet 628x0.8T,28032,80432
2026-08-16,BH-PF,330921,8279,10,0,339201,377000,421000,90.0,80.6,no,645,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,37799,81799
2026-08-17,BH-BT,397503,42772,3027,556,440275,450000,502400,97.8,87.6,no,701,physical: Daman pallet sheet 628x0.8T,9725,62125
2026-08-17,BH-PF,254692,48694,2890,36080,303386,377000,421000,80.5,72.1,no,577,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,73614,117614
2026-08-18,BH-BT,481624,47642,7335,556,529266,450000,502400,117.6,105.3,YES,843,physical: Daman pallet sheet 628x0.8T,-79266,-26866
2026-08-18,BH-PF,202276,72094,8290,52080,274370,377000,421000,72.8,65.2,no,521,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,102630,146630
2026-08-19,BH-BT,461415,62208,7354,556,523623,450000,502400,116.4,104.2,YES,834,physical: Daman pallet sheet 628x0.8T,-73623,-21223
2026-08-19,BH-PF,203546,74717,8307,67280,278264,377000,421000,73.8,66.1,no,529,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,98736,142736
2026-08-20,BH-BT,456335,16721,7337,556,473055,450000,502400,105.1,94.2,no,753,physical: Daman pallet sheet 628x0.8T,-23055,29345
2026-08-20,BH-PF,225456,122279,8307,101339,347735,377000,421000,92.2,82.6,no,661,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,29265,73265
2026-08-21,BH-BT,469506,20052,7340,556,489557,450000,502400,108.8,97.4,no,780,physical: Daman pallet sheet 628x0.8T,-39557,12843
2026-08-21,BH-PF,206991,113046,8304,92799,320037,377000,421000,84.9,76.0,no,608,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,56963,100963
2026-08-22,BH-BT,438843,49615,7363,24556,488457,450000,502400,108.5,97.2,no,778,physical: Daman pallet sheet 628x0.8T,-38457,13943
2026-08-22,BH-PF,372404,123880,8309,113110,496284,377000,421000,131.6,117.9,YES,943,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-119284,-75284
2026-08-23,BH-BT,438843,49605,7354,24556,488448,450000,502400,108.5,97.2,no,778,physical: Daman pallet sheet 628x0.8T,-38448,13952
2026-08-23,BH-PF,372404,74280,8309,63510,446684,377000,421000,118.5,106.1,YES,849,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-69684,-25684
2026-08-24,BH-BT,432945,87710,13681,35756,520655,450000,502400,115.7,103.6,YES,829,physical: Daman pallet sheet 628x0.8T,-70655,-18255
2026-08-24,BH-PF,293242,68330,8309,56670,361572,377000,421000,95.9,85.9,no,687,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,15428,59428
2026-08-25,BH-BT,378771,99724,25281,11756,478495,450000,502400,106.3,95.2,no,762,physical: Daman pallet sheet 628x0.8T,-28495,23905
2026-08-25,BH-PF,317885,74111,8309,54320,391996,377000,421000,104.0,93.1,no,745,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-14996,29004
2026-08-26,BH-BT,372229,117512,41881,32556,489740,450000,502400,108.8,97.5,no,780,physical: Daman pallet sheet 628x0.8T,-39740,12660
2026-08-26,BH-PF,269636,81848,8304,41156,351484,377000,421000,93.2,83.5,no,668,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,25516,69516
2026-08-27,BH-BT,367217,96204,43347,24000,463421,450000,502400,103.0,92.2,no,738,physical: Daman pallet sheet 628x0.8T,-13421,38979
2026-08-27,BH-PF,283936,88075,13544,35280,372011,377000,421000,98.7,88.4,no,707,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,4989,48989
2026-08-28,BH-BT,367217,96204,43347,24000,463421,450000,502400,103.0,92.2,no,738,physical: Daman pallet sheet 628x0.8T,-13421,38979
2026-08-28,BH-PF,291716,88075,13544,35280,379791,377000,421000,100.7,90.2,no,722,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-2791,41209
2026-08-29,BH-BT,381500,72145,72145,8000,453645,450000,502400,100.8,90.3,no,722,physical: Daman pallet sheet 628x0.8T,-3645,48755
2026-08-29,BH-PF,287146,128752,56650,104982,415899,377000,421000,110.3,98.8,no,790,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,-38899,5101
2026-08-30,BH-BT,414078,72147,72147,8000,486225,450000,502400,108.1,96.8,no,774,physical: Daman pallet sheet 628x0.8T,-36225,16175
2026-08-30,BH-PF,254566,56650,56650,34880,311217,377000,421000,82.6,73.9,no,591,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,65783,109783
