section,entity,metric,value,unit,period,source_endpoint,status,note
LINE_CONFIG,Pouch Machine / Samarpan,rated_speed,2400.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,Pouch Machine / Samarpan,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,Pouch Machine / Samarpan,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
COST_RATE,ELECTRICITY_VARIABLE,rate,7.0000,Per Case,live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,
COST_RATE,LABOUR,rate,650.0000,Per Day (fixed),live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,
COST_RATE,MAINTENANCE,rate,100000.0000,Per Month,live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,"global scope, no per-line override; round placeholder value"
COST_RATE,MANPOWER_SALARIED,rate,20000.0000,Per Month,live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,"global scope, no per-line override; round placeholder value"
COST_RATE,OVERHEAD,rate,100000.0000,Per Month,live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,"global scope, no per-line override; round placeholder value"
COST_RATE,WASTE_RECOVERY,rate,100000.0000,Per Month,live from 2026-07-28,GET /production-execution/cost-rates/,VERIFIED,"global scope, no per-line override; round placeholder value"
LABOUR_RUN,2026-08-30 / 10 Head / run3,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 10 Head / run3,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / 10 Head / run3,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 10 Head / run3,operator,Ajeet,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 10 Head / run7,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 10 Head / run7,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / 10 Head / run7,supervisor,RAVI,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 10 Head / run7,operator,AJEET,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run4,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run4,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / 6 Head / run4,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run4,operator,Mukesh,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run5,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run5,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / 6 Head / run5,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / 6 Head / run5,operator,Mukesh,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Clear Pack / run1,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Clear Pack / run1,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / Clear Pack / run1,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Clear Pack / run1,operator,Rupesh,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / JP Machine / run2,labour_count,18,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / JP Machine / run2,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / JP Machine / run2,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / JP Machine / run2,operator,Sudesh pradhan,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Pouch Machine / run6,labour_count,8,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Pouch Machine / run6,other_manpower_count,0,people,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-30 / Pouch Machine / run6,supervisor,Ravi,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-30 / Pouch Machine / run6,operator,Amit,name,2026-08-30,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 10 Head / run3,labour_count,18,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 10 Head / run3,other_manpower_count,0,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-29 / 10 Head / run3,supervisor,Ravi,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 10 Head / run3,operator,Ajeet,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 6 Head / run4,labour_count,18,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 6 Head / run4,other_manpower_count,0,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-29 / 6 Head / run4,supervisor,Ravi,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / 6 Head / run4,operator,Ravi,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / Clear Pack / run1,labour_count,18,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / Clear Pack / run1,other_manpower_count,0,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-29 / Clear Pack / run1,supervisor,Ravi,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / Clear Pack / run1,operator,Rupesh,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / JP Machine / run2,labour_count,18,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / JP Machine / run2,other_manpower_count,0,people,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-29 / JP Machine / run2,supervisor,Ravi,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-29 / JP Machine / run2,operator,Sudesh,name,2026-08-29,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 10 Head / run1,labour_count,18,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 10 Head / run1,other_manpower_count,0,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-27 / 10 Head / run1,supervisor,Ravi,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 10 Head / run1,operator,Ajeet,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 6 Head / run4,labour_count,18,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 6 Head / run4,other_manpower_count,0,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-27 / 6 Head / run4,supervisor,Ravi,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / 6 Head / run4,operator,Krishna,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / Clear Pack / run3,labour_count,18,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / Clear Pack / run3,other_manpower_count,0,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-27 / Clear Pack / run3,supervisor,Ravi,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / Clear Pack / run3,operator,Rupesh,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / JP Machine / run2,labour_count,18,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / JP Machine / run2,other_manpower_count,0,people,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-27 / JP Machine / run2,supervisor,Ravi,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-27 / JP Machine / run2,operator,Manpreet/sudesh,name,2026-08-27,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run1,labour_count,18,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run1,other_manpower_count,0,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-26 / 10 Head / run1,supervisor,Ravi,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run1,operator,Ajeet,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run5,labour_count,18,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run5,other_manpower_count,0,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-26 / 10 Head / run5,supervisor,Ravi,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 10 Head / run5,operator,Ajeet,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 6 Head / run4,labour_count,18,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 6 Head / run4,other_manpower_count,0,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-26 / 6 Head / run4,supervisor,Ravi,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / 6 Head / run4,operator,Krishna,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / Clear Pack / run2,labour_count,18,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / Clear Pack / run2,other_manpower_count,0,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-26 / Clear Pack / run2,supervisor,Ravi,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / Clear Pack / run2,operator,Rupesh,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / JP Machine / run3,labour_count,18,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / JP Machine / run3,other_manpower_count,0,people,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-26 / JP Machine / run3,supervisor,Ravi,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-26 / JP Machine / run3,operator,Sudhesh,name,2026-08-26,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 10 Head / run3,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 10 Head / run3,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / 10 Head / run3,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 10 Head / run3,operator,Ajeet,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run4,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run4,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / 6 Head / run4,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run4,operator,Krishna,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run6,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run6,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / 6 Head / run6,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run6,operator,Krishna,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run10,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run10,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / 6 Head / run10,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / 6 Head / run10,operator,Krishna,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Clear Pack / run1,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Clear Pack / run1,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / Clear Pack / run1,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Clear Pack / run1,operator,Supesh,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run2,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run2,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / JP Machine / run2,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run2,operator,Sudesh pradhan,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run7,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run7,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / JP Machine / run7,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run7,operator,Manpreet,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run8,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run8,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / JP Machine / run8,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run8,operator,Sudesh,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run9,labour_count,18,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run9,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / JP Machine / run9,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / JP Machine / run9,operator,Sudesh,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Pouch Machine / run5,labour_count,8,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Pouch Machine / run5,other_manpower_count,0,people,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-25 / Pouch Machine / run5,supervisor,Ravi,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-25 / Pouch Machine / run5,operator,Amit,name,2026-08-25,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 10 Head / run4,labour_count,18,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 10 Head / run4,other_manpower_count,0,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-24 / 10 Head / run4,supervisor,Ravi,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 10 Head / run4,operator,Krishan,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 6 Head / run3,labour_count,18,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 6 Head / run3,other_manpower_count,0,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-24 / 6 Head / run3,supervisor,Ravi,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / 6 Head / run3,operator,Mukesh,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / Clear Pack / run2,labour_count,18,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / Clear Pack / run2,other_manpower_count,0,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
LABOUR_RUN,2026-08-24 / Clear Pack / run2,supervisor,Ravi,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / Clear Pack / run2,operator,Rupesh,name,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / JP Machine / run1,labour_count,18,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,
LABOUR_RUN,2026-08-24 / JP Machine / run1,other_manpower_count,0,people,2026-08-24,GET /production-execution/runs/{id}/,VERIFIED,0 on all 136 runs
