grain,source_endpoint,plan_month,month_label,month_absid,upload_id,version,is_latest,uploaded_by,uploaded_at,source_file,source_row,row_id,item_code,sap_item_exists,sap_item_name,sap_u_sub_group,sap_u_type,sap_u_variety,sap_inventory_uom,sap_qty_on_stock,brand,head,category,sub_category,sku,per_ltrs,ltrs_per_box,case_pack,commodity_monthly,commodity_w1,commodity_w2,commodity_w3,commodity_w4,premium_monthly,premium_w1,premium_w2,premium_w3,premium_w4,ecom_planning,monthly_planning,total_planning,quantity
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,9,6,FG0000032,YES,COLD PRESS 1 LTR 20 PCS,CANOLA,PREMIUM,COLD PRESS,PCS,4777,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR 20 PCS,1.000,20.000,20.000,0.00,0.00,0.00,0.00,0.00,35000.00,8750.00,8750.00,8750.00,8750.00,75000.00,35000.00,110000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,158,155,FG0000053,YES,COLD PRESS SUNFLOWER 5 LTR 4 PCS,SUNFLOWER,COMMODITY,COLD PRESS,PCS,3757,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5.000,20.000,4.000,10000.00,2500.00,2500.00,2500.00,2500.00,0.00,0.00,0.00,0.00,0.00,100000.00,10000.00,110000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,19,16,FG0000143,YES,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,GROUNDNUT,PREMIUM,COLD PRESS,PCS,3024,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,10000.00,2500.00,2500.00,2500.00,2500.00,90000.00,10000.00,100000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,16,13,FG0000005,YES,EXTRA LIGHT OLIVE 1 LTR 16 PCS,OLIVE,PREMIUM,EXTRA LIGHT,PCS,37122,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,35000.00,8750.00,8750.00,8750.00,8750.00,40000.00,35000.00,75000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,151,148,FG0000191,YES,SOYABEAN OIL 15 LTR,SOYABEAN,COMMODITY,REFINED,PCS,41,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 15 LTR,15.000,15.000,1.000,75000.00,18750.00,18750.00,18750.00,18750.00,0.00,0.00,0.00,0.00,0.00,0.00,75000.00,75000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,10,7,FG0000015,YES,REFINED OIL 15 LTR,CANOLA,PREMIUM,COLD PRESS,PCS,1730,JIVO,PREMIUM,CANOLA,JIVO CANOLA,REFINED OIL 15 LTR,15.000,15.000,1.000,0.00,0.00,0.00,0.00,0.00,60000.00,15000.00,15000.00,15000.00,15000.00,0.00,60000.00,60000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,13,10,FG0000150,YES,SANO POMACE OLIVE 1 LTR 16 PCS,OLIVE,PREMIUM,POMACE,PCS,13047,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE 1 LTR 16 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,30000.00,7500.00,7500.00,7500.00,7500.00,30000.00,30000.00,60000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,7,4,FG0000151,YES,SANO POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,PREMIUM,POMACE,PCS,4707,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE 5 LTR TIN 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,35000.00,8750.00,8750.00,8750.00,8750.00,25000.00,35000.00,60000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,42,39,FG0000407,YES,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,CANOLA,PREMIUM,COLD PRESS,PCS,29467,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),1.000,20.000,20.000,0.00,0.00,0.00,0.00,0.00,60000.00,15000.00,15000.00,15000.00,15000.00,0.00,60000.00,60000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,108,105,FG0000422,YES,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,780,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,1.000,20.000,20.000,60000.00,15000.00,15000.00,15000.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,60000.00,60000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,95,92,FG0000149,YES,JIVO GOLD 1 LTR 20 PCS,BLENDED,COMMODITY,GOLD,PCS,15,JIVO,COMMODITY,GOLD,JIVO GOLD,JIVO GOLD 1 LTR 20 PCS,1.000,20.000,20.000,5000.00,1250.00,1250.00,1250.00,1250.00,0.00,0.00,0.00,0.00,0.00,50000.00,5000.00,55000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,12,9,FG0000306,YES,YELLOW MUSTARD OIL 1 LTR 20 PCS,MUSTARD,PREMIUM,YELLOW MUSTARD,PCS,4947,JIVO,OTHER PREMIUM,YELLOW MUSTARD,YELLOW MUSTARD,YELLOW MUSTARD OIL 1 LTR 20 PCS,1.000,20.000,20.000,0.00,0.00,0.00,0.00,0.00,25000.00,6250.00,6250.00,6250.00,6250.00,30000.00,25000.00,55000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,106,103,FG0000178,YES,MUSTARD KACHI GHANI 15 KGS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,263,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 15 KGS(PRINTED),16.480,16.480,1.000,35000.00,8750.00,8750.00,8750.00,8750.00,0.00,0.00,0.00,0.00,0.00,0.00,35000.00,35000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,145,142,FG0000193,YES,SOYABEAN OIL 1 LTR 20 PCS,SOYABEAN,COMMODITY,REFINED,PCS,71,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 1 LTR 20 PCS,1.000,20.000,20.000,20000.00,5000.00,5000.00,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,15000.00,20000.00,35000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,22,19,FG0000374,YES,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,MUSTARD,PREMIUM,YELLOW MUSTARD,PCS,508,JIVO,OTHER PREMIUM,YELLOW MUSTARD,YELLOW MUSTARD,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,8000.00,2000.00,2000.00,2000.00,2000.00,25000.00,8000.00,33000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,23,20,FG0000033,YES,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,CANOLA,PREMIUM,COLD PRESS,PCS,11489,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,2.000,20.000,10.000,0.00,0.00,0.00,0.00,0.00,30000.00,7500.00,7500.00,7500.00,7500.00,0.00,30000.00,30000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,8,5,FG0000034,YES,EXTRA LIGHT OLIVE 200 LTR 1 PCS,OLIVE,PREMIUM,EXTRA LIGHT,PCS,0,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 200 LTR 1 PCS,200.000,200.000,1.000,0.00,0.00,0.00,0.00,0.00,30000.00,7500.00,7500.00,7500.00,7500.00,0.00,30000.00,30000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,120,117,FG0000038,YES,MUSTARD KACCHI GHANI 2 LTR 10 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,5307,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 2 LTR 10 PCS,2.000,20.000,10.000,30000.00,7500.00,7500.00,7500.00,7500.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00,30000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,96,93,FG0000128,YES,JIVO GOLD 5 LTR 4 PCS,BLENDED,COMMODITY,GOLD,PCS,768,JIVO,COMMODITY,GOLD,JIVO GOLD,JIVO GOLD 5 LTR 4 PCS,5.000,20.000,4.000,5000.00,1250.00,1250.00,1250.00,1250.00,0.00,0.00,0.00,0.00,0.00,25000.00,5000.00,30000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,144,141,FG0000192,YES,SOYABEAN OIL 5 LTR 4 PCS,SOYABEAN,COMMODITY,REFINED,PCS,419,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 5 LTR 4 PCS,5.000,20.000,4.000,20000.00,5000.00,5000.00,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,10000.00,20000.00,30000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,46,43,FG0000064,YES,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,OLIVE,PREMIUM,EXTRA LIGHT,PCS,160,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,2.000,20.000,10.000,0.00,0.00,0.00,0.00,0.00,2000.00,500.00,500.00,500.00,500.00,25000.00,2000.00,27000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,133,130,FG0000226,YES,RICE BRAN OIL 5 LTR 4 PCS,RICE BRAN,COMMODITY,REFINED,PCS,141,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 5 LTR 4 PCS,5.000,20.000,4.000,6000.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,20000.00,6000.00,26000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,189,186,FG0000091,YES,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,SUNFLOWER,COMMODITY,COLD PRESS,PCS,0,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,2.000,10.000,20.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,25000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,160,157,FG0000275,YES,COLD PRESS SUNFLOWER OIL 15 LTR,SUNFLOWER,COMMODITY,COLD PRESS,PCS,1356,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER OIL 15 LTR,15.000,15.000,1.000,25000.00,6250.00,6250.00,6250.00,6250.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,25000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,40,37,FG0000324,YES,SESAME OIL 1 LTR 20 PCS,SESAME,PREMIUM,SESAME,PCS,2063,JIVO,OTHER PREMIUM,SESAME,SESAME,SESAME OIL 1 LTR 20 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,5000.00,1250.00,1250.00,1250.00,1250.00,20000.00,5000.00,25000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,188,185,FG0000429,YES,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,260,JIVO,COMMODITY,MUSTARD,MUSTARD,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,2.000,10.000,20.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,25000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,187,184,FG0000009,YES,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,OLIVE,PREMIUM,EXTRA LIGHT,PCS,2416,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,8000.00,2000.00,2000.00,2000.00,2000.00,15000.00,8000.00,23000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,21,18,FG0000042,YES,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,OLIVE,PREMIUM,EXTRA VIRGIN,PCS,12871,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,12000.00,3000.00,3000.00,3000.00,3000.00,10000.00,12000.00,22000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,134,131,FG0000227,YES,RICE BRAN OIL 1 LTR 16 PCS,RICE BRAN,COMMODITY,REFINED,PCS,9309,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 1 LTR 16 PCS,1.000,20.000,20.000,6000.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,15000.00,6000.00,21000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,180,177,FG0000441,YES,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,GROUNDNUT,PREMIUM,COLD PRESS,PCS,2890,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,0.200,14.000,70.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21000.00,0.00,21000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,107,104,FG0000031,YES,MUSTARD PAKKI GHANI 1 LTR 20 PCS,MUSTARD,COMMODITY,MUSTARD PAKKI GHANI,PCS,18837,JIVO,COMMODITY,MUSTARD,MUSTARD PK,MUSTARD PAKKI GHANI 1 LTR 20 PCS,1.000,20.000,20.000,20000.00,5000.00,5000.00,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,18,15,FG0000043,YES,COLD PRESS 3 LTR 6 PCS,CANOLA,PREMIUM,COLD PRESS,PCS,6468,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 3 LTR 6 PCS,3.000,18.000,6.000,0.00,0.00,0.00,0.00,0.00,20000.00,5000.00,5000.00,5000.00,5000.00,0.00,20000.00,20000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,104,101,FG0000106,YES,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,16183,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,1.000,12.000,12.000,20000.00,5000.00,5000.00,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,172,169,FG0000419,YES,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,GROUNDNUT,PREMIUM,COLD PRESS,PCS,0,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,2.000,20.000,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,0.00,20000.00,
