code,name,kind,uom,factory_qty,sap_qty,exim_tank_qty,chosen_qty,source,warehouses,at_zero,notes
PM0000076,TIN 15 LTR,PACKAGING,PCS,5453,5453,,5453,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=5257; GP-FG=196,no,"outside allow-list: BH-PP 11876 (SAP-inactive, frozen (Daman: ignore)); BH-PC 8131 (issued to production floor); BH-WST 3167 (wastage); PB-ST 390 (not counted)"
PM0000077,TIN 5 LTR EXTRA LIGHT OLIVE PRINTED,PACKAGING,PCS,3560,3730,,3730,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=3451; GP-NM=262; GP-FG=17,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -170 = net movement ON 1 Aug | outside allow-list: BH-PP 1607 (SAP-inactive, frozen (Daman: ignore)); BH-WST 876 (wastage); BH-PC 32 (issued to production floor); PB-ST 20 (not counted)"
PM0000078,CAPS 5 LTR/15 LTR,PACKAGING,PCS,97927,7942,,7942,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=7920; GP-FG=22,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 89985 = net movement ON 1 Aug | outside allow-list: BH-PP 12395 (SAP-inactive, frozen (Daman: ignore)); BH-WST 7283 (wastage); BH-PC 920 (issued to production floor); PB-ST 315 (not counted)"
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,PACKAGING,PCS,140278,155278,,155278,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=126000; GP-NM=29278,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -15000 = net movement ON 1 Aug | outside allow-list: BH-PC 10083 (issued to production floor); BH-WST 9831 (wastage); BH-PP 2449 (SAP-inactive, frozen (Daman: ignore)); PB-ST 25 (not counted)"
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,PACKAGING,PCS,10043,10043,,10043,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=9996; GP-NM=40; GP-FG=7,no,"outside allow-list: BH-PP 2967 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1718 (wastage); BH-PC 1019 (issued to production floor); PB-ST 30 (not counted)"
PM0000082,CARTON 5 LTR OLIVE 4 PCS,PACKAGING,PCS,4081,4081,,4081,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=4000; GP-FG=81,no,"outside allow-list: BH-PC 1317.255 (issued to production floor); BH-WST 767 (wastage); BH-PP 674.245 (SAP-inactive, frozen (Daman: ignore)); PB-ST 140 (not counted)"
PM0000090,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE BACK,PACKAGING,PCS,25000,25000,,25000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=20000; GP-NM=5000,no,"outside allow-list: BH-PC 9376 (issued to production floor); BH-PP 8046 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1154 (wastage)"
PM0000091,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE FRONT,PACKAGING,PCS,25000,25000,,25000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=20000; GP-NM=5000,no,"outside allow-list: BH-PC 9397 (issued to production floor); BH-PP 7897 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1132 (wastage)"
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PACKAGING,PCS,12500,12500,,12500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=11500; GP-NM=1000,no,outside allow-list: BH-PC 17031.35 (issued to production floor); BH-WST 4951 (wastage)
PM0000107,LABEL 1 LTR POMACE BACK,PACKAGING,PCS,70000,70000,,70000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=70000,no,"outside allow-list: BH-PC 42956 (issued to production floor); BH-PP 29445 (SAP-inactive, frozen (Daman: ignore)); BH-WST 2074 (wastage)"
PM0000108,LABEL 1 LTR POMACE FRONT,PACKAGING,PCS,70500,70500,,70500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=70000; GP-NM=500,no,"outside allow-list: BH-PC 47868 (issued to production floor); BH-PP 22874 (SAP-inactive, frozen (Daman: ignore)); BH-WST 5215 (wastage)"
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PACKAGING,PCS,0,0,,0,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),,YES,"has own BOM (MAKE) | outside allow-list: BH-PP 38739 (SAP-inactive, frozen (Daman: ignore)); BH-WST 21793 (wastage); BH-PC 36 (issued to production floor); BH-PF 2 (not counted) | AT ZERO - BLOCKS: FG0000028 from 2026-08-01 (43,388 pcs planned); FG0000394 from 2026-08-01 (12 pcs planned); FG0000395 from 2026-08-01 (26 pcs planned); FG0000398 from 2026-08-01 (26 pcs planned) | but it is MAKE (has its own BOM) - can be produced in-house, check its components before calling it a stop"
PM0000128,CARTON 500 MLS 24 PCS,PACKAGING,PCS,6238,6238,,6238,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=5473; GP-NM=765,no,"outside allow-list: BH-PC 416.7083 (issued to production floor); BH-PP 393.6667 (SAP-inactive, frozen (Daman: ignore)); BH-WST 5.46 (wastage); BH-GR 0.005 (not counted)"
PM0000130,POUCH REFINED MULTI ROLLS KGS,PACKAGING,KGS,980.0033,980.0033,,980.0033,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=980; BH-BS=0.0033,no,"outside allow-list: BH-PC 136.9883 (issued to production floor); BH-PP 36.58 (SAP-inactive, frozen (Daman: ignore)); BH-WST 0.7817 (wastage); BH-GR 0.0033 (not counted)"
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,PACKAGING,PCS,33000,33000,,33000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=33000,no,"outside allow-list: BH-PP 17994 (SAP-inactive, frozen (Daman: ignore)); BH-PC 4344 (issued to production floor); BH-WST 1605 (wastage)"
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,PACKAGING,PCS,33000,33000,,33000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=33000,no,"outside allow-list: BH-PP 17018 (SAP-inactive, frozen (Daman: ignore)); BH-PC 5698 (issued to production floor); BH-WST 1315 (wastage)"
PM0000194,PET BOTTLE 1 LTR 40 GMS,PACKAGING,PCS,264,264,,264,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=264,no,"has own BOM (MAKE) | outside allow-list: BH-PP 47231 (SAP-inactive, frozen (Daman: ignore)); BH-PC 17515 (issued to production floor); BH-WST 13727 (wastage); BH-PF 2 (not counted)"
PM0000195,PET BOTTLE 1 LTR 52 GMS GREEN,PACKAGING,PCS,0,0,,0,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),,YES,"outside allow-list: BH-PP 12332 (SAP-inactive, frozen (Daman: ignore)); BH-PC 1164 (issued to production floor); BH-WST 752 (wastage) | AT ZERO - BLOCKS: FG0000042 from 2026-08-01 (20,030 pcs planned); FG0000187 from 2026-08-01 (1,768 pcs planned); FG0000396 from 2026-08-01 (29 pcs planned)"
PM0000232,LABEL 5 LTR SUNFLOWER BACK,PACKAGING,PCS,17100,17100,,17100,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=17100,no,"outside allow-list: BH-PP 10008 (SAP-inactive, frozen (Daman: ignore)); BH-PC 8051 (issued to production floor); BH-WST 708 (wastage); BH-PF 8 (not counted)"
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,PACKAGING,PCS,17100,17100,,17100,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=17100,no,"outside allow-list: BH-PP 8223 (SAP-inactive, frozen (Daman: ignore)); BH-PC 8145 (issued to production floor); BH-WST 1794 (wastage); BH-PF 8 (not counted)"
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,PACKAGING,PCS,530000,530000,,530000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=530000,no,"outside allow-list: BH-PP 164399 (SAP-inactive, frozen (Daman: ignore)); BH-PC 45786 (issued to production floor); BH-WST 26357 (wastage)"
PM0000245,CARTON 5 LTR 4 PCS PET,PACKAGING,PCS,772,772,,772,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=772,no,"outside allow-list: BH-PP 811 (SAP-inactive, frozen (Daman: ignore)); BH-PC 490 (issued to production floor); BH-WST 278.25 (wastage)"
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PACKAGING,PCS,161,161,,161,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=161,no,"outside allow-list: BH-PP 15511 (SAP-inactive, frozen (Daman: ignore)); BH-WST 669 (wastage); BH-PC 393 (issued to production floor); BH-PF 1 (not counted)"
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,PACKAGING,PCS,1269,1269,,1269,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=1250; GP-NM=19,no,"outside allow-list: BH-PP 729.25 (SAP-inactive, frozen (Daman: ignore)); BH-PC 190.4 (issued to production floor); BH-WST 93.5 (wastage); PB-JP 10 (not counted)"
PM0000259,TIN 5 LTR EXTRA VIRGIN OLIVE PRINTED IMPORTED,PACKAGING,PCS,38,38,,38,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=38,no,"outside allow-list: BH-PP 1047 (SAP-inactive, frozen (Daman: ignore)); BH-WST 603 (wastage); BH-PC 114 (issued to production floor); BH-PF 4 (not counted)"
PM0000260,TIN 5 LTR SO OLIVE PRINTED,PACKAGING,PCS,2,2,,2,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=2,no,"outside allow-list: BH-WST 303 (wastage); BH-PP 32 (SAP-inactive, frozen (Daman: ignore)); BH-PC 20 (issued to production floor)"
PM0000270,LABEL 15 LTR COLD PRESS SUNFLOWER OIL,PACKAGING,PCS,2117,2117,,2117,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=1617; GP-FG=500,no,"outside allow-list: BH-PC 2098 (issued to production floor); BH-PP 810 (SAP-inactive, frozen (Daman: ignore)); BH-WST 71 (wastage)"
PM0000276,CARTON CHOCO 375 GMS CHOCO 4 PCS,PACKAGING,PCS,266,266,,266,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=266,no,outside allow-list: BH-BT 240 (not counted); BH-PC 36.44 (issued to production floor); BH-WST 1 (wastage)
PM0000286,LABEL 1 LTR SOYABEAN FRONT,PACKAGING,PCS,3000,3000,,3000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=3000,no,"outside allow-list: BH-PP 9970 (SAP-inactive, frozen (Daman: ignore)); BH-PC 579 (issued to production floor); BH-WST 146 (wastage)"
PM0000287,LABEL 1 LTR SOYABEAN BACK,PACKAGING,PCS,4200,4200,,4200,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=4200,no,"outside allow-list: BH-PP 10465 (SAP-inactive, frozen (Daman: ignore)); BH-WST 146 (wastage)"
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,PACKAGING,PCS,2800,2800,,2800,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=2800,no,"outside allow-list: BH-PC 9175 (issued to production floor); BH-PP 8130 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1356 (wastage)"
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,PACKAGING,PCS,2800,2800,,2800,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=2800,no,"outside allow-list: BH-PC 9080 (issued to production floor); BH-PP 8071 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1451 (wastage)"
PM0000309,POUCH 1 LTR MUSTARD ROLLS KGS,PACKAGING,KGS,0,0,,0,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),,YES,"outside allow-list: BH-PC 223.3417 (issued to production floor); BH-WST 26.085 (wastage); BH-PP 9.0967 (SAP-inactive, frozen (Daman: ignore)); BH-GR 0.0083 (not counted) | AT ZERO - BLOCKS: FG0000106 from 2026-08-03 (19,723 pcs planned)"
PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,PACKAGING,PCS,5400,5400,,5400,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=5400,no,"outside allow-list: BH-PC 3863 (issued to production floor); BH-PP 3276 (SAP-inactive, frozen (Daman: ignore)); BH-WST 64 (wastage)"
PM0000345,LABEL 1 LTR EXTRA VIRGIN COCONUT BACK,PACKAGING,PCS,5400,5400,,5400,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=5400,no,"outside allow-list: BH-PC 3863 (issued to production floor); BH-PP 3276 (SAP-inactive, frozen (Daman: ignore)); BH-WST 64 (wastage)"
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,PACKAGING,PCS,2500,2500,,2500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=2500,no,"outside allow-list: BH-PC 4970 (issued to production floor); BH-PP 3119 (SAP-inactive, frozen (Daman: ignore)); BH-WST 564 (wastage)"
PM0000350,LABEL 2 LTR POMACE HANDLE BOTTLE BACK,PACKAGING,PCS,2500,2500,,2500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=2200; BH-BS=300,no,"outside allow-list: BH-PC 4665 (issued to production floor); BH-PP 3419 (SAP-inactive, frozen (Daman: ignore)); BH-WST 569 (wastage)"
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,PACKAGING,PCS,29100,29100,,29100,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=29100,no,"outside allow-list: BH-PP 26578 (SAP-inactive, frozen (Daman: ignore)); BH-PC 23283 (issued to production floor); BH-WST 703 (wastage)"
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,PACKAGING,PCS,6000,6000,,6000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=6000,no,"outside allow-list: BH-PC 24283 (issued to production floor); BH-PP 16368 (SAP-inactive, frozen (Daman: ignore)); BH-WST 703 (wastage)"
PM0000395,TIN 5 LTR POMACE OLIVE SANO,PACKAGING,PCS,7844,7844,,7844,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=7783; GP-NM=33; GP-FG=28,no,"outside allow-list: BH-WST 740 (wastage); BH-PP 597 (SAP-inactive, frozen (Daman: ignore)); BH-PC 23 (issued to production floor); BH-PF 4 (not counted)"
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,PACKAGING,PCS,24002,51002,,51002,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=51000; GP-FG=2,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -27000 = net movement ON 1 Aug | outside allow-list: BH-PP 13336 (SAP-inactive, frozen (Daman: ignore)); BH-PC 9344 (issued to production floor); BH-WST 2178 (wastage)"
PM0000409,CARTON 1 LTR POMACE 16 PCS PLAIN,PACKAGING,PCS,2023,2023,,2023,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=1990; GP-NM=33,no,"outside allow-list: BH-PP 125.66 (SAP-inactive, frozen (Daman: ignore)); BH-WST 37.8259 (wastage); BH-PC 25 (issued to production floor)"
