[2026-09-02T12:58:58.347Z] GET https://vercel.com/login → 200 (279ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/33rh_6l3s79yb.js → pending (?ms, ?B)
[2026-09-02T12:58:58.671Z] GET https://vercel.com/_next/static/immutable/chunks/0icksyzl-024m.js → pending (?ms, ?B)
[2026-09-02T12:58:58.671Z] GET https://vercel.com/_next/static/immutable/chunks/3flhcz7cw314y.css → pending (?ms, ?B)
[2026-09-02T12:58:58.671Z] GET https://vercel.com/_next/static/immutable/chunks/1dmxf2gaqnhs0.css → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-google-color-light.2x6g4y99zlarz.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-google-color-dark.3nr_e0zdganvm.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-github-color-light.1184n6l5g07-6.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-github-color-dark.1k-70sin_m3qn.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-open-ai-color-light.19_d6xia9t_gb.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://vercel.com/_next/static/immutable/media/logo-open-ai-color-dark.2s69z6l-k1q-7.svg → pending (?ms, ?B)
[2026-09-02T12:58:58.914Z] GET https://accounts.google.com/gsi/client → 200 (563ms, 101141B)
[2026-09-02T12:58:59.045Z] GET https://vercel.com/oauth/device?user_code=RMSG-GJBT → 200 (602ms, ?B)
[2026-09-02T12:58:59.664Z] GET https://vercel.com/_next/static/immutable/media/797e433ab948586e.p.1v5bejj26fx9h.woff2 → 200 (?ms, -3009B)
[2026-09-02T12:58:59.664Z] GET https://vercel.com/_next/static/immutable/media/Geist_Variable-s.p.2v-cf9syxr5ni.woff2 → 200 (1ms, -3009B)
[2026-09-02T12:58:59.665Z] GET https://vercel.com/_next/static/immutable/chunks/09b7duyzy2iy0.css → 200 (?ms, -2940B)
[2026-09-02T12:58:59.665Z] GET https://vercel.com/_next/static/immutable/chunks/2g2ilz99nicpn.css → 200 (?ms, -2940B)
[2026-09-02T12:58:59.665Z] GET https://vercel.com/_next/static/immutable/chunks/3-qb-ev6vlqj7.css → 200 (?ms, -2940B)
[2026-09-02T12:58:59.665Z] GET https://vercel.com/_next/static/immutable/chunks/0d1ylwbsfvw34.css → 200 (1ms, -2938B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/0zqjlrh2-dbtl.css → pending (?ms, ?B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/16pihbfozsy1r.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/0gkqer3o6_q53.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/2ofc2wu54zqs5.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/09bognj3n0dzk.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.666Z] GET https://vercel.com/_next/static/immutable/chunks/0dywe_av5ahyp.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.667Z] GET https://vercel.com/_next/static/immutable/chunks/turbopack-39jhl194si51o.js → 200 (?ms, -2981B)
[2026-09-02T12:58:59.667Z] GET https://vercel.com/_next/static/immutable/chunks/1ghl9030pk7z4.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.667Z] GET https://vercel.com/_next/static/immutable/chunks/2_5ijns-kh-p_.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.667Z] GET https://vercel.com/_next/static/immutable/chunks/1w1609r-r8kff.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.668Z] GET https://vercel.com/_next/static/immutable/chunks/4537enm2dilf3.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.668Z] GET https://vercel.com/_next/static/immutable/chunks/1j8i0k_22fxel.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.668Z] GET https://vercel.com/_next/static/immutable/chunks/232qzp3qy0bg2.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.669Z] GET https://vercel.com/_next/static/immutable/chunks/04dvo0vl-kkp7.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.669Z] GET https://vercel.com/_next/static/immutable/chunks/31czi5jev656m.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.669Z] GET https://vercel.com/_next/static/immutable/chunks/0-cuqjr_qip93.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.669Z] GET https://vercel.com/_next/static/immutable/chunks/1c_pb9t69gdyi.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.669Z] GET https://vercel.com/_next/static/immutable/chunks/2k41i9-2rtbll.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/0fuj49c3r917c.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/3_wwk6xcw86de.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/351t4f4jr2fjt.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/0dicr_a6c53ew.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/0h3usadhjaiwk.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/444vie017ums5.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.670Z] GET https://vercel.com/_next/static/immutable/chunks/3q08q1lb82g90.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.671Z] GET https://vercel.com/_next/static/immutable/chunks/18g1ndds6zbos.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.671Z] GET https://vercel.com/_next/static/immutable/chunks/3jm6q31_koox1.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.671Z] GET https://vercel.com/_next/static/immutable/chunks/2ciwgzn5-o1t9.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.672Z] GET https://vercel.com/_next/static/immutable/chunks/42m2cfg5ot1v4.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.672Z] GET https://vercel.com/_next/static/immutable/chunks/3tof1cg4uumvd.js → 200 (4ms, -2878B)
[2026-09-02T12:58:59.672Z] GET https://vercel.com/_next/static/immutable/chunks/3a9ya26s-qzd1.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.672Z] GET https://vercel.com/_next/static/immutable/chunks/2wfzna5t8z39c.js → 200 (5ms, -2878B)
[2026-09-02T12:58:59.672Z] GET https://vercel.com/_next/static/immutable/chunks/0t6pawz872gew.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.673Z] GET https://vercel.com/_next/static/immutable/chunks/3lithfpepcakb.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.673Z] GET https://vercel.com/_next/static/immutable/chunks/3ojvw07r2unpo.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.673Z] GET https://vercel.com/_next/static/immutable/chunks/1dkp8n54pkk1x.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.673Z] GET https://vercel.com/_next/static/immutable/chunks/3izttin3pk8vx.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.673Z] GET https://vercel.com/_next/static/immutable/chunks/2u3r97zvy3v66.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/3vc4fyukjntiz.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/0khuw3y_0i2rm.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/0v-l-qe926kjb.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/30v1voau9cngx.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/3mb09cl9pq72_.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/3x3bbyivzzlgc.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/0106q7biw-fzn.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/1qpu05wpeajm2.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.674Z] GET https://vercel.com/_next/static/immutable/chunks/443eh85mmmbfj.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/23cuksrzu15wh.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/1wfj6new5zqek.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/2o02vb8hh3aji.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/3o7hfg6m0bcce.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/1xbf45-j54xje.js → 200 (?ms, -2949B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/2j6hz_ho_ew3v.js → 200 (2ms, -2878B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/0yuj9t72k2_ol.js → pending (?ms, ?B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/1su1dgp7lpbw3.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/0te8_8m4posfd.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/35t_33bvlbwnf.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.675Z] GET https://vercel.com/_next/static/immutable/chunks/33rh_6l3s79yb.js → 200 (1ms, -2951B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/3izlv7cof065j.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/21ls_dnb-d55r.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/0eu67e_ir8lei.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/14dvip4jrgrhm.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/1upvwlgnazvpa.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/18g4ka7y_lobm.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/3r3pa4zknsbgi.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/0el2njxh64qi4.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/1xoolfjpj3t6r.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/3fo3va1nxzsdt.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/0hgm67lu-j_8b.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/40hlzb56niv_j.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/41p9_ow651x2m.js → pending (?ms, ?B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/0icksyzl-024m.js → 200 (?ms, -2951B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/3flhcz7cw314y.css → 200 (?ms, -2867B)
[2026-09-02T12:58:59.676Z] GET https://vercel.com/_next/static/immutable/chunks/1dmxf2gaqnhs0.css → 200 (?ms, -2867B)
[2026-09-02T12:58:59.897Z] GET https://vercel.com/api/www/user → 200 (387ms, 1315B)
[2026-09-02T12:58:59.912Z] GET https://vercel.com/_next/static/immutable/chunks/2gjae3r8_-oe4.js → 200 (179ms, 6960B)
[2026-09-02T12:58:59.913Z] GET https://vercel.com/_next/static/immutable/chunks/39-q1dy41xaqa.js → 200 (74ms, 12089B)
[2026-09-02T12:58:59.958Z] GET https://vercel.com/_next/static/immutable/chunks/20fl6tu25d853.js → 200 (135ms, 2503B)
[2026-09-02T12:58:59.958Z] GET https://vercel.com/.well-known/vercel/microfrontends/client-config → 200 (204ms, 3076B)
[2026-09-02T12:58:59.964Z] GET https://vercel.com/api/teams?permissions=true&entitlements=true&includeOrganizationMemberships=true → 200 (447ms, 2997B)
[2026-09-02T12:58:59.966Z] GET https://vercel.com/_next/static/immutable/chunks/2v_xga0t35xf-.js → 200 (127ms, 1264B)
[2026-09-02T12:58:59.966Z] GET https://vercel.com/_next/static/immutable/chunks/3vuaw0m6zroe4.js → 200 (162ms, 48134B)
[2026-09-02T12:58:59.986Z] GET https://vercel.com/api/www/avatar/c8081cc2c1a503118b140d9ec53ff8ae806eee15?s=160&dpl=dpl_DmMxXEsHKxiwbVbcmR1og1SkkWyy → 200 (310ms, 665B)
[2026-09-02T12:58:59.986Z] GET https://vercel.com/api/www/avatar?s=160&dpl=dpl_DmMxXEsHKxiwbVbcmR1og1SkkWyy → 200 (321ms, 512B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/3ijg9daie-emf.js → 200 (125ms, 6489B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/2-z3sad_mzfbc.js → 200 (112ms, 9935B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/231v32rr20y6v.js → 200 (113ms, 9999B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/20rc7kb51xahu.js → 200 (109ms, 48030B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/3sypme4tl8ht3.js → 200 (113ms, 9584B)
[2026-09-02T12:59:00.014Z] GET https://vercel.com/_next/static/immutable/chunks/4202nv2_vq225.js → 200 (125ms, 37108B)
[2026-09-02T12:59:00.015Z] GET https://vercel.com/_next/static/immutable/chunks/40ckr7cr1kvqd.css → 200 (112ms, 2832B)
[2026-09-02T12:59:00.015Z] GET https://vercel.com/e62b3a9e28ed8bca/script.js → 200 (112ms, 1539B)
[2026-09-02T12:59:00.015Z] POST https://vercel.com/api/jwt → 200 (493ms, 2731B)
[2026-09-02T12:59:00.015Z] GET https://vercel.com/.well-known/vercel/microfrontends/client-config → 200 (78ms, 2818B)
[2026-09-02T12:59:00.015Z] GET https://vercel.com/3628f7ea4ecd82e3/script.js → 200 (153ms, 5014B)
[2026-09-02T12:59:00.019Z] GET https://vercel.com/_next/static/immutable/chunks/3fstiyr4yd--f.js → 200 (143ms, 3288B)
[2026-09-02T12:59:00.019Z] GET https://vercel.com/_next/static/immutable/chunks/1na0fham96win.js → 200 (144ms, 3585B)
[2026-09-02T12:59:00.019Z] GET https://vercel.com/_next/static/immutable/chunks/0ghsf5au59h-l.js → 200 (143ms, 8845B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/2a0qta7c6ltvs.js → 200 (149ms, 11482B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/04r876z-ijbeo.js → 200 (140ms, 10016B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/1pemdi9di4bd6.js → 200 (157ms, 10813B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/3znl3n6s197iy.js → 200 (142ms, 10932B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/2j3uh-e4nij6z.js → 200 (142ms, 15732B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/43nnyzzrqqelt.js → 200 (142ms, 30619B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/0tct707lo0cfm.js → 200 (146ms, 15106B)
[2026-09-02T12:59:00.020Z] GET https://vercel.com/_next/static/immutable/chunks/0ovknsmie53us.css → 200 (141ms, 4940B)
[2026-09-02T12:59:00.138Z] POST https://o205439.ingest.sentry.io/api/1323670/envelope/?sentry_key=d00780d432ac4ccf882f60dd02062e14&sentry_version=7&sentry_client=sentry.javascript.browser%2F7.111.0 → 200 (279ms, 300B)
[2026-09-02T12:59:00.292Z] GET https://www.vercel-status.com/api/v2/incidents/unresolved.json → 200 (229ms, 1164B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v1/integrations/google/verify → 200 (329ms, 154B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v1/integrations/apple/verify → 200 (328ms, 289B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v2/registration/github-limited → 200 (330ms, 96B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v2/registration/github-token → pending (?ms, ?B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v1/integrations/bitbucket/verify → 200 (395ms, 96B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v1/integrations/gitlab/verify → 200 (330ms, 96B)
[2026-09-02T12:59:00.292Z] GET https://vercel.com/api/v1/integrations/chatgpt/verify → 200 (330ms, 97B)
[2026-09-02T12:59:00.293Z] GET https://vercel.com/api/www/avatar?s=48&u=dp605702-1914&dpl=dpl_DmMxXEsHKxiwbVbcmR1og1SkkWyy → 200 (331ms, 1199B)
