SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
MONTH	2025-12	2025-12	52025-12	74	44	6	1	4378	11600	972714.49	49359.81	1022074.3	1960587.53	15	0	725	313765.85	78	2208146.12	378466448.06	0.5834	0.518
MONTH	2026-01	2026-01	52026-01	76	31	7	1	17225	0	2356801.15	117840.35	2474641.5	3212654.87	25	0	5460	1263301.62	92	2148182.32	456110789.22	0.471	0.7044
MONTH	2026-02	2026-02	52026-02	60	33	5	1	14070	2600	957921.82	47896.32	1005818.14	5602929.47	8	1	794	747417.36	77	1979150.28	316686080.81	0.625	1.7692
MONTH	2026-03	2026-03	52026-03	73	37	2	1	116410	28	1502150.86	75110.32	1577261.18	3920923.92	13	0	108256	1555717.88	263	2825433.06	315921606.76	0.8943	1.2411
MONTH	2026-04	2026-04	52026-04	31	19	1	2	5030	0	811186.63	40559.55	851746.18	2177823.76	4	0	2192	1489035.92	33	1084172.45	320905609.75	0.3378	0.6786
MONTH	2026-05	2026-05	52026-05	42	41	2	0	4069	0	3400	170	3570	685229.98	2	0	49	25242.7	39	889351.51	416382980.38	0.2136	0.1646
MONTH	2026-06	2026-06	52026-06	52	52	0	0	10500	0	0	0	0	2271636.12	0	0	0	0	53	2936193.91	370935454.65	0.7916	0.6124
MONTH	2026-07	2026-07	52026-07	65	64	1	0	2842	60.02	8761.91	438.09	9200	780904.71	1	0	40	550	64	1039096.61	523301862.87	0.1986	0.1492
MONTH	2026-08	2026-08	52026-08	28	28	3	0	4093	0	0	0	0	1255747.11	3	0	2492	775540.49	25	596753.12	227954507.71	0.2618	0.5509
CUSTOMER	CUSTA000606	JIVO MART PVT LTD [INTERCOMPANY]	6	477	196	16	22	154429	29835	30378688.56	1543343.95	31922032.51	50179394.02	90	10	23893	8034239.78	385	51288458.82	3056382296.77	1.6781	1.6418
CUSTOMER	CUSTA001022	JIOMART LUHARI Q1 [EXTERNAL]	6	92	90	0	8	9335	0	280571.43	14028.57	294600	5786227.96	10	5	2020	1366777.56	525	1986168.55	14365285.8	13.8262	40.2792
CUSTOMER	CUSTA000243	COFFRET MARKETING PVT LTD [EXTERNAL]	6	3	3	0	0	1864	0	0	0	0	2252239.48	0	0	0	0	3	2828411.3	7031496.16	40.2249	32.0307
CUSTOMER	CUSTA000486	WAL MART INDIA PVT LTD [EXTERNAL]	6	88	81	1	0	8116	0	85911.48	4295.54	90207.02	1937441.9	2	0	22	6051.83	86	2135404.67	295381224.87	0.7229	0.6559
CUSTOMER	CUSTA000684	OCTAVOS ENTERPRISE SOLUTIONS PRIVATE LIMITED [EXTERNAL]	6	24	24	0	9	4508	2	0	0	0	1800156.12	9	7	2604	1377525.18	164	582361.85	7929076.63	7.3446	22.7032
CUSTOMER	CUSTA000574	JIOMART LUHARI [EXTERNAL]	6	66	66	0	5	3869	16	0	0	0	1721220.04	9	0	902	480036.6	388	1466248.87	13526871.59	10.8395	12.7245
CUSTOMER	CUSTA000913	DIN DAYAL DULI CHAND [EXTERNAL]	6	4	3	1	0	4653	0	5	0.25	5.25	1681127.4	1	0	1	632.57	3	800685.02	12027115.46	6.6573	13.9778
CUSTOMER	CUSTA000442	OJAS TRADERS [EXTERNAL]	6	59	59	0	0	3979	0	0	0	0	1459325.61	1	0	22	875.67	59	2016870.16	128246363.97	1.5727	1.1379
CUSTOMER	CUSTA000981	AGGARWAL AGENCIES [EXTERNAL]	6	58	58	1	0	4064	0	0	0	0	1171011.32	1	0	154	89835.22	57	1586582.07	118717966.53	1.3364	0.9864
CUSTOMER	CUSTA000012	PUNJAB SALES CORPORATION LUDHIANA [EXTERNAL]	6	8	8	1	0	5828	0	0	0	0	1095808.32	1	0	256	183525.5	8	1170212.05	85847073.34	1.3631	1.2765
CUSTOMER	CUSTA000357	G PURE INDIA [EXTERNAL]	6	23	20	0	0	5682	0	20.7	3.58	24.28	1028043.36	0	0	0	0	23	1437014.84	355614477.5	0.4041	0.2891
CUSTOMER	CUSTA000592	KNOWTABLE ONLINE SERVICES PRIVATE LIMITED [EXTERNAL]	6	12	12	1	0	963	0	0	0	0	985941.88	2	0	82	43692.61	10	1331086.47	203296493.2	0.6548	0.485
CUSTOMER	CUSTA001070	SAKSHI SALES [EXTERNAL]	6	22	22	0	0	2262	0	0	0	0	957751.52	0	0	0	0	22	1503107.01	46884771.76	3.206	2.0428
CUSTOMER	CUSTA000169	PURE AGROCHEM CORPORATION [EXTERNAL]	6	85	84	6	0	4432	0	0.32	0.02	0.34	890296.07	8	0	105	23175.48	77	1459314.37	181803253.52	0.8027	0.4897
CUSTOMER	CUSTA000496	INNOVATIVE RETAIL CONCEPTS PVT LTD [EXTERNAL]	6	11	9	1	0	3156	0	340140.94	17007.06	357148	756029.59	1	0	700	167557.45	10	909543.64	22211152.4	4.095	3.4038
CUSTOMER	CUSTA001105	RAVI COSMETICS [EXTERNAL]	6	1	0	0	1	106010	20	500000	25000	525000	713351.55	1	0	106010	713351.55	0	0	0	NULL	NULL
CUSTOMER	CUSTA000190	WADHWA TRADERS [EXTERNAL]	6	1	1	0	0	3714	0	0	0	0	705144.17	1	0	3714	705144.17	0	0	0	NULL	NULL
CUSTOMER	CUSTA000812	BACHAN SINGH KULJIT SINGH (IVEPS8273L) [EXTERNAL]	6	10	10	0	0	2569	0	0	0	0	670058.41	0	0	0	0	10	807451.07	60765734.12	1.3288	1.1027
CUSTOMER	CUSTA000163	M S ABNASH & BROS [EXTERNAL]	6	6	6	1	0	6119	0	0	0	0	651600.81	1	0	1682	0	6	932673.51	44126698.21	2.1136	1.4767
CUSTOMER	CUSTA000171	ANAND ENTERPRISES [EXTERNAL]	6	17	17	0	0	4304	0	0	0	0	617310.71	0	0	0	0	17	685763.82	44856386.01	1.5288	1.3762
CUSTOMER	CUSTA001096	BHARTI MACHINERY TOOLS [EXTERNAL]	6	1	1	1	0	0	2600	0	0	0	555437.04	1	0	0	555437.04	0	0	0	NULL	NULL
CUSTOMER	CUSTA000246	WAHEGURU TRADERS [EXTERNAL]	6	3	3	0	0	3723	0	0	0	0	546204.63	0	0	0	0	3	670322.89	23161977.97	2.8941	2.3582
CUSTOMER	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H [EXTERNAL]	6	4	4	0	0	4035	0	0	0	0	499883.46	0	0	0	0	4	542584.31	78236020.22	0.6935	0.6389
CUSTOMER	CUSTA000168	AVENUE SUPERMARTS LTD [EXTERNAL]	6	171	0	0	0	2340	0	46217.49	2310.96	48528.44	487445.05	5	0	7	858.21	351	571283.92	331964583.47	0.1721	0.1468
CUSTOMER	CUSTA000846	ISHWER CHAND & SONS (ANIPK0139M) [EXTERNAL]	6	1	1	0	0	254	0	0	0	0	486825.34	0	0	0	0	1	520095.48	48458872.26	1.0733	1.0046
CUSTOMER	CUSTA000395	PRIME SALES CORPORATION [EXTERNAL]	6	3	2	0	0	2232	0	200	10	210	442210.64	0	0	0	0	3	457822.82	40575446.75	1.1283	1.0898
CUSTOMER	CUSTA001041	HIMJYOTI TRADERS [EXTERNAL]	6	3	3	0	0	3203	0	0	0	0	384414.83	0	0	0	0	3	435096.58	41415751.17	1.0506	0.9282
CUSTOMER	CUSTA000105	RAJ MATA TRADERS LAXMI NAGAR [EXTERNAL]	6	27	27	0	0	1147	0	0	0	0	319209.12	0	0	0	0	27	363079.46	70945281.85	0.5118	0.4499
CUSTOMER	CUSTA000790	M/S JAI BHAGWAN RAMESH CHAND (AENPK0618P) [EXTERNAL]	6	1	1	0	0	2700	0	0	0	0	275559.84	0	0	0	0	1	270000	21906327.55	1.2325	1.2579
CUSTOMER	CUSTA000451	SUMIT TRADERS [EXTERNAL]	6	4	4	0	0	161	0	0	0	0	275199.56	0	0	0	0	4	282857.32	96226786.94	0.2939	0.286
CUSTOMER	CUSTA001006	BABA LOKENATH TRADERS [EXTERNAL]	6	1	1	1	0	525	0	0	0	0	274251.73	1	0	525	274251.73	0	0	0	NULL	NULL
CUSTOMER	CUSTA000354	CHIRAG ENTERPRISES MUMBAI [EXTERNAL]	6	6	6	0	0	259	0	0	0	0	250282.8	1	0	8	3087.67	5	265425.36	148637342.66	0.1786	0.1684
CUSTOMER	CUSTA001038	ANVESHAN FARM TECHNOLOGIES PRIVATE LIMITED [EXTERNAL]	6	1	1	0	0	10	0	0	0	0	249493.57	0	0	0	0	1	350000	700000	50	35.6419
CUSTOMER	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL [EXTERNAL]	6	32	31	0	0	2805	0	8761.91	438.09	9200	222591.03	1	0	76	0	31	404717.6	36503169.26	1.1087	0.6098
CUSTOMER	CUSTA000986	ONENESS TRADERS [EXTERNAL]	6	16	16	1	0	1099	0	0	0	0	210658.44	1	0	1000	145510.4	15	79684.1	51801942.14	0.1538	0.4067
CUSTOMER	CUSTA001051	ANIL ENTERPRISES [EXTERNAL]	6	1	1	0	0	1992	0	0	0	0	185397.23	0	0	0	0	1	182128.56	9319220.66	1.9543	1.9894
CUSTOMER	CUSTA000872	SAI TRADERS LUDHIANA [EXTERNAL]	6	14	14	0	0	282	0	0	0	0	185136	0	0	0	0	14	218738.59	60469534.74	0.3617	0.3062
CUSTOMER	CUSTA000020	JEEWAN INTERNATIONAL 19 20 [EXTERNAL]	6	5	5	0	0	107	0	0	0	0	184644.36	0	0	0	0	5	188522.28	22482514.99	0.8385	0.8213
CUSTOMER	CUSTA000680	B S A ENGINEERING LLP [EXTERNAL]	6	1	1	0	0	250	0	0	0	0	181331.46	0	0	0	0	1	306122.5	43801223.84	0.6989	0.414
CUSTOMER	CUSTA000547	OM PARKASH SUNIL KUMAR [EXTERNAL]	6	1	1	0	0	1030	0	0	0	0	172308.08	0	0	0	0	1	195046.72	12791978.62	1.5248	1.347
