SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	DISP_DOCS	DISP_VAL_L	EXT_DISP_DOCS	EXT_DISP_VAL_L	NAMED_PCT	LR_PCT	VEH_PCT	DRIVER_PCT	FILLED	FILL_PCT	VARIANTS	VENDOR_CODE	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP	NOTE
MONTH	2025-02	Dispatches in 2025-02	5	653	4733.97	543	3240.05	44.1	47.6	44.4	1.4	NULL	NULL	47	NULL	NULL	79	86.03	1.8	NULL
MONTH	2025-03	Dispatches in 2025-03	5	757	4474.01	627	2848.52	34.2	48.5	39.9	0.9	NULL	NULL	32	NULL	NULL	119	116.01	2.6	NULL
MONTH	2025-04	Dispatches in 2025-04	5	729	4492.69	606	3145.75	36.5	46.6	42.5	1	NULL	NULL	48	NULL	NULL	44	75.69	1.7	NULL
MONTH	2025-05	Dispatches in 2025-05	5	796	3860.56	652	2405.89	38.8	47	44.2	1.5	NULL	NULL	53	NULL	NULL	44	42.32	1.1	NULL
MONTH	2025-06	Dispatches in 2025-06	5	693	3479.64	571	2414.49	35.6	43	42	1.6	NULL	NULL	37	NULL	NULL	40	86.04	2.5	NULL
MONTH	2025-07	Dispatches in 2025-07	5	855	4726.65	702	2951.43	49	55.1	55	1.5	NULL	NULL	38	NULL	NULL	55	76.87	1.6	NULL
MONTH	2025-08	Dispatches in 2025-08	5	827	4085.8	637	2602.56	51.4	62.9	60.8	1.1	NULL	NULL	43	NULL	NULL	84	134.83	3.3	NULL
MONTH	2025-09	Dispatches in 2025-09	5	857	3749.31	605	2041.75	47.1	59.6	58	2	NULL	NULL	40	NULL	NULL	40	80.62	2.2	NULL
MONTH	2025-10	Dispatches in 2025-10	5	965	3991.26	702	2304.26	44.2	60	58.7	4.9	NULL	NULL	49	NULL	NULL	38	57.13	1.4	NULL
MONTH	2025-11	Dispatches in 2025-11	5	718	3156.39	568	2089.38	44.7	62.3	60.7	2.1	NULL	NULL	43	NULL	NULL	67	94.02	3	NULL
MONTH	2025-12	Dispatches in 2025-12	5	780	3784.66	596	2517.02	44.5	60.8	57.8	1	NULL	NULL	41	NULL	NULL	78	86.46	2.3	NULL
MONTH	2026-01	Dispatches in 2026-01	5	952	4561.11	669	2943.67	51.1	65.4	62.1	0	NULL	NULL	38	NULL	NULL	41	45.89	1	NULL
MONTH	2026-02	Dispatches in 2026-02	5	797	3166.86	549	1772.91	52.1	65.1	61.6	0.1	NULL	NULL	37	NULL	NULL	40	93.22	2.9	NULL
MONTH	2026-03	Dispatches in 2026-03	5	668	3159.22	428	1687.72	54.3	69.9	67.1	0	NULL	NULL	32	NULL	NULL	71	106.72	3.4	NULL
MONTH	2026-04	Dispatches in 2026-04	5	509	3209.06	389	1557.28	53.2	72.1	66.6	0.2	NULL	NULL	30	NULL	NULL	40	49.7	1.5	NULL
MONTH	2026-05	Dispatches in 2026-05	5	666	4163.83	534	2351.44	58.1	83.2	67.1	0.2	NULL	NULL	24	NULL	NULL	64	58.82	1.4	NULL
MONTH	2026-06	Dispatches in 2026-06	5	458	3709.35	389	1668.65	60.9	81.7	71.8	0.2	NULL	NULL	21	NULL	NULL	81	69.04	1.9	NULL
MONTH	2026-07	Dispatches in 2026-07	5	712	5233.02	609	2571.94	64	75.3	70.4	0.1	NULL	NULL	23	NULL	NULL	65	69.04	1.3	NULL
MONTH	2026-08	Dispatches in 2026-08	5	389	2279.55	265	792.71	44.7	51.2	49.9	0.3	NULL	NULL	19	NULL	NULL	5	11.46	0.5	NULL
TRANSPORTER	DELHIPUNJAB	DELHI PUNJAB	6	1822	13686.1	1495	10700.4	NULL	99.7	98.9	1.6	6	NULL	9	VENDA000636	DELHI PUNJAB TRANSPORT CO	115	127.8	0.9	3 vendor cards merged here; spellings: DELHI PUNJAB | DELHI PUNJAB CARRIER | DELHI PUNJAB TPT | DELHI PUNJAB TRANSPORT | DELHI PUNJAB TRANSPORT CO | Delhi Punjab | Delhi PunjabDelhi Punjab | Delhi pu
TRANSPORTER	ARNAVTRANSPORT	ARNAV TRANSPORT	6	1397	10313.59	962	5846.2	NULL	96.8	98.4	5.9	2	NULL	4	VENDA000956	ARNAV TRANSPORT SERVICE	79	55.06	0.5	spellings: ARNAV TRANSPORT | ARNAV TRANSPORT SERVICE | Arnav Transport | Arnav Transport Service
TRANSPORTER	MAHADEV	MAHADEV TEMPO	6	795	6715.49	606	4568.4	NULL	97.9	95.7	6.5	5	NULL	11	VENDA000269	MAHADEV TEMPO SERVICE	60	68.17	1	spellings: MAHADEV TEMPO | MAHADEV TEMPO SERVICE | MAHADEV TRANSPORT | MAHAdev Tempo | Mahadev | Mahadev Temo | Mahadev Tempo | Mahadev Tempo Service | Mahadev tempo | mah
TRANSPORTER	RKTANKER	R K TANKER	6	92	5485.16	92	5485.16	NULL	100	100	0	7	NULL	11	VENDA000671	R K TANKER SERVICE	152	945.12	17.2	spellings: R K TANKER | R K TANKER SERVEICES | R K TANKER SERVICE | R K TANKER SERVICES | R K TANKER SEVICE | R K TANKER SEVICES | R. K TANKER SERVICES | RK TANKER | RK TA
TRANSPORTER	OMLOGISTIC	OM LOGISTIC	6	930	3948.35	671	2272.23	NULL	98.7	99.1	5.8	3	NULL	10	VENDA001367	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	75	84.26	2.1	2 vendor cards merged here; spellings: OM LOGISTIC | OM LOGISTICS | OM LOGISTICS LTD | Om Logistics | Om Logistics Ltd | Om Logistics Ltd. | Om Logistics Ltd., | Om logistics | OmLogistics Ltd. | om 
TRANSPORTER	GURUNANAK	GURU NANAK TPT	6	175	2019.41	102	1286.26	NULL	99.4	78.9	9.7	4	NULL	6	VENDA000976	GURU NANAK TRANSPORT SERVICE	53	28.46	1.4	spellings: GURU NANAK TPT | GURU NANAK TRANSPORT SERVICE | Guru Nanak | Guru Nanak Tpt | Guru Nanak Tpt. | Guru Nanak Transport
TRANSPORTER	ABHIMANEXPRESS	ABHIMAN EXPRESS	6	140	1439.3	114	1198.7	NULL	100	100	0	1	NULL	2	VENDA001676	ABHIMAN EXPRESS	14	23.01	1.6	spellings: ABHIMAN EXPRESS | Abhiman Express
TRANSPORTER	BOMBEYSRINAGAR	Bombey Sri Nagar	6	163	1355.78	109	979.36	NULL	100	100	0	2	NULL	4	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Bombey Sri Nagar | Bombey Sri Nagar Tpt. | Bombey Sri nagar Tpt. | Bombey Srinagar
TRANSPORTER	BABAMIRCHINATHTRANSPORTCO	BABA MIRCHI NATH TRANSPORT CO	6	112	1133.04	73	683.65	NULL	100	58	52.7	1	NULL	1	VENDA000745	BABA MIRCHI NATH TRANSPORT CO	0	0	0	vendor card exists but was NEVER BILLED; spellings: BABA MIRCHI NATH TRANSPORT CO
TRANSPORTER	SONEPATGOODS	SONEPAT GOODS CARRIER	6	94	1092.49	50	479.69	NULL	96.8	100	5.3	2	NULL	2	VENDA000204	SONEPAT GOODS CARRIER	26	16.73	1.5	spellings: SONEPAT GOODS CARRIER | Sonepat Goods
TRANSPORTER	TRUEXLOGISTICS	TRUEX LOGISTIC SERVICES PRIVATE LIMITED	6	67	1060.14	0	0	NULL	58.2	100	16.4	2	NULL	3	VENDA001206	TRUEX LOGISTIC SERVICES PRIVATE LIMITED	1	0.15	0	spellings: TRUEX LOGISTIC SERVICES PRIVATE LIMITED | TRUEX LOGISTICS | Truex Logistics
TRANSPORTER	CHOUDHARYEARTHMOVERS	CHOUDHARY EARTH MOVERS	6	89	1018.38	61	693.27	NULL	100	56.2	44.9	1	NULL	1	VENDA000046	CHOUDHARY EARTH MOVERS	17	2.23	0.2	spellings: CHOUDHARY EARTH MOVERS
TRANSPORTER	RCMLOGISTIC	RCM Logistics	6	130	950.92	90	713.94	NULL	100	100	0	2	NULL	3	VENDA001566	RCM LOGISTICS	23	12.15	1.3	spellings: RCM Logistics | Rcm logistics | rcm logistic
TRANSPORTER	BHARGAVEROADCARRIER	Bhargave Road Carrier	6	142	947.99	135	860.99	NULL	100	100	0.7	1	NULL	1	VENDA001571	BHARGAVE ROAD CARRIER	17	8.15	0.9	spellings: Bhargave Road Carrier
TRANSPORTER	MAHAVEERTRANSPORT	Mahaveer Transport	6	259	812.28	170	580.74	NULL	100	99.6	0.8	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Mahaveer Transport
TRANSPORTER	HARYANAEXPRES	HARYANA EXPRESS LOGISTICS BGFPP8298F	6	64	652.03	37	329.26	NULL	92.2	98.4	3.1	4	NULL	4	VENDA000896	HARYANA EXPRESS LOGISTICS BGFPP8298F	18	4.3	0.7	spellings: HARYANA EXPRESS LOGISTICS BGFPP8298F | Haryana Expres | Haryana Express | Haryana Express Logistics
TRANSPORTER	ROHITCARGO	Rohit Cargo	6	112	644.67	78	383.98	NULL	100	100	5.4	2	NULL	2	VENDA001481	ROHIT CARGO MOVERS (P) LTD	18	7.91	1.2	spellings: Rohit Cargo | Rohit Cargo Movers
TRANSPORTER	AIRTRANS	AIR TRANS	6	90	457.42	89	454.68	NULL	100	95.6	0	1	NULL	3	VENDA000400	AIR TRANS	24	18.67	4.1	spellings: AIR TRANS | Air Trans | air trans
TRANSPORTER	ABCEXPRESS	ABC EXPRESS	6	37	455.95	27	366.44	NULL	100	94.6	0	1	NULL	3	VENDA000974	ABC EXPRESS	30	13.56	3	spellings: ABC EXPRESS | ABC Express | Abc Express
TRANSPORTER	AMODKUMARTRANSPORT	AMOD KUMAR TRANSPORT	6	65	444.9	52	265.72	NULL	100	93.8	16.9	1	NULL	2	VENDA000016	AMOD KUMAR TRANSPORT	8	0.76	0.2	spellings: AMOD KUMAR TRANSPORT | Amod Kumar Transport
TRANSPORTER	PPAUTOMOTIVEPRIVATELIMITED	P P AUTOMOTIVE PRIVATE LIMITED	6	40	393.05	28	269.71	NULL	100	67.5	72.5	1	NULL	1	VENDA000733	P P AUTOMOTIVE PRIVATE LIMITED	3	0.25	0.1	spellings: P P AUTOMOTIVE PRIVATE LIMITED
TRANSPORTER	PUNJABHIMACHAL	PUNJAB HIMACHAL ROAD SERVICE	6	38	392.35	38	392.35	NULL	100	94.7	0	2	NULL	3	VENDA000398	PUNJAB HIMACHAL ROAD SERVICE	10	7.97	2	spellings: PUNJAB HIMACHAL ROAD SERVICE | Punjab Himachal | punjab Himachal
TRANSPORTER	GURMUKHCARGO	Gurmukh Cargo	6	48	375.6	37	261.6	NULL	100	100	0	1	NULL	1	VENDA001620	GURMUKH CARGO SERVICE	9	5.65	1.5	spellings: Gurmukh Cargo
TRANSPORTER	PICKSHIP	PICK & SHIP	6	304	357.08	273	284.56	NULL	100	99.7	0	1	NULL	4	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	92	13.89	3.9	spellings: PICK & SHIP | Pick & Ship | Pick & Ship. | pick & ship
TRANSPORTER	ETHICS	ETHICS	6	17	321.41	0	0	NULL	0	94.1	17.6	2	NULL	3	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: ETHICS | ETHICS EXPRESS | ETHICS Express
TRANSPORTER	BOMBAYSRINAGAR	BOMBAY SRINAGAR TRANSPORT REGD	6	28	304.06	17	233.23	NULL	100	96.4	7.1	2	NULL	2	VENDA000972	BOMBAY SRINAGAR TRANSPORT REGD	34	33.3	11	spellings: BOMBAY SRINAGAR TRANSPORT REGD | Bombay Sri Nagar
TRANSPORTER	VIPTRANSPORT	VIP TRANSPORT COMPANY	6	21	284.43	16	168.04	NULL	100	100	4.8	2	NULL	3	VENDA000971	VIP TRANSPORT COMPANY	11	7.42	2.6	spellings: VIP TRANSPORT COMPANY | VIP Transport | vip transport
TRANSPORTER	PRIYAROADCARRIER	Priya Road Carrier	6	25	257.25	13	145.77	NULL	100	100	0	1	NULL	1	VENDA001642	PRIYA ROAD CARRIERS	3	2.2	0.9	spellings: Priya Road Carrier
TRANSPORTER	DELHIBHIWADITRANSPORT	Delhi BhiwadI Transport	6	16	255.44	12	138.95	NULL	100	100	0	1	NULL	2	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Delhi BhiwadI Transport | Delhi Bhiwadi Transport
TRANSPORTER	SONIPATGOODS	SONIPAT GOODS	6	27	250.82	9	78.06	NULL	96.3	92.6	11.1	1	NULL	3	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: SONIPAT GOODS | Sonipat Goods | Sonipat goods
TRANSPORTER	BOMBESRINAGAR	Bombe Sri Nagar	6	25	189.61	21	154.66	NULL	100	100	0	2	NULL	2	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Bombe Sri Nagar | Bombe Sri Nagar Tpt.
TRANSPORTER	MAHAVIRTRANSPORT	MAHAVIR TRANSPORT	6	31	150.79	18	109.85	NULL	100	100	9.7	2	NULL	3	VENDA001523	MAHAVIR TRANSPORT	14	4.16	2.8	spellings: MAHAVIR TRANSPORT | MAHAVIR TRANSPORT MAHAVIR TRANSPORT | Mahavir Transport
TRANSPORTER	LAXMITRANSPORT	LAXMI TRANSPORT	6	19	145.46	10	65.56	NULL	100	100	10.5	1	NULL	2	VENDA001401	LAXMI TRANSPORT SERVICE	4	0.49	0.3	2 vendor cards merged here; spellings: LAXMI TRANSPORT | Laxmi Transport
TRANSPORTER	BIGFOOTRETAILSOLUTIONPVTLTDSHIPROCKETVEND	BIGFOOT RETAIL SOLUTION PVT LTD SHIP ROCKET VEND	6	14	144.88	9	87.6	NULL	100	14.3	28.6	1	NULL	1	VENDA000473	BIGFOOT RETAIL SOLUTION PVT LTD SHIP ROCKET VEND	5	0.19	0.1	spellings: BIGFOOT RETAIL SOLUTION PVT LTD SHIP ROCKET VEND
TRANSPORTER	ALLINDIA	ALL INDIA	6	13	137.31	12	126.13	NULL	92.3	100	7.7	4	NULL	4	VENDA000975	ALL INDIA ROAD CARRIER	13	6.09	4.4	spellings: ALL INDIA | ALL INDIA ROAD CARRIER | All India Transport | All India Transport Service
TRANSPORTER	VEDANTFREIGHT	VEDANT FREIGHT	6	8	134.15	7	120.84	NULL	100	100	0	3	NULL	3	VENDA001133	VEDANT FREIGHT CARRIER PRIVATE LIMITED	8	3.04	2.3	spellings: VEDANT FREIGHT | VEDANT FREIGHT CARRIER PRIVATE LIMITED | Vedant Freight Carrier
TRANSPORTER	GHAILOGISTICS	GHAI LOGISTICS	6	19	97.99	18	86.7	NULL	100	100	0	1	NULL	2	VENDA000559	GHAI LOGISTICS	21	1.63	1.7	spellings: GHAI LOGISTICS | Ghai Logistics
TRANSPORTER	SSLOGISTICSCARRIERS	SS LOGISTICS & CARRIERS	6	2	97.9	2	97.9	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: SS LOGISTICS & CARRIERS
TRANSPORTER	AMODKUMARTPT	Amod Kumar Tpt.	6	23	90.92	23	90.92	NULL	100	100	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: Amod Kumar Tpt.
TRANSPORTER	D	d	6	1	87.77	0	0	NULL	100	0	0	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NO FREIGHT VENDOR CARD MATCHED; spellings: d
FREIGHT_VENDOR	VENDA000671	R K TANKER SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000671	R K TANKER SERVICE	152	945.12	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; ships under transporter family "RKTANKER"
FREIGHT_VENDOR	VENDA000636	DELHI PUNJAB TRANSPORT CO	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000636	DELHI PUNJAB TRANSPORT CO	115	127.8	NULL	ships under transporter family "DELHIPUNJAB"
FREIGHT_VENDOR	VENDA000916	ARSH TRANSPORT COMPANY AIBPB2539G	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000916	ARSH TRANSPORT COMPANY AIBPB2539G	41	72.38	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; ships under transporter family "ARSHTRANSPORT"
FREIGHT_VENDOR	VENDA000269	MAHADEV TEMPO SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000269	MAHADEV TEMPO SERVICE	60	68.17	NULL	ships under transporter family "MAHADEV"
FREIGHT_VENDOR	VENDA001367	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001367	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	52	57.01	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; ships under transporter family "OMLOGISTIC"
FREIGHT_VENDOR	VENDA000956	ARNAV TRANSPORT SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000956	ARNAV TRANSPORT SERVICE	79	55.06	NULL	ships under transporter family "ARNAVTRANSPORT"
FREIGHT_VENDOR	VENDA000265	BALMUKUND ROADWAYS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000265	BALMUKUND ROADWAYS	15	45.98	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000972	BOMBAY SRINAGAR TRANSPORT REGD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000972	BOMBAY SRINAGAR TRANSPORT REGD	34	33.3	NULL	ships under transporter family "BOMBAYSRINAGAR"
FREIGHT_VENDOR	VENDA000976	GURU NANAK TRANSPORT SERVICE	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000976	GURU NANAK TRANSPORT SERVICE	53	28.46	NULL	ships under transporter family "GURUNANAK"
FREIGHT_VENDOR	VENDA000676	SEA VENTURE LOGISTICS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000676	SEA VENTURE LOGISTICS	31	27.39	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000055	OM LOGISTICS LTD	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000055	OM LOGISTICS LTD	23	27.25	NULL	ships under transporter family "OMLOGISTIC"
FREIGHT_VENDOR	VENDA001676	ABHIMAN EXPRESS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001676	ABHIMAN EXPRESS	14	23.01	NULL	ships under transporter family "ABHIMANEXPRESS"
FREIGHT_VENDOR	VENDA000245	CARGO CLEARING AGENCY GUJ AABFC8915B	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000245	CARGO CLEARING AGENCY GUJ AABFC8915B	29	21.54	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000110	SHREE BHOLENATH CARRIERS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000110	SHREE BHOLENATH CARRIERS	6	20.8	NULL	OUTSIDE the transporter group -- filed under "PURCHASE", pulled in on the carrier token in its name; ships under transporter family "SHREEBHOLENATHCARRIER"
FREIGHT_VENDOR	VENDA001541	SS LOGISTICS AND CARRIERS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001541	SS LOGISTICS AND CARRIERS	11	19.09	NULL	PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000400	AIR TRANS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000400	AIR TRANS	24	18.67	NULL	ships under transporter family "AIRTRANS"
FREIGHT_VENDOR	VENDA000204	SONEPAT GOODS CARRIER	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000204	SONEPAT GOODS CARRIER	26	16.73	NULL	ships under transporter family "SONEPATGOODS"
FREIGHT_VENDOR	VENDA000994	INLAND WORLD LOGISTICS (P) LTD.	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000994	INLAND WORLD LOGISTICS (P) LTD.	26	15.19	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; ships under transporter family "INLAND"
FREIGHT_VENDOR	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	92	13.89	NULL	ships under transporter family "PICKSHIP"
FREIGHT_VENDOR	VENDA000503	PALAK TANKER TRANSPORT COMPANY	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000503	PALAK TANKER TRANSPORT COMPANY	9	13.77	NULL	OUTSIDE the transporter group -- filed under "PURCHASE OIL", pulled in on the carrier token in its name; PAID BUT NEVER NAMED ON A DISPATCH
FREIGHT_VENDOR	VENDA000974	ABC EXPRESS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA000974	ABC EXPRESS	30	13.56	NULL	ships under transporter family "ABCEXPRESS"
FREIGHT_VENDOR	VENDA001566	RCM LOGISTICS	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VENDA001566	RCM LOGISTICS	23	12.15	NULL	OUTSIDE the transporter group -- filed under "SERVICE", pulled in on the carrier token in its name; ships under transporter family "RCMLOGISTIC"
