SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
CUSTOMER	CUSTA000191	FASHNEAR TECHNOLOGIES PVT LTD [EXTERNAL]	6	14	14	0	4	631	0	0	0	0	17543.02	4	1	100	17543.02	86	99135.62	413865.31	23.9536	4.2388
CUSTOMER	CUSTA000356	FREE SAMPLE [EXTERNAL]	6	13	2	0	13	333	0	302.68	28.02	330.7	14014.08	13	0	333	14014.08	0	0	379234.06	0	3.6954
CUSTOMER	CUSTA000680	B S A ENGINEERING LLP [EXTERNAL]	6	3	0	0	0	1296	0	5557.03	277.97	5835	5801.76	3	0	1296	5801.76	0	0	81444.23	0	7.1236
CUSTOMER	CUSTA000048	R K WORLDINFOCOM PVT LTD [EXTERNAL]	6	23	19	12	0	1564	0	364421.94	18221.06	382643	5771.24	14	0	765	0	9	424889.73	1027795658.46	0.0413	0.0006
CUSTOMER	CUSTA000930	SANTOSH JHA [EXTERNAL]	6	4	0	0	4	14	0	3623.81	181.19	3805	3187.67	4	0	14	3187.67	0	0	675817.19	0	0.4717
CUSTOMER	ORGC000001	ISHWENDRA ACCOUNTS JWPL0019 [EXTERNAL]	6	1	0	0	1	12	0	2952.38	147.62	3100	2628.6	1	0	12	2628.6	0	0	5835.71	0	45.0433
CUSTOMER	CUSTA000496	INNOVATIVE RETAIL CONCEPTS PVT LTD [EXTERNAL]	6	3	0	0	0	54	0	9769.28	642.72	10412	2024.71	0	0	0	0	3	9768.98	13885052.82	0.0704	0.0146
CUSTOMER	CUSTA000880	CMUNITY INNOVATIONS PRIVATE LIMITED [EXTERNAL]	6	2	2	0	0	262	0	0	0	0	1503.3	0	0	0	0	2	36695.24	85244245.82	0.043	0.0018
CUSTOMER	CUSTA000891	FLIPKART KARNATAKA FBF [EXTERNAL]	6	2	2	0	1	6	0	0	0	0	1481.58	1	0	1	215	5	1912.37	592439.96	0.3228	0.2501
CUSTOMER	CUSTA000706	GURVINDER SINGH [EXTERNAL]	6	1	0	0	1	6	0	1607.14	192.86	1800	1443.21	1	0	6	1443.21	0	0	12385.71	0	11.6522
CUSTOMER	ORGC000005	SHYAM KUMAR SHUKLA JWPL2270 [EXTERNAL]	6	1	0	0	1	2	0	1476.19	73.81	1550	1419.05	1	0	2	1419.05	0	0	14371.43	0	9.8741
CUSTOMER	ORGC000002	KAMALDEEP SINGH IMPREST JWPL0092 [EXTERNAL]	6	1	0	0	1	1	0	833.33	41.67	875	805	1	0	1	805	0	0	22454.17	0	3.5851
CUSTOMER	CUSTA000911	FASHNEAR TECHNOLOGIES PVT LTD (B2C-MAY-JULY) [EXTERNAL]	6	5	5	0	1	76	0	0	0	0	439.22	3	0	42	439.22	10	5929.81	12325.27	48.111	3.5636
CUSTOMER	CUSTA000927	ANTIZE FOODS PRIVATE LIMITED [EXTERNAL]	6	12	11	3	0	664	0	3904.76	195.24	4100	0	3	0	520	0	9	62265.75	185183735.02	0.0336	0
CUSTOMER	CUSTA000907	SUSTAINQUEST PRIVATE LIMITED [EXTERNAL]	6	28	25	1	0	4600	0	652794.33	32639.67	685434	0	2	0	749	0	26	1050041.52	321545166.22	0.3266	0
