DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	AGE_DAYS	CANCEL_STATUS	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	NUM_LINES	NUM_ITEMS	TOTAL_QTY	NET_AMT	GST_AMT	GROSS_AMT	REASON	VENDOR_REF	BASE_GRPO_COUNT	BASE_GRPO_DOCNUMS	CN_COUNT	CN_DOCNUMS	CN_FIRST_DATE	CN_GROSS	CN_LAG_DAYS	FLAG_NO_CREDIT_NOTE
211	2126048001	2026-04-15	2026-04	129	LIVE	C	VENDA001307	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-NM	1	1	30000	1410	0	1410	PHYSICAL SHORT	GINNI SIR APPROVAL SALT	0		0			0	NULL	Y
199	2126038001	2026-03-03	2026-03	172	LIVE	O	VENDA001313	TECHNOFLEX PACKAGING	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	63000	8064.48	1451.52	9516		251900852	0		0			0	NULL	Y
197	2125128001	2025-12-10	2025-12	255	LIVE	C	VENDA000933	MULTILAYER INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	187000	56100	10098	66198	Rejected pecs quantity		0		1	625128704	2025-12-10	66198	0	N
180	2125108001	2025-10-03	2025-10	323	LIVE	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	GP-NM	3	3	2067865	258483.04	46526.96	305010			0		1	625108703	2025-10-04	305010	1	N
177	2125098003	2025-09-27	2025-09	329	CANCELLATION_DOC	C	VENDA000758	NATIONAL POLYPLAST INDIA PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	GP-PM	1	1	315400	707442.4	127339.6	834782	118 BOX--1000\r188 BOX--1050 Based On Goods Return 2125098002.	TI0372501000	0		0			0	NULL	N
169	2125098002	2025-09-27	2025-09	329	CANCELLED	C	VENDA000758	NATIONAL POLYPLAST INDIA PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	GP-PM	1	1	315400	707442.4	127339.6	834782	118 BOX--1000\r188 BOX--1050	TI0372501000	0		0			0	NULL	N
165	2125098001	2025-09-19	2025-09	337	LIVE	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	1798000	224750	40455	265205	DL1LY3059		0		1	625108711	2025-10-01	265205	12	N
162	2125088004	2025-08-29	2025-08	358	LIVE	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	4056	14546.56	2618.44	17165		MP/25-26/272	0		1	625098706	2025-09-09	17165	11	N
159	2125088003	2025-08-29	2025-08	358	CANCELLATION_DOC	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	4056	0	0	0	Based On Goods Return 2125088002.	MP/25-26/272	0		0			0	NULL	N
157	2125088002	2025-08-29	2025-08	358	CANCELLED	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	4056	0	0	0		MP/25-26/272	0		0			0	NULL	N
129	2125088001	2025-08-07	2025-08	380	LIVE	O	VENDA000934	SHREE KESHAV AGRO PVT LTD (AAFCS8174H)	PURCHASE	EXTERNAL	2	FACTORY	BH-FR	1	1	1935000	119969.6	14396.4	134366	SHR2425IN558/SHR2425IN517	SHR2425IN558	0		0			0	NULL	Y
112	2125048005	2025-04-21	2025-04	488	CANCELLATION_DOC	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	35000	18025.5	3244.5	21270	Quality Issue\rDusty Based On Goods Return 2125048004.		0		0			0	NULL	N
107	2125048004	2025-04-21	2025-04	488	CANCELLED	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	35000	18025.5	3244.5	21270	Quality Issue\rDusty		0		0			0	NULL	N
102	2125048003	2025-04-17	2025-04	492	LIVE	C	VENDA001072	BALAJI INC.	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	25	350	42	392	SHORT QTY RECEVED 25 PCS	3274	0		1	625048701	2025-04-19	392	2	N
99	2125048002	2025-04-17	2025-04	492	LIVE	C	VENDA000966	A.J.SHRINK WRAP PRIVATE LIMITED (AAHCA0195J)	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	6224000	784223.68	141160.32	925384	2024-25/AJ-919\r2024-25/AJ-1127\rGaddi No.UP13CT2038	2024-25/AJ-919,2024-25/AJ-1127	0		1	625048704	2025-04-17	236357	0	N
96	2125048001	2025-04-14	2025-04	495	LIVE	C	VENDA000946	MANSAROVAR POLYMERS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	70000	36050	6489	42539	2pcs	MP/25-26/22	0		1	625048703	2025-04-14	42539	0	N
80	325216505	2025-03-11	2025-03	529	LIVE	C	VENDA000935	ARIHANT TRADERS	PURCHASE	EXTERNAL	2	FACTORY	BH-FR	1	1	40000	32000	5760	37760		AT/24-25/4745	0		1	625035909	2025-03-11	37760	0	N
67	325216504	2025-03-11	2025-03	529	CANCELLATION_DOC	C	VENDA000935	ARIHANT TRADERS	PURCHASE	EXTERNAL	2	FACTORY	BH-FR	1	1	40000	32000	3840	35840	Based On Goods Return 325216503.	AT/24-25/4745	0		0			0	NULL	N
53	325216503	2025-03-11	2025-03	529	CANCELLED	C	VENDA000935	ARIHANT TRADERS	PURCHASE	EXTERNAL	2	FACTORY	BH-FR	1	1	40000	32000	3840	35840		AT/24-25/4745	0		0			0	NULL	N
47	325216502	2025-03-01	2025-03	539	LIVE	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PP	3	3	1351000	173844.83	31292.17	205137	490mm = SN/24-25/375\r530mm=SN/24-25/297\r510mm=SN/24-25/91		0		1	625035902	2025-03-01	205137	0	N
45	325216501	2025-03-01	2025-03	539	CANCELLATION_DOC	C	VENDA000977	S.R. ENTERPRISES	FIXED ASSETS	EXTERNAL	2	FACTORY	BH-PP	3	3	1351000	173844.83	31292.17	205137	490mm = SN/24-25/375\r530mm=SN/24-25/297\r510mm=SN/24-25/91 Based On Goods Return 325216500.		0		0			0	NULL	N
42	325216500	2025-03-01	2025-03	539	CANCELLED	C	VENDA000977	S.R. ENTERPRISES	FIXED ASSETS	EXTERNAL	2	FACTORY	BH-PP	3	3	1351000	173844.83	31292.17	205137	490mm = SN/24-25/375\r530mm=SN/24-25/297\r510mm=SN/24-25/91		0		0			0	NULL	N
7	1224216500	2024-12-16	2024-12	614	LIVE	C	VENDA000933	MULTILAYER INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	GP-PM	1	1	392460	113813.59	20486.41	134300		258	0		1	624125903	2024-12-16	134300	0	N
