group	section	host	path	methods	classification	const	evidence
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/create	?	WRITE	oneByOneAddProduct	write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/create-variation-from-standalone	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/create/	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/createFromDraft	?	WRITE	oneByOneFixProduct	write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/edit	?	WRITE	oneByOneEditProduct	write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/edit-draft	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/multi-create	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/product/ajax/CreationValidation	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/product/ajax/EditValidation	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/product/ajax/OfferValidation	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/interactive/listing/workflow/create	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/interactive/listing/workflow/create/product_identity	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/interactive/listing/workflow/edit	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/interactive/listing/workflow/offer/offer	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/product/DisplayEditProduct	?	WRITE	oldEdit	write-verb constant/path token (G1: deny)
seller	Product-Classification	sellercentral.amazon.in	/handmade/apply	?	WRITE	gatingHandmadePage	write-verb constant/path token (G1: deny)
seller	Product-Classification	sellercentral.amazon.in	/productclassify/edit	?	WRITE		write-verb constant/path token (G1: deny)
seller	Product-Classification	sellercentral.amazon.in	/productclassify/edit/handmade	?	WRITE		write-verb constant/path token (G1: deny)
vendor	Purchase-Orders	www.vendorcentral.in	/po-api/vendor/members/po-mgmt/search/generateVendorSearchFile-v3	POST	WRITE	PathPOGenerate	POST + write-verb token (G1 deny)
vendor	Retail-Analytics-ARA	www.vendorcentral.in	/api/retail-analytics/v1/request-report-download	POST	WRITE	PathGenerate	POST + write-verb token (G1 deny)
platform	Platform-Common	sellercentral.amazon.in	/pulse/v1/question	POST	READ_POST		app-issued POST read (GraphQL/RPC) — G0 forbids POST, gate kept closed
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/api/postBizMetricsWithMap/	POST	READ_POST		app-issued POST read (GraphQL/RPC) — G0 forbids POST, gate kept closed
seller	Business-Reports-Analytics	sellercentral.amazon.in	/br-insightswidget-api	POST	READ_POST		POST-bodied endpoint, read-shaped (G0 forbids POST)
seller	Inventory-FBA	sellercentral.amazon.in	/fba/dashboard/bff/graphql	POST	READ_POST		app-issued POST read (GraphQL/RPC) — G0 forbids POST, gate kept closed
seller	Messaging-Buyer-Seller	sellercentral.amazon.in	/messaging/api/resourceError	POST	READ_POST		POST-bodied endpoint, read-shaped (G0 forbids POST)
vendor	Purchase-Orders	www.vendorcentral.in	/po-api/vendor/members/po-mgmt/search/downloadVendorSearchFile	POST	READ_POST	PathPODownload	POST-bodied endpoint, read-shaped (G0 forbids POST)
vendor	Purchase-Orders	www.vendorcentral.in	/po-api/vendor/members/po-mgmt/search/getVendorSearchFileStatus	POST	READ_POST	PathPOStatus	POST-bodied endpoint, read-shaped (G0 forbids POST)
vendor	Retail-Analytics-ARA	www.vendorcentral.in	/api/retail-analytics/v1/get-report-data	POST	READ_POST	get-report-data	POST-bodied endpoint, read-shaped (G0 forbids POST)
vendor	Retail-Analytics-ARA	www.vendorcentral.in	/api/retail-analytics/v1/list-report-download-workflows	POST	READ_POST	PathWorkflows	POST-bodied endpoint, read-shaped (G0 forbids POST)
