group	section	host	path	methods	classification	proven	const	fields	evidence	source
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/home.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/login-help.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/{guid}/	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/{helpGuid}	?	READ		THIRD_PARTY	0	page route — server-rendered GET	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/center/inline/workflow	?	READ		source	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/da/{directAnswer}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/getting-started-guide	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/getting-started-selling-faq	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/home	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub	DELETE	WRITE		url	0	observed ['DELETE']	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/debug	?	READ		href	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_18.e79342ef3a6638393434.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/i18n/HelpHubKatalWebsite/en-IN.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/i18n/HelpHubKatalWebsite/en-US.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/inline	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_11.1d1195a11dff62882ebe.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/mons-api/	?	UNKNOWN			0	read-shaped path but verb NOT proven in the minified source (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/mons-api/GetBootstrapData	GET	READ	PROVEN		25	PROVEN live GET 200 (200)	d1bkay65ooam95.cloudfront.net_help_hub_preload.01922f1888afc4f57ae2.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/mons-api/GetFeatureStatus	GET	READ	PROVEN		5	PROVEN live GET 200 (200)	d1bkay65ooam95.cloudfront.net_help_hub_preload.01922f1888afc4f57ae2.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/mons-api/GetMeldEligibility	GET	READ	PROVEN		1	PROVEN live GET 200 (200)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/reference/	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/reference/external/	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/reference/external/login-help	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/reference/external/{helpGuid}	?	READ		href	0	page route — server-rendered GET	dxrdcmlwuslnc.cloudfront.net_coupons_main.27eeec68fe6cd9b1c6b2.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/reference/{helpGuid}	?	READ			0	page route — server-rendered GET	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/support	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/inline/athena-get-direct-answer/embed	?	READ		source	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/manage-inventory-tool	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/manage-orders	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/merchant_documents/text/sign-in.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/modify-or-delete-a-product-listing	?	WRITE		path	0	write-verb constant/path token (G1: deny)	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/workflow/bulk/embed	?	READ		source	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/workflow/embed	?	READ		source	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/help/workflow/spl-setup	?	READ		providerArgumentSource	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/hill/hillservice/mons-api/GetBootstrapConfig	GET	READ	PROVEN		19	PROVEN live GET 200 (200)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hill/hillservice/mons-api/GetSpecialistSupportIngressEligibility	GET	READ	PROVEN		3	PROVEN live GET 200 (200)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hill/website/i18n/HillWebsite/en-IN.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hill/website/i18n/HillWebsite/en-US.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hill/website/i18n/HillWebsiteCaseLobby/en-IN.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hill/website/i18n/HillWebsiteCaseLobby/en-US.{hash}.i18next.json	GET	READ_FILE	PROVEN		0	static i18n/translation asset (localisation strings)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/hz/m/help	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/hz/m/helpcontent	?	READ_FILE		path	0	static i18n/translation asset (localisation strings)	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/search	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_11.1d1195a11dff62882ebe.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/solution	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_11.1d1195a11dff62882ebe.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/support/describe	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_11.1d1195a11dff62882ebe.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/irc/widget	?	UNKNOWN		source	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/learn/widget-spl	?	UNKNOWN		source	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs	GET	NOISE	PROVEN	weblabPath	31	telemetry/instrumentation/weblab — not a business data endpoint	d3ou658vn5djeq.cloudfront.net_abis_katal.e66d4bdf.js
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/	?	NOISE		url	0	telemetry/instrumentation/weblab — not a business data endpoint	d3ou658vn5djeq.cloudfront.net_abis_katal.e66d4bdf.js
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/merchant/treatment	GET	NOISE	PROVEN		219	telemetry/instrumentation/weblab — not a business data endpoint	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/merchant/trigger	POST	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	live-walk-blocked
platform	Help-Support-Center	sellercentral.amazon.in	/mons/weblabs/vendor/treatment	GET	NOISE			4	telemetry/instrumentation/weblab — not a business data endpoint	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/reference/embed/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/external	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/external/login-help	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/external/popup/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/external/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/login-help/	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/popup/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/search	?	READ		isSearchView	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/reference/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/roboapi/v1/sc/announcements	GET	READ	PROVEN		1	PROVEN live GET 200 (200)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/solution/bulk-workflow	GET	READ		path	0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/solution/{id}	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/SOA	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_10.bd21120d8044dedd1f32.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/describe	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_21.f3b3512baa360b24ae5a.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/form/hub	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_10.bd21120d8044dedd1f32.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/help/hub	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_10.bd21120d8044dedd1f32.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/help/node/	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/search/	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_10.bd21120d8044dedd1f32.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/training/hub	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_10.bd21120d8044dedd1f32.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/support/{nodeId}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_21.f3b3512baa360b24ae5a.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/trim/json/favorites/sellerCentral	GET	READ	PROVEN		12	PROVEN live GET 200 (200)	live-walk
platform	Homepage-Casino-Widgets	sellercentral.amazon.in	/homepage/knowhere/events/record	?	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	sc-home.html
platform	Homepage-Widgets	sellercentral.amazon.in	/homepage/casino/cards/content/async-card/	GET	READ	PROVEN		0	PROVEN live GET 200 (200)	live-walk
platform	Platform-Common	sellercentral.amazon.in	/1/batch/1/OE/	?	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	images-eu.ssl-images-amazon.com_images_I_215h87l68bL.js
platform	Platform-Common	sellercentral.amazon.in	/1/remote-weblab-triggers/1/OE/	?	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	abis_index.html
platform	Platform-Common	sellercentral.amazon.in	/account-switcher/dropdown-assets-loader.js	?	READ_FILE		src	0	static JS/CSS asset	abis_index.html
platform	Platform-Common	sellercentral.amazon.in	/ah/eligibility	?	UNKNOWN		href	0	verb and posture not proven (G1: denied)	performance_dashboard.html
platform	Platform-Common	sellercentral.amazon.in	/coupon-details-page	?	UNKNOWN			0	verb and posture not proven (G1: denied)	dxrdcmlwuslnc.cloudfront.net_coupons_main.27eeec68fe6cd9b1c6b2.min.js
platform	Platform-Common	sellercentral.amazon.in	/draft/dashboard	?	READ			0	page route — server-rendered GET	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/draft/dashboard/savedbyyou	?	WRITE			0	write-verb constant/path token (G1: deny)	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/draft/registration/dashboard	?	READ			0	page route — server-rendered GET	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/edit/bulk	?	WRITE		editBulk	0	write-verb constant/path token (G1: deny)	dd5vo8kgyegf4.cloudfront.net_productclassify_app.41472558f388593627ab.min.js
platform	Platform-Common	sellercentral.amazon.in	/edit/bulk/sph	?	WRITE		editBulkSph	0	write-verb constant/path token (G1: deny)	dd5vo8kgyegf4.cloudfront.net_productclassify_app.41472558f388593627ab.min.js
platform	Platform-Common	sellercentral.amazon.in	/edit/handmade	?	WRITE		editHandmade	0	write-verb constant/path token (G1: deny)	dd5vo8kgyegf4.cloudfront.net_productclassify_app.41472558f388593627ab.min.js
platform	Platform-Common	sellercentral.amazon.in	/featureOverride	?	WRITE			0	write-verb constant/path token (G1: deny)	d1bkay65ooam95.cloudfront.net_help_hub_19.21191a43792bc8795b44.chunk.min.js
platform	Platform-Common	sellercentral.amazon.in	/globalsearch/v1/search	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/goblin/read	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/goblin/write	?	WRITE			0	write-verb constant/path token (G1: deny)	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/gp/orders-v2/search	?	UNKNOWN		url	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_11.1d1195a11dff62882ebe.chunk.min.js
platform	Platform-Common	sellercentral.amazon.in	/gp/satisfaction/survey-form-frame.html	?	READ		url	0	page route — server-rendered GET	abis_index.html
platform	Platform-Common	sellercentral.amazon.in	/gp/satisfaction/survey-submit.html	GET	READ		RAINFOREST_HMD_ENDPOINT	0	GET (documented from bundle)	d7xm6m3peqvfj.cloudfront.net_main.adacd1a1.js
platform	Platform-Common	sellercentral.amazon.in	/gp/search	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_17.40509cd149a934636e01.chunk.min.js
platform	Platform-Common	sellercentral.amazon.in	/home	?	READ		href	0	page route — server-rendered GET	abis_index.html
platform	Platform-Common	sellercentral.amazon.in	/ping	?	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	abis_index.html
platform	Platform-Common	sellercentral.amazon.in	/pix-gateway	?	UNKNOWN		uri	0	verb and posture not proven (G1: denied)	d3ou658vn5djeq.cloudfront.net_abis_main.fd4e88f5.js
platform	Platform-Common	sellercentral.amazon.in	/product-search	?	UNKNOWN		productSearch	0	verb and posture not proven (G1: denied)	dd5vo8kgyegf4.cloudfront.net_productclassify_app.41472558f388593627ab.min.js
platform	Platform-Common	sellercentral.amazon.in	/pulse/v1/question	POST	READ_POST			0	app-issued POST read (GraphQL/RPC) — G0 forbids POST, gate kept closed	live-walk-blocked
platform	Platform-Common	sellercentral.amazon.in	/reorder-coupons-dashboard-page	?	UNKNOWN			0	verb and posture not proven (G1: denied)	dxrdcmlwuslnc.cloudfront.net_coupons_main.27eeec68fe6cd9b1c6b2.min.js
platform	Platform-Common	sellercentral.amazon.in	/spl/logger	?	NOISE		url	0	telemetry/instrumentation/weblab — not a business data endpoint	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Platform-Common	sellercentral.amazon.in	/tricorder/decide/	POST	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	live-walk-blocked
platform	Platform-Common	sellercentral.amazon.in	/tricorder/e/	POST	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	live-walk-blocked
platform	Platform-Common	sellercentral.amazon.in	/tricorder/logger	?	NOISE		url	0	telemetry/instrumentation/weblab — not a business data endpoint	d1a8zcxmm3zflg.cloudfront.net_tricorder.js
platform	Platform-Common	unagi.amazon.in	/1/events/com.amazon.csm.csa.prod	POST	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	live-walk-blocked
platform	Platform-Common	unagi.amazon.in	/1/events/com.amazon.csm.customsg.prod	POST	NOISE			0	telemetry/instrumentation/weblab — not a business data endpoint	live-walk-blocked
